"Distribution of the biomass (tonne) of prey species (in columns) in the diet of thornbackRay by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.0027458207,9.298416E-5,0.10831758,0.08701825,0.0062520998,0.5803046,0.4362828,0.30908823,0.0044201505,0.3824686,0.07314121,0.9410081,0.85377806,0.53042847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4045527,3.3861077,9.0090856E-5,2.4217286,0.0
1.0,1.0,0.0,0.009510644,1.9138807E-4,0.22968186,0.17003672,0.03311914,0.41376624,0.6069457,0.2981617,0.04040292,0.61351794,0.11258427,1.1478422,1.3101289,1.1097561,8.2274355E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.28156185,2.7679334,6.989034E-5,4.444592,1.4011087
1.0,2.0,0.0,0.019297678,9.966948E-4,0.1138321,0.3647687,0.10189295,0.7596618,1.0642996,0.6776345,0.24607779,0.63579524,0.5627439,1.417809,1.9593065,1.585655,6.595198E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.20339565,2.5951478,7.076955E-5,4.483859,4.59576
1.0,3.0,0.0,0.0439467,0.038976654,0.340726,0.56535864,0.056688827,1.1303921,0.66761094,0.9031462,1.024957,0.9433496,0.8364555,3.9242234,2.8849223,2.4466498,0.002536469,0.0,0.0,0.0,0.0,0.0,0.0,0.21019305,3.2799792,9.311524E-5,5.8047404,6.132443
1.0,4.0,0.0,0.08848436,0.38569048,0.6641582,0.810281,0.08625411,1.2637144,1.4812098,1.0811574,1.747525,1.5916196,1.4522859,4.660852,3.8650613,2.5351298,0.0036834003,0.0,0.0,0.0,0.0,0.0,0.0,0.1877659,3.6852345,1.0788187E-4,6.723505,7.1011906
1.0,5.0,0.0,0.15451507,0.65255845,1.2836264,0.79756856,0.14923996,1.6533884,2.143568,1.3624355,2.377917,2.3096747,2.1973033,6.3238907,4.476325,3.1244648,0.004997708,0.0,0.0,0.0,0.0,0.0,0.0,0.14196214,3.6283636,1.10703244E-4,6.7321014,7.1231217
1.0,6.0,0.0,0.2841471,1.2201133,2.0487323,0.7849217,0.20214981,1.5773646,2.836212,1.6029373,3.1658785,3.045271,2.5619414,6.726986,4.8233066,2.9349055,0.006621625,0.0,0.0,0.0,0.0,0.0,0.0,0.10829018,3.924009,1.1987276E-4,7.522159,7.9598427
1.0,7.0,0.0,0.25488913,1.3939303,1.8294342,1.2098585,0.1345966,1.8931018,2.8524425,1.7756299,3.283244,3.1027641,3.0141623,7.64692,5.4322653,3.860885,0.009175984,0.0,0.0,0.0,0.0,0.0,0.0,0.07318401,4.0712967,1.2636007E-4,7.973399,8.425533
1.0,8.0,0.0,0.28182605,1.6801718,1.9263157,1.0108943,0.16251014,1.9134357,3.293136,1.8525009,3.3035498,3.288543,3.986448,7.814269,5.5856957,3.7491472,0.011512415,0.0,0.0,0.0,0.0,0.0,0.0,0.039788354,4.3093867,1.4393547E-4,8.337854,8.813646
1.0,9.0,0.0,0.2789727,1.6428196,2.333076,1.0253557,0.15458979,2.2211437,2.84103,1.4663785,3.5537894,3.4496157,4.3371353,6.7838216,7.0178456,4.0190234,0.012669173,0.0,0.0,0.0,0.0,0.0,0.0,0.006653905,4.2681165,1.4146723E-4,8.561138,9.044097
1.0,10.0,0.0,0.26662916,1.6671357,2.3045263,1.2862611,0.19961528,2.1809182,3.064383,1.7029474,3.9585965,3.8847103,4.6658244,7.8955736,6.1826673,3.9967675,0.015126504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2727375,1.4051773E-4,8.598821,9.077199
1.0,11.0,0.0,0.31837785,1.9846212,2.5815256,1.1250103,0.2327775,2.3028169,3.3141336,1.7999208,4.401051,3.8105953,4.4658227,7.3302507,7.210612,3.8978548,0.0178878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4196954,1.4491715E-4,9.108286,9.615825
1.0,12.0,0.0,0.32956457,2.2612073,2.933476,1.2815274,0.26690242,1.8290496,3.6707225,2.0698817,4.824214,3.6164844,4.089909,7.901337,7.232369,4.216088,0.017555121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4256926,1.4444502E-4,9.2782755,9.816493
