"Distribution of the biomass (tonne) of prey species (in columns) in the diet of whiting by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.020376561,0.9955112,0.18065046,791.4722,6.7098503,7.646698,680.9753,1424.1104,418.2877,74.447815,1329.3643,3.222539,1079.7715,73.76095,0.70256484,0.0,0.0,0.0,0.0,0.0,484.86075,743.5805,69.26434,778.8455,0.026037576,541.70123,134.16867
1.0,1.0,1.0355266,3.4458208,10.561566,181.0519,25.930582,21.731096,196.13431,396.94714,241.40968,136.17783,211.32594,68.75419,499.29868,282.71848,116.9046,0.0,0.0,0.0,0.0,0.0,0.0,60.597492,0.0,122.58898,0.006544925,366.0301,387.4791
1.0,2.0,0.5828722,2.1322591,5.4331193,52.46738,11.269213,6.4725304,68.03663,130.64204,58.717762,90.055305,80.761696,59.581654,146.87134,103.235596,51.909233,0.0,0.0,0.0,0.0,0.0,0.0,19.848392,0.0,35.2407,0.0020407387,127.64132,134.8674
1.0,3.0,0.55834305,2.151083,10.5906925,31.36034,5.5501328,3.5007854,47.051167,70.101166,33.813324,60.921673,50.684925,47.45123,89.36771,50.220543,36.074833,0.0,0.0,0.0,0.0,0.0,0.0,9.70202,0.0,16.256165,0.0010706899,69.87531,73.815865
1.0,4.0,0.3413093,2.8154943,10.060542,21.206839,3.6500359,2.0453715,24.960205,49.290512,22.85509,41.5721,30.869373,35.19837,83.868454,32.91753,18.408998,0.0,0.0,0.0,0.0,0.0,0.0,4.715936,0.0,8.528087,6.186199E-4,39.223133,41.422573
1.0,5.0,0.3371493,2.0114906,7.0943627,12.10234,2.5182214,2.393725,17.888147,33.04438,15.282556,24.807919,29.19772,33.611404,59.951065,20.569616,12.359197,0.0,0.0,0.0,0.0,0.0,0.0,2.9257097,0.0,5.526082,4.1345195E-4,25.994883,27.399618
1.0,6.0,0.15400371,1.5804163,5.847892,14.062479,1.8685483,1.7224257,15.488359,26.163351,10.396555,24.381489,23.210392,23.627392,36.27804,19.7662,11.429106,0.0,0.0,0.0,0.0,0.0,0.0,2.5635686,0.0,4.490282,3.4315084E-4,22.440489,23.654974
1.0,7.0,0.11983935,1.2079456,3.8235004,13.290974,1.4373506,1.1759564,9.969967,23.547054,10.038102,15.779039,18.27657,20.820316,34.083836,13.205096,7.1056147,0.0,0.0,0.0,0.0,0.0,0.0,1.7635174,0.0,3.22236,2.486618E-4,16.220139,17.104902
1.0,8.0,0.19449182,1.1448921,3.9637828,8.7409115,1.0614525,0.524018,10.103253,16.648006,6.517282,13.933392,12.840444,13.222552,25.09555,13.991778,7.098118,0.0,0.0,0.0,0.0,0.0,0.0,1.4483578,0.0,2.4652576,1.9808336E-4,12.919699,13.637286
1.0,9.0,0.14571978,0.79143566,2.9627812,7.2319555,1.0425073,0.71065354,6.1447845,13.47116,6.7329655,11.042403,11.828104,11.169177,18.929024,7.6680803,4.8082795,0.0,0.0,0.0,0.0,0.0,0.0,1.1921289,0.0,2.0755534,1.6167204E-4,10.479859,11.041757
1.0,10.0,0.22127965,0.57773167,2.2718124,3.8354738,0.6627388,0.43541873,5.6262946,10.999527,4.6410074,8.7136135,9.106833,12.154564,16.62113,7.464622,4.5924826,0.0,0.0,0.0,0.0,0.0,0.0,0.8315564,0.0,1.5243499,1.2188054E-4,7.8789973,8.308363
