"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,4.1159396,3.1199098,3.7422502,4.259738,3.3181288,4.5085335,3.1305428,3.1197505,3.4764886,3.7625468,4.079585,3.592216,3.4602706,3.659968,3.498954,4.2566724
2.0,4.227962,3.1343198,3.9025123,4.396756,3.3380556,4.624027,3.141626,3.1204257,3.6344934,3.8339653,4.0952697,3.7453043,3.4212909,3.770329,3.7874033,4.3761764
3.0,4.232914,3.1477973,3.9101765,4.342031,3.4012415,4.6406193,3.1518357,3.1520646,3.6288366,3.860416,4.1080923,3.683672,3.382801,3.972856,3.6439598,4.346113
4.0,4.2465167,3.1613362,3.8682785,4.266624,3.3650172,4.627205,3.1533675,3.139564,3.633261,3.891635,4.1340876,3.6628113,3.3353775,4.0912595,3.675596,4.3312793
5.0,4.261038,3.1730247,3.8521802,4.282885,3.3726912,4.712477,3.1542914,3.1720974,3.6563535,3.9441416,4.206104,3.671531,3.3013604,3.9072344,3.6308844,4.3433223
6.0,4.270854,3.1591427,3.8122497,4.2597637,3.3573623,4.6543393,3.153447,3.1733706,3.6545088,3.9084868,4.1926403,3.5718997,3.3114684,3.9663482,3.6189206,4.32022
7.0,4.2899666,3.1692202,3.810121,4.2744546,3.3550029,4.6887665,3.1512544,3.1793296,3.6365185,3.9296153,4.1465034,3.6432226,3.3128116,3.8280568,3.6099968,4.327167
8.0,4.284453,3.1882164,3.818091,4.262464,3.3692899,4.6685596,3.1511443,3.2102625,3.6560926,3.8760977,4.156157,3.5330796,3.3141532,3.8786669,3.606751,4.3269835
9.0,4.2798085,3.1949015,3.8071043,4.319274,3.3887744,4.69152,3.156697,3.2045357,3.6407537,3.9335148,4.152578,3.7256694,3.3101032,4.0300903,3.6011252,4.3420806
10.0,4.260073,3.1994336,3.8221934,4.291618,3.3759313,4.7202873,3.156064,3.2045147,3.6486425,3.9020743,4.147764,3.6167047,3.311258,4.0820713,3.6157842,4.366632
11.0,4.25995,3.167447,3.8961248,4.299629,3.3607433,4.7069426,3.1565266,3.1916628,3.6877286,3.9505954,4.1174126,3.6845453,3.3180807,3.9763117,3.632913,4.3750463
12.0,4.2484713,3.156843,3.8862004,4.2616844,3.353241,4.725543,3.1559982,3.191304,3.6591048,3.9078486,4.0891953,3.629384,3.33001,4.006247,3.6181026,4.3695717
13.0,4.2471814,3.1513994,3.8362925,4.3260856,3.331645,4.7075305,3.1501992,3.1847382,3.6675024,3.9556832,4.1086874,3.6631353,3.3257644,3.9022408,3.603396,4.375811
14.0,4.243036,3.1445813,3.8338861,4.294659,3.3537576,4.712787,3.1491568,3.1579728,3.6679766,3.8992627,4.107531,3.7205982,3.329749,3.989251,3.6021986,4.3731327
15.0,4.2607327,3.1436944,3.827462,4.2992964,3.3183258,4.7294993,3.153654,3.1540077,3.5793793,3.9181917,4.105958,3.674201,3.3177667,3.905632,3.614336,4.3787584
16.0,4.254469,3.128338,3.827235,4.2970924,3.307217,4.683036,3.150232,3.1378527,3.6008542,3.8997567,4.111111,3.588215,3.3152893,4.041771,3.6079073,4.373889
17.0,4.264045,3.1373587,3.8917723,4.33531,3.3249254,4.720125,3.1497142,3.155452,3.615186,3.9589968,4.1362214,3.6682088,3.3101065,3.8345044,3.6129873,4.379104
18.0,4.268087,3.1429977,3.823726,4.3101897,3.3436263,4.688161,3.144229,3.1319196,3.6482682,3.9435842,4.0955634,3.7216682,3.3282135,3.9759247,3.6042407,4.377701
19.0,4.252524,3.1391299,3.8572254,4.342641,3.3300087,4.7325377,3.1513302,3.1327221,3.6190467,3.9773426,4.134663,3.7212574,3.3050072,3.8889556,3.6444209,4.3780437
20.0,4.24516,3.143281,3.875965,4.3077474,3.3090425,4.7134614,3.156114,3.151872,3.6285117,3.9387808,4.054635,3.6587312,3.312132,4.0411167,3.6134667,4.3689847
