"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,22735.035,13425.603,29344.953,54038.73,12406.814,2069.7107,44514.43,23857.203,17949.924,140711.44,25615.01,124479.836,270814.8,396422.34,59091.277,7519.112
2.0,24985.602,22663.613,45903.008,66128.12,36580.46,2219.1372,78157.36,34041.594,29364.625,186780.75,48075.777,51065.363,283400.47,430570.2,262802.3,7692.508
3.0,26753.477,28819.55,59866.793,123172.39,75489.94,3359.0642,76779.125,27192.697,43273.176,218519.73,34776.383,22134.44,229624.22,106672.15,278349.56,8281.841
4.0,27888.205,34731.04,49846.4,210783.58,165187.34,3908.5461,76577.63,18713.473,51185.37,227692.4,17494.299,12890.511,149404.44,6991.4067,231068.17,9384.733
5.0,28290.904,39069.656,56621.633,227123.89,241105.84,4358.778,64934.543,13000.985,56481.086,218840.8,8678.914,8571.003,122483.266,9517.446,194395.78,11064.107
6.0,27869.893,39707.707,64045.91,214433.0,219064.83,7143.479,52130.344,10639.542,60487.363,209408.8,5946.366,9541.065,109423.92,27646.8,176845.72,13286.766
7.0,26878.168,40488.793,64044.477,234932.61,182640.9,7551.632,43552.96,8158.4653,65059.074,201266.36,5527.39,8640.405,98572.73,41081.004,180853.3,16076.681
8.0,25188.314,41994.1,65458.074,238423.3,143943.33,7369.9287,47780.258,6616.3477,69924.51,196875.1,5964.387,7419.4136,117806.71,64772.86,179391.3,19346.133
9.0,21972.215,39811.406,67491.01,207821.33,129614.65,7767.626,45729.33,5909.841,72929.414,184435.94,7602.8667,9254.915,95812.34,81830.14,179047.33,22853.555
10.0,15964.902,40229.633,66688.38,189121.34,132048.94,10810.615,44129.72,5193.875,72903.01,172638.2,9793.998,9897.8,105822.13,60432.168,199522.25,26487.92
11.0,13386.966,34391.715,75764.055,199989.58,157023.77,12439.052,43275.273,5075.8438,72794.68,161921.22,11696.427,9743.13,116928.484,36627.21,212689.05,30347.434
12.0,15181.914,27999.383,83957.56,207227.53,176666.73,12002.333,47425.48,5058.0566,72498.984,162380.47,11431.024,10935.161,112757.31,59130.152,191874.95,34515.926
13.0,16380.617,27033.57,76856.61,177324.56,167068.89,11409.51,44103.92,5799.288,65937.89,168848.89,10657.409,13586.819,110681.51,74523.266,201421.8,38833.94
14.0,16374.8545,25280.857,66342.68,188878.28,146816.47,10742.237,41421.61,6828.418,51702.004,161989.03,12352.965,14444.877,114768.51,57703.062,209141.45,43037.758
15.0,15429.976,25488.629,70268.54,175256.95,134920.28,10067.557,44414.914,6311.9824,35307.457,147469.55,13344.362,16031.118,108761.234,57356.117,203567.34,47203.137
16.0,15191.404,25017.553,70389.32,176761.39,132122.77,9400.518,47674.46,6078.057,36660.414,148820.97,14647.767,18358.3,99246.65,74062.07,220170.73,51406.57
17.0,15452.959,22902.56,70601.445,161944.67,129270.9,8737.102,48826.934,5577.681,36919.76,154295.28,20711.633,21843.053,100487.42,58554.082,175941.81,55787.895
18.0,15438.202,22008.357,70191.31,167940.72,155569.92,8090.3237,52999.81,5142.2544,38813.023,165386.11,21200.076,18329.703,95551.68,49624.49,185184.89,60612.18
19.0,13676.344,20684.283,62575.777,175980.27,171649.02,7432.9863,51877.043,5179.7676,38913.582,162358.72,18280.666,18225.863,101852.016,74569.516,162325.11,66019.33
20.0,11822.585,21152.74,54449.227,186543.64,162688.0,6782.9976,51139.824,5258.1606,39429.35,159094.38,17708.447,16944.072,96775.445,65281.066,185639.83,72053.42
