"Distribution of fish biomass (tonne) by Trophic level. Class i designates interval [i,i+1[."
"Time","TL","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.9000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.3000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.8000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,1.8445916,0.0,0.0,0.0,0.0,8.882369,0.0,0.0,3.1337383,0.0,0.0,16089.361,0.0,6695.6016,0.0
1.0,3.1000001,0.0,35.585007,0.0,0.0,0.0,0.0,46.188423,174.7606,6.9278417,0.0,0.0,0.0,31391.148,0.0,0.0,0.0
1.0,3.2,411.38116,8703.97,20793.12,0.0,7203.3975,0.0,8881.875,26732.611,12446.144,17.524885,0.0,0.0,33228.973,0.0,14285.707,10.609122
1.0,3.3,491.32825,1206.8097,4343.4136,0.0,923.7136,0.0,2142.4558,480.9444,957.1235,52272.97,3872.2637,80946.99,71426.9,3523441.0,23548.24,20.449553
1.0,3.4,583.72235,362.36917,2512.8018,221.60245,210.58556,0.0,721.90814,308.7329,771.6339,1846.8353,279.76047,1792.246,5516.0864,66614.77,3930.0933,227.40324
1.0,3.5,1740.8285,232.26999,2116.5742,1717.6349,225.09192,0.0,895.7267,274.14127,536.8484,2209.0642,335.77814,1514.5101,3321.7766,53510.25,6108.198,194.47614
1.0,3.6000001,2981.1104,274.91074,1447.2738,3048.1917,154.72359,0.0,1102.8912,369.1333,700.67554,1528.6771,197.98201,730.5325,2265.563,29285.63,5490.335,373.72482
1.0,3.7,1989.6493,1093.0809,1687.2034,3750.4792,350.66656,1.3189844,2862.1553,429.1493,740.4557,1859.1615,302.6842,289.9329,3259.0505,159880.39,3635.7744,565.6288
1.0,3.8,1990.7737,840.07745,1906.2206,5092.4097,260.90326,12.663966,5658.0815,390.30338,463.19702,3064.0852,604.7561,1276.8019,10421.259,193274.52,2332.038,759.2231
1.0,3.9,2001.9594,311.66138,1908.3373,5838.7856,259.21945,74.154236,2550.4153,468.78253,463.86362,7225.188,1786.9691,4553.5146,19702.06,230385.17,1680.2411,908.61816
1.0,4.0,2187.6477,135.18039,1863.2191,6314.4395,270.6744,72.26362,58.281178,407.71643,344.76617,4981.295,2096.5542,4545.0957,2102.0269,10587.546,880.3708,1095.9855
1.0,4.1000004,1971.7328,125.4442,1113.1562,6160.714,136.33842,157.31392,79.54481,360.40317,222.59016,5549.1123,2313.4512,4865.148,1124.688,23874.178,594.43506,1024.2617
1.0,4.2,2570.6982,132.16551,1311.2753,5631.6973,654.60095,267.46954,93.10985,205.36647,115.54449,25054.904,4295.1055,11538.398,6396.2134,67113.484,354.56454,956.2861
1.0,4.3,1008.71356,111.15641,587.2127,3398.9395,126.57098,413.7442,144.16847,177.1048,81.689835,6198.5605,1852.8698,1435.5399,1993.1943,19033.633,332.24216,565.59186
1.0,4.4,542.2063,106.24294,193.4446,1760.7739,31.984058,356.53836,171.92456,110.38955,38.223637,2142.9722,746.37244,141.735,492.3739,6901.2554,131.94322,274.92673
1.0,4.5,407.0194,81.32781,171.09943,1250.9501,21.350334,257.7026,157.25592,221.4777,34.95627,1628.6202,662.7764,684.47,522.65283,4043.4292,47.192707,192.34303
1.0,4.6000004,376.63742,73.10972,122.13016,1126.7826,16.577745,202.75845,142.4443,109.53728,11.30459,1695.028,540.6266,301.39716,644.8913,4527.152,79.32246,165.035
1.0,4.7,463.36478,70.492905,159.73886,763.9396,22.489698,107.85395,172.86113,100.676346,30.25325,2412.8518,580.99976,4843.1123,1428.5461,7914.77,29.458345,117.33012
1.0,4.8,269.51642,47.25671,164.30669,610.31995,9.661466,60.916203,117.256744,55.75653,0.0,1384.5596,453.4079,235.34042,530.6662,8203.094,8.527,77.420784
1.0,4.9,188.33687,5.6912704,95.566376,456.66113,13.691317,47.290188,29.79525,0.0,0.0,1670.1119,546.60364,280.03516,439.9421,4017.109,18.940662,61.874973
1.0,5.0,198.52188,0.0,31.851633,257.2116,4.5334954,25.055561,0.0,0.0,0.0,944.81305,260.06015,0.0,0.0,2325.464,0.0,28.331617
1.0,5.1,83.76614,0.0,16.98578,126.73072,2.707385,14.593398,0.0,0.0,0.0,949.1886,225.4308,0.0,54.83315,1494.3677,0.0,7.1580405
1.0,5.2000003,45.575573,0.0,13.696956,92.57744,0.87816286,6.895412,0.0,0.0,0.0,1647.0217,255.46457,42.731583,0.0,2739.3513,0.0,5.701247
1.0,5.3,18.679977,0.0,11.329731,46.3302,0.23177762,3.2402275,0.0,0.0,0.0,181.64381,23.814095,0.0,0.0,365.26724,0.0,1.7855349
1.0,5.4,4.3489137,0.0,4.360601,23.299288,0.0,2.171438,0.0,0.0,0.0,315.1925,26.868147,0.0,0.0,512.72705,0.0,2.2513733
1.0,5.5,8.114997,0.0,0.0,49.92377,0.0,4.562071,0.0,0.0,0.0,150.20737,8.285532,0.0,0.0,254.90436,0.0,2.2008467
1.0,5.6,2.5351264,0.0,0.0,27.610252,0.0,0.4769367,0.0,0.0,0.0,22.74785,9.692157,0.0,0.0,71.68142,0.0,3.653272E-5
1.0,5.7000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.037544,16.833271,0.0,0.0,203.27946,0.0,0.0
1.0,5.8,7.832212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.408022,6.323873,0.0,0.0,178.40854,0.0,0.4524627
1.0,5.9,4.869412,0.0,0.0,9.497628,0.0,0.58441967,0.0,0.0,0.0,21.538717,10.893003,0.0,0.0,87.161674,0.0,0.0
1.0,6.0,0.0,0.0,0.0,7.885988,0.0,0.9772795,0.0,0.0,0.0,9.61376,4.649598,0.0,0.0,58.408,0.0,4.5647204E-5
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
