"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,19.09526170158175,11.484260155719763,0.15132602885125546,0.0,0.22038127126480006,0.0,0.09886807188262116,0.06734385519426694,0.06964245076025365,2.337821286433964E-5,7.651693773543143E-4,0.06446528610573742,0.0,0.0,0.0,0.0,0.0,0.0,1.145061897876431E-6,5.7322069342755934E-5,0.012667411222515843,0.0,0.0,7.962687015310395E-5,
2.0,15.841027714095693,17.849861779587705,0.5683331990081173,0.0,0.2767511711102833,0.04656265216336769,0.08867819345263149,0.0694555124645133,0.06965517231956168,3.715893518487097E-5,7.604579087027421E-4,0.00843855740070423,0.0,0.0,0.0,0.0,0.0,0.0,2.3687043392327295E-6,5.2895111015915286E-5,0.0011308631732840752,0.0,0.0,1.5780119855785181E-6,
3.0,11.831919817344998,13.064297696688747,0.44747536127876175,0.0,0.07429506823410775,0.07808626503856855,0.07468029475563426,0.06948992870734223,0.06962908162877524,3.117706777053529E-5,6.324886626211242E-4,0.022020931917638147,0.0,0.0,0.0,0.0,0.0,0.0,9.009807779764555E-7,2.3688295432333854E-5,0.0032341367295175274,0.0,0.0,2.0839520629226106E-6,
4.0,11.317899641180567,12.896759581914928,0.8181403975245649,0.0,0.10175466066565327,0.1041708421156228,0.07302135553194852,0.06869773128356643,0.06967560185857621,2.3338787661997125E-5,4.259829691015967E-4,0.02007612467349853,0.0,0.0,0.0,0.0,0.0,0.0,5.416063115099779E-7,1.4122000804685028E-5,0.0038410907128685694,0.0,0.0,1.8604394435074098E-6,
5.0,10.483258220985803,11.193787019223487,0.18797288801182063,0.0,0.16746776876203429,0.06026521115221828,0.07027690145272529,0.06965860661809606,0.06964659846108019,2.2168091095847017E-5,3.5355771463315653E-4,0.023481469666278725,0.0,0.0,0.0,0.0,0.0,0.0,5.433567499385482E-7,1.0762701039612176E-5,0.0043860846382440324,0.0,0.0,1.8476331136172224E-6,
6.0,10.337607522273967,20.747696711875683,0.3917545635739154,0.0,0.2721840701764265,0.10903386030468963,0.06996115733562874,0.07233170411766754,0.06964966774880235,2.671099083669437E-5,4.823007421513481E-4,0.03369127141970256,0.0,0.0,0.0,0.0,0.0,0.0,1.5368339757055022E-6,3.102546509110887E-5,0.006738509045087419,0.0,0.0,1.5329088976316807E-6,
7.0,7.963531555492306,12.295958075359465,0.0863238234582482,0.0,0.27774009413854145,0.18015324808434208,0.06307983683890328,0.06949217335971303,0.0696406667745487,2.2209632442802017E-5,3.6842483891370674E-4,0.04521660177124441,0.0,0.0,0.0,0.0,0.0,0.0,1.1335939604592432E-6,2.2354091363310624E-5,0.010740252520009147,0.0,0.0,2.1050775687552945E-6,
8.0,8.181007284517156,10.246211580828207,0.7819396884454267,0.0,0.22898973501230202,0.028457144826673438,0.06367126270002661,0.06968896540677617,0.06966799126662142,2.3372561073204172E-5,3.9036251414341464E-4,0.0376927461010787,0.0,0.0,0.0,0.0,0.0,0.0,2.043594200261067E-6,3.6198474253442515E-5,0.008307481304374384,0.0,0.0,2.0904518206920304E-6,
9.0,9.432859084237677,12.50527138215884,0.9360002093322081,0.0,0.20435152646584043,0.06587175552277388,0.0671578145395104,0.07007388221061157,0.06954498105690372,2.1913136833794202E-5,3.2005619706412244E-4,0.024813737714621698,0.0,0.0,0.0,0.0,0.0,0.0,1.5496098170896266E-6,2.3994456001466334E-5,0.005214691842321116,0.0,0.0,1.4217420076175051E-6,
10.0,7.275711784210565,14.084929563937587,0.15336390121470997,0.0,0.31094479840814476,0.0603978996202779,0.06096295221315557,0.07181715626064186,0.06964057263251597,2.0529541128434975E-5,3.336018814406738E-4,0.03603313782480608,0.0,0.0,0.0,0.0,0.0,0.0,1.3760106929309998E-6,2.4866054043885814E-5,0.008209294835317994,0.0,0.0,1.8240937142801692E-6,
