"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,17.418465657890636,8.868306549308898,0.169184227142489,0.0,0.5835999341878382,0.1421886967064153,0.055106665019789086,0.0016657868296101903,0.0016851096283309692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05814822308167604,
2.0,13.118207502065871,11.553510609417424,1.3648672742402956,0.0,0.8413629015371661,0.4051995801270796,0.046486353828958514,0.0016397363005200697,0.0016813683083075376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03791528372987914,
3.0,12.743178751940148,7.115339081965842,0.7426563414755778,0.0,0.9452102931859732,0.12546782527959252,0.04604091792728415,0.0016850172491554474,0.001686642729801919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09201758566587102,
4.0,12.390433280949367,8.749437298760995,1.011521865916124,0.0,0.8802136303796242,0.1479483096749287,0.045414351909598104,0.0016846121903069725,0.0016879483411299024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1311059947973003,
5.0,13.810955408112802,11.925686675351105,0.504282475036184,0.0,0.7441794427166168,0.0979254604013416,0.04762778923400659,0.0016874025386951453,0.0016962393963188555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381410645301196,
6.0,10.675727111362024,11.68438632596646,1.3120254374233227,0.0,0.47584345634917663,0.15203606285603638,0.04313588830600371,0.0016759775029098188,0.0017284529671490747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1967958350681625,
7.0,13.624003651696862,14.550253030278673,2.322139515155467,0.0,0.28029574527358947,0.21590766986722654,0.04723103261404146,0.0016604791357167851,0.001685894085525518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266093840614746,
8.0,11.172903173205503,12.161539687333809,1.0274991612168114,0.0,0.2930590391641067,0.13383179489438685,0.043750977638246376,0.0016579049482939655,0.001690720287105358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08697029276567496,
9.0,11.112160377991785,12.765740811349426,1.586873834518967,0.0,0.2802775502565471,0.16012054629004058,0.04365537611912699,0.001653936105871133,0.0016962065123727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2087485311475499,
10.0,11.453509100727251,13.956942271258239,0.7535103490275832,0.0,0.25738147455671634,0.32835197518343096,0.04416876409421566,0.0016613408813769585,0.0016848092240431274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08946309182650462,
11.0,10.22421488249973,12.13504396245294,0.90878167645165,0.0,0.25219230814604643,0.2449110965116245,0.04241000046405181,0.001664914193447608,0.0016844026093605566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05122677155315223,
12.0,9.959490570362856,13.495066228267548,1.1567393219222875,0.0,0.24775179514088555,0.2723212410029803,0.04205309379435233,0.0016390171243532788,0.001688187734649859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06828949747665058,
