"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,1.229792687736058,2.1801303241699186,0.15586148926199192,0.0,0.7737905610273752,0.6425741668054048,2.270890298558282,4.064532775888171E-4,4.1368246799133103E-4,4.0201049571612335E-5,0.03895968652922836,0.2525858387234267,0.0,0.2749999999999997,0.2750000000872226,0.0,0.0,0.0,8.877707233525859E-8,1.3502618911558168E-4,0.0011851109966527441,0.0,0.0,0.004250767947617128,
2.0,0.9486669530875556,12.48652174910789,0.039268867092619404,0.0,0.3145000551924162,0.9166375429905572,1.8761160867658664,3.758437034687185E-4,4.1357197943989535E-4,8.523511651015E-5,0.0778315024352744,0.24857159210028923,0.0,0.2749999999999997,0.27499999999999974,0.0,0.0,0.0,2.3469585187195532E-7,3.618405216535347E-4,0.0013261223196270216,0.0,0.0,8.2601030419015E-4,
3.0,0.8217734012789306,9.526150183890756,0.0377077539631559,0.0,0.23751543889081742,0.6533914732379452,1.7584935473693244,3.9395923557950056E-4,4.1364231515049206E-4,8.248684818521851E-5,0.09170098386424345,0.29373026437701194,0.0,0.2749999999999997,0.27499999999999974,0.0,0.0,0.0,4.4694971770403814E-8,9.420440508400693E-5,3.4010562761074115E-4,0.0,0.0,9.568599775676272E-4,
4.0,0.6765233882467614,9.567860079384022,0.03534480197253129,0.0,0.18760841465650893,0.3705818362678452,1.6341121332822024,3.986343225421075E-4,4.1359191454169454E-4,1.398881749173915E-4,0.12896397060467577,0.5609814917080069,0.0,0.2749999999999997,0.2749999999999996,0.0,0.0,0.0,1.527436802407631E-8,2.6736585883553145E-5,1.3813845155770626E-4,0.0,0.0,9.471833119491986E-4,
5.0,0.6830624435107635,6.5204039265639455,0.048899798160831606,0.0,0.2221485101067262,0.2642819741414321,1.638919898750937,3.9818054495795397E-4,4.136290582055764E-4,1.0171339871214948E-4,0.11766439009102587,0.4405917102658624,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,2.1061645273247316E-8,4.829553385586305E-5,2.0964863807704717E-4,0.0,0.0,8.224474019538498E-4,
6.0,0.745562466820356,7.20776489141101,0.0898848044069273,0.0,0.17054025467711467,0.28246472055680716,1.6932294896966835,4.1052891268438104E-4,4.1351642450697255E-4,8.033901579713367E-5,0.09389979541916722,0.406535355366545,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,1.7338947709333102E-7,3.8966664402755936E-4,0.0019488128051419154,0.0,0.0,5.268666042495131E-4,
7.0,0.5893887078454075,11.773533344054556,0.09242782403344327,0.0,0.13843041185383662,0.252973004161888,1.5698684049348726,3.9779126359741407E-4,4.1365215470895813E-4,9.337959129211496E-5,0.05717093114259839,0.4187203722355571,0.0,0.2749999999999997,0.27499999999999974,0.0,0.0,0.0,1.3125314825340158E-7,1.443026699051869E-4,0.0013339957853479789,0.0,0.0,5.352064260730951E-4,
8.0,0.5568846857981881,5.614601705210266,0.13745068528377638,0.0,0.1947905602433824,0.2164433961192494,1.5469454976969261,4.087107131903957E-4,4.136573081110664E-4,8.943991387521606E-5,0.08875769640472979,0.4155254977075252,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,3.1703649778691837E-7,5.872957063513994E-4,0.0032189513918965034,0.0,0.0,4.377621588252521E-4,
9.0,0.6013882922445865,6.1677307954751095,0.1595028041656956,0.0,0.2269794920109953,0.367152832282665,1.5774153931924981,3.9979418773852544E-4,4.136238344178413E-4,8.199870601474841E-5,0.06921251237847943,0.3269842813292917,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,2.130968483747908E-7,3.2548049805913924E-4,0.0018408208285558853,0.0,0.0,1.1487021555278573E-4,
10.0,0.5649403643104983,5.511728192439917,0.10437192794428753,0.0,0.2113738256561133,0.3765278915968837,1.5520270271612462,4.065917451967656E-4,4.136317244150471E-4,8.194575302439493E-5,0.08842610938219343,0.34714476180882514,0.0,0.2749999999999997,0.27499999999999974,0.0,0.0,0.0,1.8083845623309953E-7,3.778825250684375E-4,0.0016943851836757366,0.0,0.0,1.3910948802306545E-4,
11.0,0.4843188679020606,7.591015351171928,0.06419628465762417,0.0,0.2679936046220673,0.4189175475806765,1.4969343253216776,3.983730586145601E-4,4.136046184512003E-4,6.0449506550378015E-5,0.048775919627913354,0.2289572779233475,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,3.486973200481841E-8,5.3521700392461996E-5,2.9860858298102805E-4,0.0,0.0,0.001101143831231628,
12.0,0.5683700288479987,6.336199413274373,0.059944399888688875,0.0,0.2884687689047416,0.39328499404123823,1.5665526963982863,3.973469449863283E-4,4.1358894951450673E-4,8.054587992756099E-5,0.07310659247604044,0.31747637838683357,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,1.7664118003561468E-7,2.981132009151819E-4,0.0015242831231365875,0.0,0.0,8.675224365436861E-6,
13.0,0.6936536217102909,6.490726843058259,0.137446088998908,0.0,0.27589365329762944,0.3746524785537478,1.652425620504264,4.0675577202983466E-4,4.136683440401946E-4,5.419665679221978E-5,0.05165983707239889,0.2218047342281086,0.0,0.27499999999999963,0.27499999999999963,0.0,0.0,0.0,2.5122897336038107E-8,4.543816940320522E-5,2.3227685180365537E-4,0.0,0.0,2.7177013828460242E-5,
14.0,0.6119957536193619,6.396516602371982,0.0988415123253197,0.0,0.37774572817897206,0.39230964433686255,1.5874250379490873,4.081277269764157E-4,4.13599872978785E-4,5.8389084361635725E-5,0.06571969062077497,0.2646431931011238,0.0,0.2749999999999997,0.27499999999999974,0.0,0.0,0.0,4.183311816550723E-7,8.36834350447453E-4,0.003811896120123855,0.0,0.0,2.3224846864016643E-5,
15.0,0.6493115949562172,7.523394888262414,0.08292233865288151,0.0,0.2744243882501671,0.46388761113400917,1.6130305061508707,3.9496279194271E-4,4.136315713245591E-4,5.124725408992793E-5,0.049950661973330715,0.22608407891881202,0.0,0.2749999999999997,0.27499999999999963,0.0,0.0,0.0,3.876323551501535E-7,6.558841736044573E-4,0.0034031822081976,0.0,0.0,2.5302341521210952E-5,
16.0,0.5023410149804465,7.28735929290625,0.2099865551582632,0.0,0.26635668556223124,0.38182509420553906,1.510223030337257,4.026888992875469E-4,4.1375292972412807E-4,9.60423870665213E-5,0.08146117074334855,0.38177913740554004,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,3.649441862238045E-7,5.601621412764029E-4,0.0031055831007231528,0.0,0.0,3.438123609907942E-5,
17.0,0.5704015124802884,7.84009962394126,0.2514282606827865,0.0,0.2126004361304294,0.363306579814268,1.5533536819362925,3.948712257004053E-4,4.1364494134391223E-4,5.018434856977361E-5,0.040408031789673705,0.21209828047700036,0.0,0.2749999999999997,0.27499999999999963,0.0,0.0,0.0,3.4950659100210464E-7,4.7797378017844E-4,0.002961579694071707,0.0,0.0,1.6359259160241858E-5,
18.0,0.568747489057499,5.25296924726313,0.1891447827004608,0.0,0.36203450807405835,0.25581356954545487,1.5588877857342025,4.0977665752240327E-4,4.1367152254883667E-4,8.198714447664866E-5,0.08982024112457103,0.3411737862055882,0.0,0.2749999999999997,0.2749999999999997,0.0,0.0,0.0,7.292373769856845E-8,1.5761381592459413E-4,6.884110162787382E-4,0.0,0.0,6.20543803298445E-5,
19.0,0.5179168223007282,5.816158788432331,0.15195224154035905,0.0,0.26865409642492855,0.48565483051612474,1.5202337151714203,4.0569549006688624E-4,4.1369465937311713E-4,6.943523628598851E-5,0.05758939509319307,0.24179991131048117,0.0,0.27499999999999963,0.2749999999999997,0.0,0.0,0.0,6.644550966546871E-9,1.079259586227751E-5,5.254430847087713E-5,0.0,0.0,6.464254125754926E-5,
20.0,0.6652252424404147,4.972805947694012,0.16640239039445312,0.0,0.3181289140942718,0.4114342850855234,1.633557655100093,4.0305437648695264E-4,4.1364770108918313E-4,7.527165871499446E-5,0.07955406284465884,0.30597503878216126,0.0,0.27499999999999963,0.2749999999999997,0.0,0.0,0.0,5.678315036291484E-9,1.1727435043365864E-5,5.227916842726475E-5,0.0,0.0,7.049459938712453E-5,
