"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,9.677253315372136,6.3694889005863615,0.06648632271430686,0.0,0.622094768664922,0.2898940597341592,0.31038987323013284,0.014064537024881177,0.0142364618188305,4.047377260934565E-4,0.15311931553824287,0.5401794280411555,0.0,0.0,0.0,0.0,0.0,0.0,2.0498860196991212E-5,0.008322869669971408,0.029431871184032187,0.0,0.0,0.001932258173935206,
2.0,6.431822544891505,6.785971844185212,0.9533834982167131,0.0,0.986763254703878,0.8753870100369318,0.22890766166338394,0.01402223898101099,0.014235306673693125,5.262895703698517E-4,0.019864779444222228,0.37458876112970896,0.0,0.0,0.0,0.0,0.0,0.0,2.6045599695315263E-5,0.0010061108393239376,0.01977534590008569,0.0,0.0,2.3173057285607294E-4,
3.0,5.736839619438256,5.762948876735491,1.3513690225501014,0.0,0.7125017638787448,0.9429039812166536,0.21731186692652538,0.014207482121956525,0.014241800507150442,4.4470986988660226E-4,0.011398709215744651,0.09583537766622963,0.0,0.0,0.0,0.0,0.0,0.0,2.2125807630832006E-5,5.774591625796908E-4,0.0050342781519224266,0.0,0.0,6.069873473618278E-5,
4.0,5.816797739558662,8.013543817394865,1.7661486756350746,0.0,0.739169390859359,0.8463586105877305,0.21778238250777324,0.01418804192131113,0.014243304928395881,5.701599352687248E-4,0.019585348320397333,0.12093073935130301,0.0,0.0,0.0,0.0,0.0,0.0,2.7038221649068848E-5,9.464341196681874E-4,0.005983784668048126,0.0,0.0,1.5089524068883104E-5,
5.0,6.3936230750430205,7.804965058284579,1.4223811237934267,0.0,0.5058838165168786,0.5448525640081479,0.2267023745265692,0.014228005330379882,0.014248606973473759,4.145558537179427E-4,0.013832640637613898,0.14756436509704188,0.0,0.0,0.0,0.0,0.0,0.0,2.0082135068940192E-5,6.853162447308071E-4,0.007553537758191456,0.0,0.0,1.181276805268297E-5,
6.0,7.11231199198663,9.386335273820444,0.6493744340188817,0.0,0.36308494517793094,0.4681920046307949,0.23747940739119702,0.014088196262040229,0.01424346888105455,3.6171042440123394E-4,0.01790233880885344,0.22893775279288908,0.0,0.0,0.0,0.0,0.0,0.0,1.7803286065210605E-5,9.091579866880237E-4,0.011992261080303565,0.0,0.0,1.552673962594663E-5,
7.0,6.035581003577688,6.589116961892809,0.5448138815401614,0.0,0.43190596428569183,0.5621866674914404,0.2219066837567439,0.014149225838424323,0.01424087589062516,3.652920727058393E-4,0.019684189089125795,0.23154800015959212,0.0,0.0,0.0,0.0,0.0,0.0,1.768070011785714E-5,9.818334780151274E-4,0.01189633978137601,0.0,0.0,1.0254647428962887E-5,
8.0,6.227184417644227,9.004843942293164,0.8801933784386692,0.0,0.47464585107113216,0.5989256736045817,0.22380669390162333,0.014173790722054706,0.014242499320056879,3.301227578605023E-4,0.016637649476258294,0.22019288723153405,0.0,0.0,0.0,0.0,0.0,0.0,1.595764963201305E-5,8.258009470214934E-4,0.011274490631071376,0.0,0.0,7.087849104945067E-6,
9.0,5.369491938765777,9.463596372728182,0.6364809935187412,0.0,0.2961735914473832,0.46123832869956993,0.2115145684856623,0.01419174007877743,0.014241797175552531,3.4713410507951147E-4,0.021168684953137347,0.2579184308356556,0.0,0.0,0.0,0.0,0.0,0.0,1.6848317026781172E-5,0.0010626046167015724,0.013302881935915506,0.0,0.0,5.835281129594876E-6,
10.0,6.34309019409846,7.845083821056023,0.719563857191529,0.0,0.44255176166548355,0.33239515679651693,0.22574698776538493,0.014169164151994205,0.014243679625224723,3.09872237377314E-4,0.01588463235043168,0.24394102249207622,0.0,0.0,0.0,0.0,0.0,0.0,1.496228544356683E-5,7.887831720504056E-4,0.012504368716012536,0.0,0.0,3.576114352775998E-6,
