"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,4.048749298324514,6.760396612527719,1.2691533316905874,0.0,0.033006889612465264,5.7077795635107896E-5,0.37938637996780916,0.0010976263348619034,0.0011163671984266584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15519154015376993,
2.0,5.256899850772175,12.11557563640569,0.19377091672321947,0.0,0.09953306886772126,0.013925518482170392,0.3817921275234512,0.0010670663308206022,0.0011148664214341189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044773404081494904,
3.0,3.4908480935264263,6.7167697560173485,0.09656588890143324,0.0,0.21138539866039263,0.11802031242096078,0.33288183470435195,0.0011029833080159715,0.0011142325832910135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004716327083876407,
4.0,3.900024657719554,6.544775511950718,0.7931184030225699,0.0,0.2702996260351693,0.1516557750788189,0.34375570860055266,0.0011106837102652556,0.0011144432975211472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023432937433379274,
5.0,3.041687437099865,8.035680564638298,1.1758130989817208,0.0,0.313010531970233,0.08575071052939622,0.32130069074570927,0.0011071033905014735,0.001114124632352228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5310546270288863E-4,
6.0,3.5065367864407864,8.439433862977195,1.123889315175282,0.0,0.31515363741902663,0.11171261306914826,0.3335103974237829,0.0011041222025908748,0.0011175188989119055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19368120664885635,
7.0,2.7445843718709346,8.828343734730334,0.9699997145087249,0.0,0.2637803146492461,0.08593483394765894,0.31395861996779667,0.001106911732894311,0.0011142048896886528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010566149819414526,
8.0,2.834093816460038,6.295332086275832,1.0536373705092166,0.0,0.33776965333814435,0.10397978594424731,0.3163828570706124,0.0011106863902506361,0.001118730782360226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17736077903415037,
9.0,3.165502574268832,7.40656865638285,1.7032493630994083,0.0,0.28108245555963285,0.07928091908151767,0.3246863732582605,0.0011093859903997256,0.0011143788119285932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04849564822466416,
10.0,3.3965874111528027,8.375314291588987,1.3170603282119249,0.0,0.3042831733399419,0.16094682116189343,0.33050453213678016,0.001094321905491397,0.001115917440908787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07247238852105374,
