"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,9.57382523608429,6.561088984613034,0.03944167687841312,0.0,0.17235558493114295,0.0,1.483568668300595,0.811608471614666,0.8138430869253535,4.454370345684324E-5,0.009543945407268885,0.14075783958967883,0.0,0.0,0.0,0.0,0.0,0.0,3.0827196456882034E-5,0.00661269506241103,0.09763598156100141,0.0,0.0,0.0027341791569133415,
2.0,5.158177920509491,9.87719064934524,0.17183193288570184,0.0,0.17485988586471773,0.2823504841135734,1.0246762335596926,0.7903866355073081,0.8138393507637468,5.821130443458392E-5,0.005519752075343308,0.03557041362679191,0.0,0.0,0.0,0.0,0.0,0.0,4.0652603742887135E-5,0.003855877319791522,0.02487340449281979,0.0,0.0,1.1943656562228737E-4,
3.0,4.6113594883071,7.350922500846059,0.10803079897305008,0.0,0.1920271580256121,0.1269791613813362,0.9814542130450215,0.800953111841404,0.8138084726060089,5.023431038182005E-5,0.004002712000146387,0.04029051146961794,0.0,0.0,0.0,0.0,0.0,0.0,3.436874649095405E-5,0.0027387037557690054,0.02757326585696339,0.0,0.0,5.839016408956901E-6,
4.0,4.924289125032236,8.200511257047342,0.22186333020248347,0.0,0.26037361239708184,0.1727358641622468,1.0031950905036124,0.8123366653656815,0.8138206273726556,3.794299462682445E-5,0.0026914568807785313,0.028616719873470402,0.0,0.0,0.0,0.0,0.0,0.0,2.5876909218114512E-5,0.0018355916161487214,0.01951874271305772,0.0,0.0,1.733054349001225E-6,
5.0,3.9867939625008284,7.727708723771844,0.36062738660024707,0.0,0.3783450939132421,0.16281925355079405,0.9392369956027641,0.8124131811569011,0.813851246841206,3.6949547068530276E-5,0.002337563546679745,0.030181870857784874,0.0,0.0,0.0,0.0,0.0,0.0,2.5218935647894057E-5,0.0015954810441020368,0.020603585543402757,0.0,0.0,5.112319625220829E-7,
6.0,3.9544058165338773,8.064044375228116,0.5350627504507383,0.0,0.36540196361745836,0.1291983900667279,0.9351607970057428,0.8173168586497495,0.8139938682327267,4.129125632542718E-5,0.0027428474103735868,0.030498586464714702,0.0,0.0,0.0,0.0,0.0,0.0,2.8722552231912458E-5,0.0019082558262847667,0.021240899018091862,0.0,0.0,1.6145637941704547E-7,
7.0,3.5950101456192924,8.14797493283642,0.49335114892605336,0.0,0.39490438655945387,0.10205337987359718,0.9193358789444596,0.818030880134231,0.8139369600488449,3.400458069141793E-5,0.0018982543206477358,0.02503380405527267,0.0,0.0,0.0,0.0,0.0,0.0,2.355870736020809E-5,0.0013152878130724462,0.01736133274094642,0.0,0.0,6.133121196367807E-8,
8.0,3.6614020601740123,7.180824619015176,0.5471124714840043,0.0,0.47038307599154916,0.12829654370321464,0.9178132816604672,0.8120717236891355,0.8139791116871427,3.294559400154682E-5,0.0018177436706361427,0.022766758165799744,0.0,0.0,0.0,0.0,0.0,0.0,2.337275453198703E-5,0.0012898695688617968,0.016181579780723418,0.0,0.0,2.3921607541932935E-8,
9.0,3.4261531173971953,6.975738384751901,0.7633285451276267,0.0,0.47968564804063724,0.15396053012005986,0.9022414617931475,0.8159753010110018,0.814036968487036,3.2842353125578456E-5,0.0017235963236260656,0.020496000925605336,0.0,0.0,0.0,0.0,0.0,0.0,2.3037709241815725E-5,0.0012092415646299626,0.014400225589498574,0.0,0.0,7.594570486111264E-9,
10.0,3.7279307753271835,6.682506636965581,0.6017977431385739,0.0,0.49014885019308896,0.17372538225600906,0.9209561230118729,0.8126907975687997,0.8139285697073552,2.914735386729945E-5,0.001486468354181555,0.015561954435206134,0.0,0.0,0.0,0.0,0.0,0.0,2.0395177103597304E-5,0.0010402642954704894,0.01090387473047049,0.0,0.0,3.314102261545963E-9,
