"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,35.794373,3.7869825,11.225454,8.184658,NaN,12.161274,NaN,23.654083,6.0654435,19.434114,6.090465,15.306866,1.6319709,1.9352381,10.4014435,49.28141
2.0,39.183487,3.0249417,13.035468,12.160423,NaN,11.685807,NaN,21.50021,14.518437,19.828833,4.290612,16.545092,1.747657,3.7581484,9.94888,38.89147
3.0,42.793552,2.863453,11.215155,11.833877,NaN,5.922681,NaN,19.136581,10.129241,19.019491,4.2195415,18.077372,1.9022146,14.057566,4.391176,36.667965
4.0,44.90732,2.5510824,11.296157,11.293067,NaN,5.866589,NaN,18.737959,8.027709,18.746725,7.069087,18.992569,2.3596332,15.150827,8.946436,36.928665
5.0,46.21423,2.4298477,10.392228,10.318527,NaN,8.918834,NaN,16.86374,7.9776454,18.698442,8.453528,20.078432,2.6122882,19.459757,8.369578,38.255604
6.0,47.43279,2.3796713,10.2362,9.606555,NaN,7.4924493,NaN,15.843329,6.4032917,18.805367,11.387895,20.622658,2.6636631,9.721158,9.44893,40.111237
7.0,47.2654,2.284241,9.230751,9.864937,NaN,11.306336,NaN,16.948328,6.3619905,17.291042,9.483717,18.925827,2.5661335,15.748597,7.9011817,42.027317
8.0,46.59698,2.2390778,9.73961,10.448846,NaN,10.085707,NaN,16.436636,5.33267,18.287683,10.525445,19.896425,2.6670012,13.026232,8.49292,44.034843
9.0,43.570007,2.308207,9.678145,9.598032,NaN,12.259856,NaN,17.482298,5.413326,18.01348,9.202084,19.633442,2.5387425,16.544056,7.9559035,45.90346
10.0,39.47216,2.330013,9.084514,8.789544,NaN,9.252426,NaN,18.419167,5.3283935,18.98797,8.470483,18.888367,2.683714,13.296245,8.709009,47.794857
11.0,39.072323,2.3894804,8.70025,8.898803,NaN,9.623606,NaN,19.992283,5.578914,18.010612,7.3028145,17.70285,2.4796774,16.479567,7.867811,49.424595
12.0,42.517353,2.7042263,8.217257,8.959425,NaN,9.988673,NaN,18.88579,5.3342676,18.205042,7.446919,18.427584,2.6248233,16.843779,8.978594,51.1412
13.0,44.18479,2.7755897,8.672148,9.00052,NaN,13.056211,NaN,20.725039,6.2755213,19.08441,8.69387,20.002098,2.5641177,16.40435,8.558326,52.74445
14.0,46.894302,2.6591883,8.528329,9.361974,NaN,11.475864,NaN,17.47282,5.4232273,19.281786,7.6609817,19.925694,2.6663947,11.046029,8.812719,54.249855
15.0,47.98165,2.9198055,8.486562,10.392884,NaN,11.714965,NaN,16.686337,5.006272,19.187704,6.9787383,19.20604,2.5599468,16.438145,8.039885,55.749786
16.0,48.16294,2.7010856,8.321696,9.269198,NaN,10.584779,NaN,16.971052,5.460016,18.404184,6.8394685,18.377289,2.587354,18.582747,7.588857,57.11233
17.0,47.08263,2.945048,9.039714,10.025044,NaN,13.163237,NaN,16.631704,6.0796638,19.123419,7.944504,18.669062,2.732283,16.491777,7.7259817,57.90667
18.0,44.00279,2.6296499,9.217486,10.7249975,NaN,14.912383,NaN,18.960594,6.34415,19.1105,7.170364,19.308504,2.7623794,11.870547,8.056887,57.97574
19.0,41.385998,2.728215,9.259818,10.00965,NaN,15.403447,NaN,19.417803,6.7118034,19.138168,6.9669194,19.948849,2.704687,11.744248,7.842458,55.926537
20.0,41.140144,2.7881696,9.24497,9.0770855,NaN,16.389185,NaN,19.375296,5.53055,17.944387,8.289725,18.217028,2.673226,13.159231,8.925385,52.970287
