"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,21883.875,24075.418,84668.92,144793.3,12954.012,6917.4883,34014.492,75130.984,61322.586,113550.195,124727.2,223058.47,283610.78,1.9419806E7,111454.6,7385.8984,52021.703,29433.375,16463.96,17559.355,39341.47,45800.0,9402.784,457910.2,272108.8,91600.0,91600.0
2.0,24167.688,44404.355,232902.25,297699.3,50736.89,10579.039,39678.465,89789.42,63852.04,122282.57,129707.62,153150.3,198921.36,1927243.9,450308.56,8052.4985,53219.2,29225.908,15947.398,17261.234,37955.32,45800.0,9101.973,451288.25,268434.0,91600.0,91600.0
3.0,24829.885,65195.207,336717.5,403739.1,120855.64,17387.363,53400.098,86887.375,94367.79,124313.51,102744.28,71793.13,206753.73,216625.34,282074.28,8828.999,51153.547,29987.79,16952.51,17112.916,39800.91,45800.0,9348.098,445036.25,266443.38,91600.0,91600.0
4.0,25218.924,70631.31,373599.03,616837.6,189146.34,25736.227,46744.13,77579.68,99605.305,132685.69,119005.77,36369.574,193568.9,85428.73,162219.3,10274.331,51432.473,32140.717,17324.836,18015.105,38319.867,45800.0,9613.781,454662.78,264137.53,91600.0,91600.0
5.0,25016.586,78573.19,341323.94,791431.9,243445.84,37570.426,30180.459,68672.266,96296.625,141446.36,111299.34,20523.068,161032.16,144509.72,140025.05,12451.95,50703.336,30185.596,16756.383,17351.287,37669.48,45800.0,9348.676,455215.8,265129.7,91600.0,91600.0
6.0,23928.332,77398.69,289598.66,926741.3,221474.16,51952.355,13692.932,62617.527,104927.914,132011.8,84172.82,13540.474,133743.95,145777.33,114125.484,15337.83,52573.766,30323.074,16568.242,17282.217,38353.49,45800.0,9495.598,454667.56,268450.12,91600.0,91600.0
7.0,22089.578,78534.75,250252.81,985246.7,231549.23,66400.68,2678.7864,60707.645,115523.805,112709.85,110597.44,16750.207,159717.17,122728.5,119674.52,18949.756,52169.863,29312.557,16502.82,17234.322,39030.316,45800.0,9286.089,456457.7,269976.12,91600.0,91600.0
8.0,19680.928,82304.34,239265.88,927531.56,194398.66,85135.33,3492.036,56737.465,105972.97,99580.51,94028.98,22376.55,151996.6,253148.14,131696.3,23255.607,51419.95,30727.854,16828.66,17369.818,38299.11,45800.0,9219.673,455400.34,266255.25,91600.0,91600.0
9.0,16277.877,81958.37,241629.83,967323.4,172978.0,97524.055,2817.125,57232.418,114141.97,82911.914,99834.76,20731.564,137073.3,228072.08,133752.64,28140.72,51889.88,29711.979,16462.19,17279.656,38979.887,45800.0,9238.049,452816.9,268105.2,91600.0,91600.0
10.0,11069.194,76142.0,246136.81,958795.56,179103.69,116847.125,2865.455,56121.324,106664.016,79526.805,92791.74,22748.234,121023.45,271906.78,136956.81,33612.47,52752.72,29172.594,16660.502,17051.24,39736.406,45800.0,9334.929,457000.66,271871.22,91600.0,91600.0
11.0,8174.369,61400.85,225939.67,949637.2,187366.58,132485.06,3716.641,51750.766,116670.36,72567.28,97614.125,29413.344,116930.64,199827.28,139956.7,39689.707,52079.703,29280.71,16665.877,17310.857,39778.074,45800.0,9294.303,454361.28,270163.6,91600.0,91600.0
12.0,8688.997,48108.82,203642.38,927061.2,189909.39,140796.2,3124.2737,50990.574,107433.055,64856.46,127252.1,34428.66,114566.516,275229.38,105533.664,46152.816,51685.387,30675.824,17197.627,17772.166,40011.047,45800.0,9365.874,456204.22,268616.9,91600.0,91600.0
13.0,8772.305,53151.492,197736.0,864640.94,199296.66,134534.27,2438.8071,46199.848,94688.58,53987.652,126421.57,32241.312,120112.28,339493.47,132803.2,52894.24,51710.234,29768.357,16360.526,16670.22,37638.46,45800.0,9062.807,448950.47,265484.3,91600.0,91600.0
14.0,8345.334,56298.156,206766.34,873833.3,191486.39,138667.48,2920.0503,47567.53,93448.87,45433.945,113273.85,29591.42,120707.4,259691.53,147508.23,59409.824,53368.76,27861.719,15673.088,16831.373,38757.17,45800.0,9097.815,442797.1,268780.0,91600.0,91600.0
15.0,7816.592,57179.44,186814.86,913385.4,178674.83,135328.36,3311.8218,48947.973,82301.98,40622.074,107865.41,31403.543,114706.0,237722.95,136218.56,65259.777,51986.605,29772.27,16058.549,17258.861,38426.863,45800.0,9133.278,439618.8,265972.88,91600.0,91600.0
16.0,7461.8774,57640.81,188446.62,856132.9,158820.94,123446.88,3999.1157,46342.027,86600.14,37272.016,128055.7,34535.9,109650.625,324911.34,111338.59,71032.65,52592.64,28315.865,15967.7295,16749.592,39013.723,45800.0,9227.259,446734.22,271329.88,91600.0,91600.0
17.0,6611.4404,60284.04,198249.03,865585.5,144686.52,115623.35,3716.883,53719.734,72094.336,35309.2,108239.77,33001.137,107230.14,330148.06,124319.71,76592.88,51678.9,29045.0,16254.3,16987.568,39910.32,45800.0,9224.666,446876.9,268299.1,91600.0,91600.0
18.0,5063.4243,58584.03,226622.3,790134.6,166228.88,114941.95,3401.1965,50672.332,82407.875,36062.414,108458.22,31821.797,118246.266,317066.16,121169.77,82347.234,51991.992,28922.166,16320.879,17115.018,39787.773,45800.0,9117.526,442874.8,267244.12,91600.0,91600.0
19.0,3654.9268,54414.6,235768.6,813882.5,199026.95,112437.71,4011.7314,57370.7,82855.95,33404.387,104378.29,26366.623,113295.64,268834.62,123109.2,88857.586,51865.848,29680.893,16187.539,17059.271,38334.2,45800.0,9132.847,444729.66,266474.6,91600.0,91600.0
20.0,3016.1624,58360.188,218450.45,873969.9,194372.9,110575.445,4880.9,53912.73,83805.875,31702.389,116013.5,32276.34,126585.44,284009.78,137356.1,95428.945,51570.004,31717.059,16706.428,17911.863,38079.37,45800.0,9455.266,446659.1,264953.8,91600.0,91600.0
