"Distribution of the biomass (tonne) of prey species (in columns) in the diet of cod by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,3.5377297,0.95867586,2.2459775E-5,0.032581516,0.11099745,0.012499171,0.028420612,0.030944603,0.06364931,15.880905,0.67637,1.0336165,0.7157454,0.0,0.0,0.0,0.0,0.0,0.0,2.2046119E-5,57.087036,4.875197,0.92297715,87.56051,3.048386,0.018853894
1.0,1.0,0.03571742,1.4974917,12.672341,10.875081,1.3697832,0.03166534,2.7933035,4.1919923,6.60067,1.53428,8.679113,9.5592165,12.937542,8.626034,8.920718,0.0,0.0,0.0,0.0,0.0,0.0,2.5473552,0.0,0.14763139,77.75798,27.70331,12.994462
1.0,2.0,0.25339144,1.7605416,13.808857,11.169311,3.155093,0.45992276,4.4402356,4.562318,13.217111,10.197927,9.693454,17.367718,33.24603,10.4940405,9.839995,0.0,0.0,0.0,0.0,0.0,0.0,0.5417659,0.0,0.029841274,65.57206,24.30742,22.920437
1.0,3.0,0.3317661,1.5730286,14.089441,9.345199,1.8291955,1.6204716,3.105716,6.9319654,9.238964,10.361822,11.946531,15.004291,30.81297,5.720337,5.9603705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.70806,13.6601095,12.869012
1.0,4.0,0.27045614,0.94479966,5.868393,8.466791,0.7961306,0.610734,2.1360755,4.963852,4.810298,6.328442,7.636398,9.923633,14.296312,3.504712,3.6162694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.431055,7.03897,6.6310873
1.0,5.0,0.22301824,0.5178193,4.184727,4.043623,0.32470712,0.41270846,1.030003,3.2842004,2.5424407,4.242109,4.3429875,7.3883767,4.5771704,1.840396,2.0784302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3949723,3.4593234,3.260559
1.0,6.0,0.115343235,0.31918168,1.6377411,2.9129558,0.18842243,0.3751146,0.5700406,1.5332057,1.1347156,2.1643178,2.6284316,3.0927289,4.1467905,1.8092669,1.2288898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6306474,2.0046241,1.8881699
1.0,7.0,0.10525465,0.25071192,1.6744918,2.2677248,0.16104853,0.27128425,0.40450695,1.3122115,0.7835838,1.5512216,2.062742,2.5659966,2.6173468,0.9549335,0.7852809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4504064,1.3893104,1.3080775
1.0,8.0,0.12801956,0.1901384,1.2966299,1.6562814,0.18201914,0.26377872,0.33166593,0.9499918,0.6855799,1.4212302,1.5605084,1.8617461,2.1329355,1.056608,0.5122441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96080965,1.1872556,1.118302
1.0,9.0,0.10086675,0.16680843,0.84044373,1.3930031,0.13002749,0.2992256,0.23244788,0.5305059,0.6426356,1.2277191,1.1800189,1.3998737,1.9405819,0.8223573,0.4072697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68665236,1.154046,1.086284
1.0,10.0,0.10144076,0.09797162,0.88881356,1.2941418,0.08275981,0.18397895,0.23031579,0.6390026,0.47473556,0.78593117,0.99753726,1.380874,1.5670391,0.643904,0.41630638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40003222,0.7621447,0.7176397
1.0,11.0,0.06204554,0.0897253,0.541536,1.0847452,0.07900756,0.22925952,0.16665323,0.52286327,0.3918458,0.7139779,0.76661766,1.003522,1.533843,0.5082254,0.21268241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26612824,0.71129656,0.6692874
1.0,12.0,0.08733319,0.09573269,0.46022624,1.040493,0.04385378,0.12102978,0.18708108,0.5208568,0.34604213,0.57328373,0.76396054,1.0226662,0.83208907,0.36465862,0.26044998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15492392,0.49699834,0.46792668
1.0,13.0,0.08367597,0.06031348,0.49953097,0.7057839,0.068144046,0.14140242,0.11334347,0.30497113,0.2525884,0.58744127,0.53980744,0.9369391,0.7735566,0.35969263,0.21048124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10333269,0.52980214,0.49866888
1.0,14.0,0.05435817,0.055778615,0.38328624,0.68884486,0.0716196,0.122392416,0.110147215,0.4029317,0.26498953,0.48761028,0.49827078,0.70780057,0.7944359,0.4223164,0.16990198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059798054,0.432809,0.4073589
1.0,15.0,0.07883365,0.068576254,0.30278,0.61823183,0.04930526,0.108028285,0.11044608,0.33436015,0.23167188,0.48018807,0.4740678,0.70367867,0.73409736,0.3007428,0.1528873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03231272,0.39086786,0.36803904
1.0,16.0,0.075457394,0.054923862,0.27521506,0.6448256,0.043650612,0.0968148,0.108214974,0.3378603,0.20439076,0.4431754,0.44849384,0.62689763,0.5162168,0.16256106,0.19866545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014029122,0.37708285,0.35535923
1.0,17.0,0.061677232,0.044098377,0.25155118,0.54855365,0.04604131,0.08181674,0.077445105,0.3024103,0.16462708,0.34130713,0.39982063,0.584244,0.6473045,0.19904834,0.1110322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.345656E-4,0.31330115,0.29521325
1.0,18.0,0.034401234,0.04850424,0.22011107,0.50615984,0.03589172,0.084125556,0.07829603,0.2421683,0.1280987,0.31580135,0.38507104,0.47822753,0.5276611,0.23116915,0.09304733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30324078,0.28742263
1.0,19.0,0.039444048,0.038641937,0.18430305,0.45362604,0.027656367,0.071386844,0.06420082,0.19942547,0.14664194,0.3147336,0.32639426,0.45247468,0.47989827,0.15249917,0.11451439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25810033,0.24601386
1.0,20.0,0.06424953,0.03385864,0.23467389,0.3660191,0.025955835,0.06535854,0.05449875,0.1819213,0.10807475,0.29477838,0.2712104,0.3907251,0.37099576,0.15023609,0.09465082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24183117,0.23156445
1.0,21.0,0.047763877,0.033928115,0.22349201,0.28623876,0.02442046,0.057607852,0.05356016,0.18242712,0.10669811,0.2308962,0.27019453,0.32653004,0.35735783,0.12964493,0.0999841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2031349,0.19537759
1.0,22.0,0.04913373,0.022300355,0.18807007,0.2640355,0.019814402,0.048841137,0.04494814,0.16404112,0.1032365,0.21936907,0.21738419,0.36369878,0.28279954,0.09104148,0.07661789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18230198,0.17573737
1.0,23.0,0.017703492,0.024619902,0.10304008,0.20897108,0.016762534,0.051615216,0.039654005,0.13645862,0.0892285,0.14666057,0.20324962,0.3018508,0.3983951,0.10199662,0.09674302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14904231,0.14429876
1.0,24.0,0.033704814,0.018976096,0.10971514,0.21476859,0.022240367,0.05087826,0.032183524,0.09598866,0.075252555,0.1761159,0.17184204,0.20646752,0.28637612,0.112236075,0.067729644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15374236,0.1490515
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,3.731923,0.2986473,0.049870495,0.0022625602,0.09936032,0.0035333065,0.10689568,0.04498197,0.0031178612,23.896452,0.0,0.1156169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6713875E-5,64.60394,5.5176945,1.3723613,130.30109,0.0,0.0
2.0,1.0,6.088578E-4,1.5612869,81.61568,5.4206424,2.878147,1.2828399,22.778872,15.701136,0.70542866,0.1623729,90.78974,2.549687,54.445976,2.5094712,6.219572,0.0,0.0,0.0,0.0,0.0,2.9597702E-6,22.344507,2.3828104,1.1455902,331.18613,49.779366,3.4826474
2.0,2.0,0.020974219,5.9566407,38.83489,28.779089,6.700355,4.814071,5.30545,10.174722,6.5781856,2.8160753,23.949068,15.509078,17.888084,21.66826,17.494375,0.0,0.0,0.0,0.0,0.0,0.0,2.2868934,0.0,0.10116381,91.74408,34.215363,33.223217
2.0,3.0,0.13997744,2.4533918,39.38276,28.003029,6.8947754,3.9885662,5.2084084,8.714739,5.986732,10.791985,19.530128,16.778915,30.745134,22.593653,30.326986,0.0,0.0,0.0,0.0,0.0,0.0,0.022463618,0.0,8.6625933E-4,66.01508,25.830132,24.574505
2.0,4.0,0.32319626,1.3694234,26.851099,21.065636,2.139452,2.8042133,4.869023,5.874121,8.802213,13.401343,13.540119,12.430822,13.903895,18.896128,16.276285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.065792,13.801219,13.107247
2.0,5.0,0.23206618,1.2071435,11.769072,10.731288,1.2975612,1.8800131,1.9701885,5.7883153,4.4963884,7.4246125,7.454112,6.8489347,6.4705615,10.6989355,8.114658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.974549,6.360941,6.042148
2.0,6.0,0.15792702,0.5729503,6.041636,5.237142,0.8103078,0.9425339,0.94707245,2.99883,2.513456,4.5104103,3.5693016,3.4850855,2.6689928,5.68277,2.961193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6895676,3.408548,3.2276833
2.0,7.0,0.11172575,0.51047707,2.4014533,3.854137,0.18045804,0.7877658,0.55546,1.7893461,1.2012327,1.9264483,1.7877953,1.3989042,1.8206732,4.023803,2.4832828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9082389,1.6408458,1.5605903
2.0,8.0,0.09753285,0.31724977,2.2257924,2.2491,0.2511105,0.5658095,0.4579179,1.3741766,0.9590939,1.623192,1.3896607,1.0561609,1.191906,1.8276162,1.766489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1637951,1.2879245,1.2218105
2.0,9.0,0.08733375,0.2974365,2.0234184,1.9814289,0.09129007,0.39024606,0.28924915,1.0884643,0.78589386,1.1884854,1.0802355,1.0111384,0.90227324,1.702991,1.095031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6727275,0.90874213,0.86245906
2.0,10.0,0.1031225,0.15732427,1.5900232,1.7058768,0.11152928,0.32181785,0.21279484,0.8698801,0.5774133,0.9997551,0.78953105,0.8753973,0.757471,1.5874041,0.52837086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45328912,0.800796,0.7588245
