"Distribution of the biomass (tonne) of prey species (in columns) in the diet of horseMackerel by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.4080452,38.661236,113.89798,2.0962455,1.7794331,87.286804,14.952049,39.435497,35.63256,4.190691,1.1783589,64.503975,448.2574,0.0,0.0,0.0,0.0,0.0,2.4778953,1.5502203E-4,1030.0647,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,25.293613,142.54785,215.66805,51.750195,7.066749,110.395355,21.525084,44.061882,66.09984,240.79118,34.060898,578.0185,1883.1414,0.0,0.0,0.0,0.0,0.0,0.0,4.731472E-4,1865.747,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,10.649738,40.739807,37.950607,22.012642,1.7959725,38.030083,10.522246,35.036594,14.820389,65.02165,25.819248,157.22273,518.4865,0.0,0.0,0.0,0.0,0.0,0.0,1.6368982E-4,704.5792,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,6.89243,34.698364,39.42836,34.858303,1.9940997,25.871237,7.570265,20.501762,22.333435,56.127647,20.797289,129.80692,477.21988,0.0,0.0,0.0,0.0,0.0,0.0,1.3432345E-4,598.71106,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,1.7880605,13.269058,17.866112,15.472338,2.4702861,9.214047,2.95613,19.484943,13.635191,20.479452,27.40413,64.143196,206.43785,0.0,0.0,0.0,0.0,0.0,0.0,6.266968E-5,314.3894,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.61838794,11.330245,10.46775,15.957234,1.1932151,7.7755075,2.463957,18.894428,21.405985,9.968503,11.437119,73.52001,187.64629,0.0,0.0,0.0,0.0,0.0,0.0,4.9883725E-5,276.80273,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.2309124,8.198128,10.785395,11.53138,0.34775618,8.4941845,2.247216,14.881567,16.83518,12.557719,24.341944,53.746693,158.28027,0.0,0.0,0.0,0.0,0.0,0.0,3.888726E-5,221.37622,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,0.28451994,6.6723504,8.882278,7.1366863,0.7383243,5.443453,1.4392644,10.528229,22.483835,5.4187145,18.49494,67.40426,130.70418,0.0,0.0,0.0,0.0,0.0,0.0,2.9906641E-5,170.09079,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,0.6253253,10.867722,8.464955,8.700408,0.7910922,6.2593884,1.6196193,11.879874,17.515947,6.78044,15.400719,61.151215,94.176216,0.0,0.0,0.0,0.0,0.0,0.0,2.4608367E-5,169.41096,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,0.09814228,5.1069436,7.6635695,7.688207,0.21352169,5.6595407,1.0502673,7.0031595,16.485363,4.554322,19.77474,65.45177,94.76136,0.0,0.0,0.0,0.0,0.0,0.0,2.4134406E-5,151.49011,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.6073195,13.814086,6.391098,5.9952645,2.1566646,4.536854,4.1218286,7.1395235,13.280607,11.426042,23.182852,53.69618,82.47654,0.0,0.0,0.0,0.0,0.0,0.0,1.6930302E-5,124.74073,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,0.3075582,5.344372,6.619611,10.397791,0.9321527,5.638646,0.9192395,8.373862,13.7672,8.673568,20.897364,47.826225,79.309,0.0,0.0,0.0,0.0,0.0,0.0,1.4714204E-5,117.15705,0.0,0.0,0.0,0.0,0.0
