"Distribution of the biomass (tonne) of prey species (in columns) in the diet of mackerel by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,28.857557,108.86225,81.71173,1.3779675,30.02086,49.426823,30.75236,59.372078,0.5962843,161.17274,198.61066,1119.4275,370.2295,0.0,0.0,0.0,0.0,0.0,24.12405,6.3564617E-4,2275.688,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,81.64246,332.98285,243.26678,29.715715,63.72048,84.77292,25.219378,18.070646,89.15347,502.91037,66.24985,981.1726,1355.5297,0.0,0.0,0.0,0.0,0.0,0.0,2.2037688E-4,1103.7916,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,11.53167,61.659817,75.58184,10.73589,5.593776,13.969091,7.554344,9.048064,54.555996,108.49476,23.861485,272.63834,298.9276,0.0,0.0,0.0,0.0,0.0,0.0,4.944364E-5,279.26163,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,4.2111487,40.55812,27.507263,4.812763,3.4792683,2.7033017,5.036417,5.7696257,25.893204,46.960114,20.693605,140.95612,132.43854,0.0,0.0,0.0,0.0,0.0,0.0,2.2835819E-5,141.6735,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,6.2025423,36.75621,6.5484204,5.4627028,7.8957386,2.7636065,4.0457635,3.8742054,22.101278,35.21063,18.330484,90.4298,57.878193,0.0,0.0,0.0,0.0,0.0,0.0,1.160003E-5,73.07153,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,2.0546038,13.742632,8.63372,2.7042725,3.0799656,2.7668207,0.37513557,3.376039,26.861973,13.950143,10.543278,93.103745,58.799828,0.0,0.0,0.0,0.0,0.0,0.0,4.5250426E-6,40.567196,0.0,0.0,0.0,0.0,0.0
1.0,6.0,2.734842E-6,1.8159171,11.244584,6.897865,2.91406,3.685293,2.7393284,1.8183713,2.482028,21.798029,10.026592,8.815572,78.02,32.62785,0.0,0.0,0.0,0.0,0.0,0.0,4.535564E-6,43.75414,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.012116147,1.0701175,12.98,9.445851,2.4056518,2.9414952,1.8585173,1.3962466,0.55810183,18.248499,11.749674,15.64264,56.266327,28.303953,0.0,0.0,0.0,0.0,0.0,0.0,3.331205E-6,30.317932,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.5989071,0.38587424,9.355035,10.600126,2.9640272,1.4670982,1.6743704,0.13603528,1.7884706,22.732616,11.341846,5.9730406,41.22604,28.982124,0.0,0.0,0.0,0.0,0.0,0.0,2.5271509E-6,26.545279,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.002796209,0.2613384,6.317969,6.0357337,2.409615,1.4555534,2.9784727,0.5078967,1.184723,20.436087,6.240821,8.502622,42.75213,18.771677,0.0,0.0,0.0,0.0,0.0,0.0,2.0418033E-6,26.85681,0.0,0.0,0.0,0.0,0.0
