"Distribution of the biomass (tonne) of prey species (in columns) in the diet of sole by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,4.919905,0.65078795,0.7407182,0.033065245,0.002608189,6.838993,0.2649127,2.4057124,0.60270005,8.173522,0.0,0.5181452,35.393543,3.4442668,0.0,0.0,0.0,0.0,7.2310896,1.1992987E-4,133.06981,536.3603,103.236496,803.4478,0.0,0.0
1.0,1.0,0.0,12.526036,0.0,0.0,0.0,0.0,65.46817,0.0,38.176277,0.0,0.0,0.0,0.0,36.115875,38.6745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.97246,52.323956,3249.713,0.0,0.0
1.0,2.0,0.0,2.4954681,0.0,0.0,0.0,0.0,23.984547,0.0,15.658563,0.0,0.0,0.0,0.0,11.119812,11.167009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.75284,10.7402525,1054.837,0.0,0.0
1.0,3.0,0.0,0.9630669,0.0,0.0,0.0,0.0,11.594369,0.0,4.3114944,0.0,0.0,0.0,0.0,5.659892,13.609568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.14516,4.3744483,522.8074,0.0,0.0
1.0,4.0,0.0,1.1317495,0.0,0.0,0.0,0.0,6.6732125,0.0,6.753245,0.0,0.0,0.0,0.0,2.8179202,6.3294353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897637,2.3594863,315.74615,0.0,0.0
1.0,5.0,0.0,0.8576983,0.0,0.0,0.0,0.0,3.266299,0.0,4.1745954,0.0,0.0,0.0,0.0,3.7918313,3.6231885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1035056,1.3857965,208.14578,0.0,0.0
1.0,6.0,0.0,0.6954705,0.0,0.0,0.0,0.0,3.6354594,0.0,4.362365,0.0,0.0,0.0,0.0,1.5258995,1.6358613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8562853,1.0523515,164.48682,0.0,0.0
1.0,7.0,0.0,0.8178688,0.0,0.0,0.0,0.0,0.9482303,0.0,3.0790043,0.0,0.0,0.0,0.0,1.7917168,2.2324898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1815956,0.7784005,128.83434,0.0,0.0
1.0,8.0,0.0,0.24525246,0.0,0.0,0.0,0.0,2.0845826,0.0,1.4066676,0.0,0.0,0.0,0.0,1.4545617,1.6062317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6345417,0.6211939,100.776276,0.0,0.0
1.0,9.0,0.0,0.4078203,0.0,0.0,0.0,0.0,1.2718313,0.0,1.7925156,0.0,0.0,0.0,0.0,1.240228,1.4454589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2447064,0.44597867,77.224815,0.0,0.0
