"Distribution of the biomass (tonne) of prey species (in columns) in the diet of thornbackRay by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.07153829,0.118623175,0.23935473,0.014204022,4.8334652E-5,0.14564939,0.050067704,0.11910128,0.014095942,0.11816759,0.04348831,0.32448253,1.3725399,0.2210757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17738408,0.032378376,6.397587,1.1262668,0.0
1.0,1.0,0.0,0.04036861,0.24629934,0.3014129,0.028267534,0.0088263005,0.1700948,0.07828185,0.20326291,0.014111759,0.14280577,0.11611543,0.33947188,2.176222,0.5265232,4.0932273E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.15696484,0.034940355,7.036931,2.6060078,0.7045932
1.0,2.0,0.0,0.08017412,0.4219306,0.31135714,0.12519978,0.047844213,0.20051286,0.15883085,0.35135874,0.17195915,0.26335582,0.46596387,1.0139656,3.0941453,0.89122397,2.9198916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.10801311,0.03649227,7.9991107,3.0447385,2.748967
1.0,3.0,0.0,0.12937453,0.7261068,0.37473655,0.30416846,0.047436196,0.33181584,0.16000089,0.4444155,0.5866798,0.35694185,0.9857762,2.1326249,4.7834916,1.4809405,0.0022074583,0.0,0.0,0.0,0.0,0.0,0.0,0.11427626,0.04734974,10.774903,3.975281,3.7496395
1.0,4.0,0.0,0.12895504,1.0543097,0.8392374,0.39256704,0.06044347,0.51156145,0.34834617,0.54727626,1.182656,0.66952866,1.4011854,2.9405193,5.1822543,1.964772,0.00328512,0.0,0.0,0.0,0.0,0.0,0.0,0.11015439,0.056954768,13.058188,4.8329163,4.5601983
1.0,5.0,0.0,0.18336749,1.0402249,0.7729015,0.45647186,0.060179926,0.6410198,0.6050575,0.8035511,1.7514354,1.0754368,1.99028,4.384926,7.662106,2.3311265,0.0035107958,0.0,0.0,0.0,0.0,0.0,0.0,0.08555862,0.056979656,13.469397,5.0635033,4.7795606
1.0,6.0,0.0,0.22567229,1.4333469,1.1749612,0.4959185,0.072077766,0.84012544,0.76858497,0.8860338,2.1795366,1.4164326,2.9970098,5.066617,7.800749,2.8931262,0.0074927052,0.0,0.0,0.0,0.0,0.0,0.0,0.066863984,0.061916195,14.625907,5.6854534,5.3665404
1.0,7.0,0.0,0.31728992,1.6279752,1.5878689,0.50080526,0.08616065,0.9262151,1.0009167,0.9546168,2.5139444,1.5156833,2.600404,4.6935587,8.027243,2.9498541,0.0069399606,0.0,0.0,0.0,0.0,0.0,0.0,0.04976441,0.07147183,17.192898,6.4093485,6.0510287
1.0,8.0,0.0,0.42107794,2.0675535,1.9712579,0.50019336,0.1447246,0.90572506,1.3478208,1.3103479,2.4228716,2.4044755,3.198273,5.699522,8.059898,2.7660205,0.008726527,0.0,0.0,0.0,0.0,0.0,0.0,0.024546456,0.0674825,16.996658,6.1616664,5.8156066
1.0,9.0,0.0,0.4199066,1.8230981,2.103656,0.5197764,0.096651696,0.8628536,1.1396703,1.4002059,2.719107,2.06485,3.532976,5.983599,8.958665,3.0719655,0.009878762,0.0,0.0,0.0,0.0,0.0,0.0,0.004448395,0.06742538,16.847906,6.37207,6.0119944
1.0,10.0,0.0,0.42259175,2.131905,1.9069705,0.6615342,0.14222674,0.7787663,1.1887901,1.2431848,2.8930137,1.9850427,3.652987,5.11934,10.2938795,3.2600658,0.011388655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073211454,17.363434,6.7584696,6.381329
1.0,11.0,0.0,0.40610066,2.0487645,2.2441878,0.68658257,0.20958334,0.91833603,1.4721115,1.1983644,3.269231,2.2924533,3.6748285,5.478231,10.621174,3.0152688,0.012218965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07236128,18.140953,6.837478,6.449589
1.0,12.0,0.0,0.38191187,2.309479,2.7648034,0.6933375,0.19766001,0.8604724,1.4683263,1.2615793,3.6305943,2.0678563,3.514312,5.695802,10.711434,3.5068307,0.013725469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073816255,18.257973,7.1053643,6.710209
1.0,13.0,0.0,0.425567,2.1037297,2.9905763,0.75124234,0.20060246,0.88481134,1.5756825,1.352692,3.4303865,2.2315662,4.041387,6.101708,10.30641,3.2947018,0.011987186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07541435,18.974682,7.157402,6.753376
1.0,14.0,0.0,0.39673173,2.225942,2.8050938,0.7126302,0.19829921,0.922976,1.597325,1.2579485,3.3943014,2.3086255,3.782013,6.7424126,11.075009,2.9929545,0.0111212935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07501841,19.111773,7.114051,6.7113156
1.0,15.0,0.0,0.38980645,2.2832215,2.5842052,0.75918514,0.20069414,0.93026924,1.4787439,1.1158563,3.6391835,2.464801,3.9576378,6.199313,10.451501,3.2088075,0.01297471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07752128,19.464624,7.4101844,6.989436
1.0,16.0,0.0,0.4628773,2.385186,2.61097,0.5802516,0.2390372,1.0246943,1.6980611,1.2757896,3.4834535,2.453113,4.1710443,5.980347,11.617487,3.440547,0.014367768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06895882,18.354837,6.9092183,6.5204377
1.0,17.0,0.0,0.44481203,2.0297885,2.8656769,0.51783717,0.24825998,1.0592037,1.5447522,1.1753755,3.680951,2.4650893,4.5301757,5.6453786,11.924393,3.6461105,0.0145228775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06523878,17.566202,6.740852,6.36627
1.0,18.0,0.0,0.3692973,2.1374164,3.365329,0.5794831,0.24086173,0.9870918,1.4961817,1.3041943,3.2433498,2.3634522,3.7264457,5.8747473,10.787117,3.376153,0.015124342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06860058,18.24242,6.8077626,6.4264064
1.0,19.0,0.0,0.3643505,2.0359166,2.894985,0.535842,0.18289407,0.97089624,1.3838824,1.142379,3.3079576,2.0691535,3.8746192,5.588078,10.300802,3.3910728,0.016574174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070242725,18.415342,6.9230294,6.531452
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.21632051,0.3609863,0.18725207,0.031824708,0.013491679,0.1629351,0.24486506,0.2050752,0.035409406,0.25205398,0.0013536921,0.81552035,2.7680368,1.6388534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32621795,0.05715767,10.890194,2.0943944,0.0
2.0,1.0,0.0,0.29659936,1.2316461,0.7542258,0.06989899,0.103452295,0.22964056,0.45492822,0.18141828,0.067275524,0.7148696,5.0182804E-5,1.34895,6.9523144,3.1152403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50086516,0.08078716,15.697411,5.955017,0.83135855
2.0,2.0,0.0,0.30336463,1.2777115,0.88431627,0.28646678,0.025800843,0.13953139,0.17641553,0.18129557,0.042837787,0.61130244,0.34107864,0.7039515,6.336118,2.1859014,3.6495854E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.19855857,0.04819606,9.861554,3.8249197,2.9379275
2.0,3.0,0.0,0.22462519,1.5238801,1.7015952,0.7848426,0.072381586,0.238094,0.40238136,0.19794415,0.09490566,0.63366616,0.72447884,1.3449881,7.2005887,2.8518276,0.0034442097,0.0,0.0,0.0,0.0,0.0,0.0,0.11469983,0.038980234,8.811076,3.3796926,3.2486994
2.0,4.0,0.0,0.33777845,2.378191,1.4494469,0.93708956,0.10192747,0.26942122,0.37061033,0.25147158,0.42252332,0.8382853,1.2499294,2.0370564,9.242904,4.6800084,0.005032914,0.0,0.0,0.0,0.0,0.0,0.0,0.107649,0.043846823,10.5928,3.8702066,3.6861677
2.0,5.0,0.0,0.20185606,2.9815037,2.1988668,1.0781374,0.049005806,0.4343824,0.49895725,0.47817573,0.9591014,0.72910815,1.0960387,2.6290538,10.186937,5.915297,0.008666601,0.0,0.0,0.0,0.0,0.0,0.0,0.07368859,0.047462825,11.634888,4.382013,4.1621532
2.0,6.0,0.0,0.23531766,2.5668654,2.6549613,0.97474426,0.21904299,0.7003337,0.39052722,0.758135,1.7001107,1.0431612,1.9230815,3.339794,10.082717,7.3896956,0.0134536745,0.0,0.0,0.0,0.0,0.0,0.0,0.06009273,0.051072884,12.250484,4.714037,4.484306
2.0,7.0,0.0,0.43031704,3.4054484,2.6477222,0.8855926,0.23282051,0.82026976,0.6413995,1.0076499,2.150329,1.7641562,1.6288592,3.6359277,11.584463,7.4125457,0.015607378,0.0,0.0,0.0,0.0,0.0,0.0,0.039084435,0.05104621,12.886447,4.9855657,4.7341113
2.0,8.0,0.0,0.45835564,3.3363318,2.652538,1.3038507,0.24595496,0.72468525,0.81452864,0.93017715,2.7209985,1.5415678,1.7574785,2.6159925,11.417197,8.042291,0.017833112,0.0,0.0,0.0,0.0,0.0,0.0,0.027133906,0.060803715,14.960956,5.5939016,5.3088813
2.0,9.0,0.0,0.5352475,3.7294989,4.1235332,0.90215194,0.33829248,0.7381948,1.3465989,1.1187875,2.5890837,1.999539,2.1210935,3.2754602,11.602692,7.8388247,0.020377181,0.0,0.0,0.0,0.0,0.0,0.0,0.007717079,0.05384012,13.986425,5.15975,4.905522
2.0,10.0,0.0,0.63461035,3.8528268,3.2069767,1.2046776,0.23789018,0.7573279,1.0657562,1.0100868,2.8107135,1.7035764,2.0339975,2.7076445,13.261365,8.145502,0.019899597,0.0,0.0,0.0,0.0,0.0,0.0,7.4877054E-5,0.05450361,13.757832,5.3640895,5.090311
