"Distribution of the biomass (tonne) of prey species (in columns) in the diet of whiting by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.051109523,83.6948,132.90968,1763.2083,3.3704638,0.3394147,240.53777,90.313324,171.3966,97.29772,372.6065,2.787124,627.6777,1360.1084,9.305569,0.0,0.0,0.0,0.0,0.0,1.8181647E-4,813.98517,72.346504,17.99045,4107.2554,525.10266,64.287964
1.0,1.0,0.9352219,16.128027,242.24911,221.52493,16.68393,1.7995442,54.27645,46.768845,105.93492,91.752655,64.53964,72.80472,334.33887,316.21097,83.81921,0.0,0.0,0.0,0.0,0.0,6.917832E-8,36.591988,0.28879088,1.9542694,846.83636,271.31018,236.18384
1.0,2.0,0.87044483,4.2614617,46.151443,47.96806,7.050938,1.3129283,25.20382,17.122358,28.960762,56.046894,34.171665,62.92154,97.59135,144.15967,32.46381,0.0,0.0,0.0,0.0,0.0,0.0,10.00653,0.0,0.50329095,250.69148,88.420074,83.28253
1.0,3.0,0.4604145,3.1387565,34.925022,22.046352,3.771865,1.1559592,13.496785,14.746461,18.081535,36.04308,28.11145,47.276535,78.023026,74.230675,15.905829,0.0,0.0,0.0,0.0,0.0,0.0,4.5884624,0.0,0.23813424,134.79372,47.7179,44.925106
1.0,4.0,0.31076753,2.0992231,16.901327,14.784749,2.4142091,0.7198178,9.305794,9.852682,13.361256,21.496618,20.4724,35.799606,63.78929,48.515182,13.191885,0.0,0.0,0.0,0.0,0.0,0.0,2.5659373,0.0,0.13500604,83.237656,29.660576,27.926313
1.0,5.0,0.29559118,1.3906082,16.377146,11.781704,1.694205,0.47628626,8.359664,6.785635,7.636333,18.038609,15.880401,24.281805,38.638317,33.853924,8.394368,0.0,0.0,0.0,0.0,0.0,0.0,1.8524622,0.0,0.09249098,58.063835,21.439869,20.189922
1.0,6.0,0.19552663,1.3177965,12.499072,6.72283,1.3841869,0.50292796,6.2383666,5.1544614,6.3012104,11.992134,11.153567,25.585905,37.017277,29.688963,7.263571,0.0,0.0,0.0,0.0,0.0,0.0,1.2386482,0.0,0.0651458,43.090393,15.371324,14.466452
1.0,7.0,0.27113417,1.5082772,10.890497,8.25706,0.9769378,0.49457258,5.393164,4.890602,4.847385,10.475082,11.866292,15.549845,25.151667,17.137234,6.475415,0.0,0.0,0.0,0.0,0.0,0.0,1.0649188,0.0,0.053430706,36.40813,12.982535,12.225381
1.0,8.0,0.22943424,0.73973155,6.4361224,6.5298038,0.6490609,0.25790757,4.1820917,3.5369194,4.172583,8.889475,8.298575,12.843486,19.746231,17.404331,5.205916,0.0,0.0,0.0,0.0,0.0,0.0,0.7997376,0.0,0.039440416,27.10263,9.806677,9.236336
1.0,9.0,0.1573445,0.8134288,9.698271,6.8460593,0.58187276,0.21319409,3.183037,3.1335597,3.3289025,7.108632,7.0904884,10.240594,10.071368,13.1189165,2.2807174,0.0,0.0,0.0,0.0,0.0,0.0,0.6579988,0.0,0.029869178,20.732557,7.682113,7.234479
