"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,3.9674292,3.375107,3.6209006,4.042494,NaN,4.1488376,NaN,3.321103,3.3757026,3.8779507,3.9928224,3.5584202,3.5243373,3.7694755,3.6021588,4.072234
2.0,4.1751237,3.3589628,3.5827324,3.9838128,NaN,4.265178,NaN,3.338856,3.4016087,3.9672487,4.062302,3.6049848,3.5378208,3.9524682,3.8312654,4.227024
3.0,4.065129,3.378384,3.6154025,3.9937348,NaN,4.293338,NaN,3.355553,3.4449966,3.8335867,3.9230473,3.5111728,3.4549525,3.814773,3.805963,4.1259613
4.0,4.055266,3.343301,3.6389987,4.012029,NaN,4.3038993,NaN,3.3504984,3.4562597,3.9109507,3.9731786,3.5666964,3.4382985,3.890068,3.7332728,4.1311607
5.0,4.100752,3.3491664,3.6140525,4.0125237,NaN,4.234375,NaN,3.3635178,3.4564645,3.8679783,3.9159186,3.558054,3.4215333,4.056319,3.7096784,4.1493793
6.0,4.144557,3.3634477,3.6769927,4.053955,NaN,4.263803,NaN,3.3693376,3.4537969,4.0243917,4.0047917,3.5996761,3.438471,4.053382,3.6690052,4.1796374
7.0,4.1070714,3.3514886,3.6194568,4.020439,NaN,4.092851,NaN,3.3797567,3.4493933,3.8904495,3.9338899,3.5579324,3.4153228,3.97327,3.675876,4.1403356
8.0,4.147366,3.3830278,3.658887,4.021883,NaN,4.25989,NaN,3.3699076,3.4792616,3.9984653,3.9927802,3.608166,3.4179943,4.003596,3.7021158,4.1700974
9.0,4.141705,3.3624372,3.6201577,3.9714415,NaN,4.2183733,NaN,3.3704007,3.4696262,3.9399593,3.9258857,3.4955928,3.417647,4.0638337,3.7252274,4.1497273
10.0,4.174605,3.363155,3.697196,4.028131,NaN,4.2811685,NaN,3.372323,3.472683,4.057625,3.9801853,3.6083434,3.457497,3.9409778,3.688624,4.1984334
11.0,4.075182,3.32942,3.6166148,3.9706526,NaN,4.133988,NaN,3.3461893,3.4516795,3.9065728,3.9089985,3.4938438,3.441259,3.9678698,3.6867151,4.1695056
12.0,4.1196523,3.3340352,3.6312878,3.9999702,NaN,4.1914496,NaN,3.3622842,3.47307,4.021569,3.975516,3.55769,3.4481764,3.953496,3.7267394,4.1978216
13.0,4.066471,3.3209364,3.5958202,3.9349334,NaN,4.2194285,NaN,3.3332403,3.4728916,3.8433807,3.8908412,3.5357277,3.4467816,3.950177,3.6971624,4.1775255
14.0,4.1325703,3.323291,3.64695,4.00633,NaN,4.229369,NaN,3.3281627,3.4977634,4.031646,3.9922554,3.5614665,3.4409668,3.9426,3.706224,4.194268
15.0,4.0915837,3.3285599,3.5685673,3.9898105,NaN,4.2429366,NaN,3.3534148,3.5055833,3.8996694,3.8910306,3.5199673,3.4457326,4.018932,3.710463,4.18277
16.0,4.1953974,3.3280184,3.6303775,3.9924345,NaN,4.2758493,NaN,3.3461936,3.4709625,4.052173,3.9911087,3.5646818,3.4712532,3.965205,3.698333,4.2318125
17.0,4.1246095,3.3204072,3.6238987,3.9804733,NaN,4.255133,NaN,3.3584104,3.4846718,3.977507,3.917462,3.5252595,3.4318497,3.981481,3.7068741,4.193825
18.0,4.1197886,3.3324451,3.6385725,3.995,NaN,4.244405,NaN,3.3441298,3.4999127,3.9816334,3.9746618,3.5433767,3.4340618,3.9599748,3.729891,4.2030287
19.0,4.075705,3.3192286,3.614235,3.992868,NaN,4.240809,NaN,3.3432274,3.4700565,3.9041135,3.940184,3.5172503,3.4392962,4.0211763,3.7172213,4.2003307
20.0,4.156375,3.3442907,3.6932244,3.9971592,NaN,4.202071,NaN,3.3484044,3.4554732,4.049925,4.007359,3.5490437,3.461173,4.0006223,3.7093434,4.247698
