"Mean trophic level of fish species by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,NaN,3.5351293,3.4030468,3.591528,3.3505611,3.4093046,3.5667803,3.7250564,3.67978,3.4100194,3.3560004,3.1491866,2.967533,3.4519804,3.8536956,NaN
1.0,5.0,3.000198,3.764504,3.5063696,3.6470177,3.5322251,3.7005355,3.8161223,3.8258693,3.74972,3.419092,3.3978388,3.1413944,3.141662,3.743925,3.4089212,NaN
1.0,10.0,3.3494701,3.7890582,3.4949112,3.7705853,3.419157,3.3672392,3.8071046,3.8101833,3.2831364,3.5040882,3.3130515,3.2553546,3.2704096,3.9126925,3.4298697,3.3992796
1.0,15.0,3.4760003,3.7447085,3.5765734,3.4328878,3.5345194,3.5025313,3.7773702,3.7425356,3.3371508,3.8476646,3.5131326,3.5301397,3.3910198,4.324628,3.0463083,3.55684
1.0,20.0,3.6841297,3.4451876,3.6282248,3.7828002,3.5605721,3.8819017,3.4488213,3.3478894,3.3562162,3.9163032,3.8380966,3.61316,3.5864959,3.734576,3.4357197,3.7566469
1.0,25.0,3.8389769,3.3506653,3.6836686,4.0534205,NaN,4.0431914,3.3964894,3.3118072,3.3793795,3.8635755,4.065358,3.634783,NaN,4.0509725,3.5195575,3.5808904
1.0,30.0,3.8005881,3.3339655,3.6967592,4.101551,NaN,3.87443,NaN,3.3120952,3.405564,3.9073558,4.0460224,3.8252432,NaN,4.3528314,NaN,3.855134
1.0,35.0,3.8888702,3.327824,NaN,4.177421,NaN,4.1336555,NaN,3.3130858,3.4170353,3.9211164,4.0992455,NaN,NaN,4.5082464,NaN,3.8770049
1.0,40.0,3.9619205,3.3368053,NaN,4.2007294,NaN,4.0908866,NaN,3.4140065,3.4501064,NaN,4.1836195,NaN,NaN,4.349845,NaN,3.9346485
1.0,45.0,3.991664,3.3340223,NaN,NaN,NaN,4.2656217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8836634
1.0,50.0,4.039239,NaN,NaN,NaN,NaN,4.3465495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0058856
1.0,55.0,4.049463,NaN,NaN,NaN,NaN,4.3340216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9649262
1.0,60.0,4.0257335,NaN,NaN,NaN,NaN,4.317833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9620342
1.0,65.0,NaN,NaN,NaN,NaN,NaN,4.4459453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0342255
1.0,70.0,NaN,NaN,NaN,NaN,NaN,4.466247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.056108
1.0,75.0,NaN,NaN,NaN,NaN,NaN,4.461068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0823803
1.0,80.0,NaN,NaN,NaN,NaN,NaN,4.465252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1084075
1.0,85.0,NaN,NaN,NaN,NaN,NaN,4.524346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.104606
1.0,90.0,NaN,NaN,NaN,NaN,NaN,4.5312166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.109247
1.0,95.0,NaN,NaN,NaN,NaN,NaN,4.5553513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0940895
1.0,100.0,NaN,NaN,NaN,NaN,NaN,4.577601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.113392
1.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,NaN,3.5054858,3.3802962,3.4783192,3.3971462,3.4066164,3.482178,3.6569781,3.609891,3.4255528,3.3601828,3.0311213,3.049434,3.3791792,3.8612335,NaN
2.0,5.0,3.0025432,3.8172452,3.5052931,3.5370102,3.543474,3.5829754,3.8794463,3.8229346,3.7782269,3.4764152,3.7356799,3.2242775,3.2018628,3.7149706,3.6359797,NaN
2.0,10.0,3.3509953,3.820811,3.4412122,3.7785387,3.55102,3.703912,3.755449,3.796716,3.4903963,3.7008634,3.8376338,3.4229958,3.2530859,3.893043,3.4753346,3.44248
2.0,15.0,3.53615,3.8080494,3.5297291,3.913855,3.5402877,3.916778,3.779206,3.770264,3.3608406,3.8089225,3.8807473,3.5398784,3.3771975,4.065756,3.694577,3.6270497
2.0,20.0,3.6080482,3.648306,3.6005874,4.020254,3.6032603,3.8609002,3.5399272,3.4838934,3.313296,3.927946,3.86713,3.655134,3.6428282,3.9875693,3.8671494,3.7463143
2.0,25.0,3.820191,3.3047745,3.7960835,4.006995,NaN,4.052504,3.4789634,3.3005927,3.4266787,3.966831,4.026366,3.6992757,3.5561345,4.317997,3.901527,3.8332636
2.0,30.0,3.9793124,3.332985,3.8292694,4.2483077,NaN,4.2462015,NaN,3.3425398,3.412918,4.093984,4.129025,3.6853063,NaN,4.6194496,NaN,3.9422283
2.0,35.0,4.058746,3.3771431,3.7932706,4.3224626,NaN,4.112108,NaN,3.3394995,3.466861,4.1471257,4.2106156,NaN,NaN,4.5951056,NaN,4.0898285
2.0,40.0,4.135627,3.361279,NaN,4.346269,NaN,4.2292237,NaN,3.2161064,3.4921098,NaN,4.268653,NaN,NaN,NaN,NaN,4.1439705
2.0,45.0,4.225852,3.3530807,NaN,NaN,NaN,4.3117127,NaN,3.3026462,3.5309494,NaN,NaN,NaN,NaN,NaN,NaN,4.1455774
2.0,50.0,4.25247,NaN,NaN,NaN,NaN,4.358443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1535797
2.0,55.0,4.263783,NaN,NaN,NaN,NaN,4.429669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.211295
2.0,60.0,4.295439,NaN,NaN,NaN,NaN,4.493463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.176667
2.0,65.0,NaN,NaN,NaN,NaN,NaN,4.472975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.196116
2.0,70.0,NaN,NaN,NaN,NaN,NaN,4.520005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2335315
2.0,75.0,NaN,NaN,NaN,NaN,NaN,4.5317345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2420683
2.0,80.0,NaN,NaN,NaN,NaN,NaN,4.580815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2613482
2.0,85.0,NaN,NaN,NaN,NaN,NaN,4.592123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.264929
2.0,90.0,NaN,NaN,NaN,NaN,NaN,4.593866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.27847
2.0,95.0,NaN,NaN,NaN,NaN,NaN,4.6324835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2755837
2.0,100.0,NaN,NaN,NaN,NaN,NaN,4.637157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.270364
2.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,0.0,NaN,3.4808898,3.4218965,3.5333378,3.4139717,3.5051203,3.4384692,3.6975965,3.5607905,3.372682,3.3500724,3.0784986,3.0916677,3.337452,3.8610032,NaN
3.0,5.0,3.0016823,3.8516574,3.5497305,3.6607075,3.5212326,3.810137,3.8583286,3.8120725,3.76796,3.466511,3.537517,3.0308003,3.2506087,3.5230222,3.6151345,NaN
3.0,10.0,3.370931,3.8263826,3.510322,3.7478423,3.5446877,3.5455143,3.8233895,3.7885673,3.4854522,3.6506863,3.7924502,3.2734873,3.3776674,3.7091515,3.6311748,3.4144964
3.0,15.0,3.646109,3.7706811,3.5632985,3.9832816,3.5760756,4.092783,3.7910674,3.759085,3.3375273,3.7507315,3.72598,3.3416023,3.39044,3.8446927,3.7369628,3.5879443
3.0,20.0,3.78421,3.5149715,3.6330485,4.056634,3.6072567,3.6371298,3.5526404,3.4552667,3.316862,3.747347,4.034055,3.498523,3.5200436,3.9268632,3.8090656,3.659803
3.0,25.0,3.8818805,3.5137813,3.7252765,4.285855,NaN,3.5887938,3.4417913,3.3349466,3.3661604,3.794762,3.8763654,3.576483,3.7676232,3.981192,3.8234627,3.8006566
3.0,30.0,3.7739415,3.2592494,3.8041215,4.173495,NaN,4.126496,NaN,3.265976,3.469235,3.8865385,4.0130863,3.567422,NaN,4.60999,NaN,3.8688931
3.0,35.0,3.9008188,3.283182,3.8614225,4.3024335,NaN,4.2950277,NaN,3.372488,3.5074623,3.9149597,4.1426196,NaN,NaN,NaN,NaN,4.0443306
3.0,40.0,4.0430517,3.3972301,NaN,4.3109455,NaN,4.123292,NaN,3.480545,3.543642,NaN,4.176346,NaN,NaN,NaN,NaN,3.9684365
3.0,45.0,4.071651,3.4121592,NaN,NaN,NaN,4.318814,NaN,3.2211437,3.6048555,NaN,NaN,NaN,NaN,NaN,NaN,4.095226
3.0,50.0,4.1156588,NaN,NaN,NaN,NaN,4.318649,NaN,3.4261985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1135826
3.0,55.0,4.1617527,NaN,NaN,NaN,NaN,4.3924103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1030416
3.0,60.0,4.138811,NaN,NaN,NaN,NaN,4.384728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.162075
3.0,65.0,NaN,NaN,NaN,NaN,NaN,4.5431604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1243773
3.0,70.0,NaN,NaN,NaN,NaN,NaN,4.515187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1248746
3.0,75.0,NaN,NaN,NaN,NaN,NaN,4.509049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.154324
3.0,80.0,NaN,NaN,NaN,NaN,NaN,4.500033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1727166
3.0,85.0,NaN,NaN,NaN,NaN,NaN,4.56651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.183468
3.0,90.0,NaN,NaN,NaN,NaN,NaN,4.5318084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.195034
3.0,95.0,NaN,NaN,NaN,NaN,NaN,4.611993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1992784
3.0,100.0,NaN,NaN,NaN,NaN,NaN,4.6212482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1769485
3.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,0.0,NaN,3.4968162,3.4244418,3.5332115,3.4102223,3.440175,3.4690862,3.6703365,3.5649385,3.36321,3.3404882,3.0249057,3.09544,3.6762784,3.8629766,NaN
4.0,5.0,3.00386,3.86526,3.4659715,3.601055,3.444969,3.6108038,3.8465118,3.8253298,3.771724,3.4129145,3.5661738,3.04717,3.2235792,3.7319698,3.457657,NaN
4.0,10.0,3.3673167,3.8168359,3.5253246,3.7533844,3.531859,3.7263079,3.8132288,3.8183753,3.4766784,3.6631737,3.7808392,3.2615666,3.307342,3.7164385,3.5024533,3.3952866
4.0,15.0,3.72085,3.7945602,3.5445373,3.9764876,3.5548332,3.795546,3.7597795,3.7740517,3.3184533,3.771233,3.9166582,3.462863,3.384327,3.9074228,3.7280872,3.5870724
4.0,20.0,3.6867921,3.483024,3.6530848,4.1128154,3.615044,4.1308684,3.4431326,3.4272468,3.3413823,3.8791878,3.9973164,3.5546527,3.5199199,4.054014,3.7878745,3.6746633
4.0,25.0,3.855485,3.3536747,3.7553103,4.226447,3.5595856,3.7322845,3.3819404,3.359942,3.4348762,3.8855443,3.996241,3.645874,3.676997,3.877738,3.8084795,3.8320768
4.0,30.0,3.7665677,3.4638526,3.70522,4.107336,NaN,4.39747,3.4996502,3.3738174,3.3727746,3.9473777,4.075548,3.72309,NaN,3.9337327,NaN,3.8475008
4.0,35.0,3.8628697,3.3332784,3.6815403,4.34326,NaN,4.259835,NaN,3.3295317,3.4890308,4.0380173,4.1927657,NaN,NaN,NaN,NaN,3.9867067
4.0,40.0,3.9988935,3.3034256,NaN,4.3692064,NaN,4.3544226,NaN,3.3111482,3.5248528,3.8151064,4.260983,NaN,NaN,NaN,NaN,4.0671844
4.0,45.0,4.012943,3.3329725,NaN,NaN,NaN,4.283934,NaN,3.4245248,3.5142577,NaN,NaN,NaN,NaN,NaN,NaN,4.0522137
4.0,50.0,4.062297,3.3459804,NaN,NaN,NaN,4.4406805,NaN,3.3459806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.16606
4.0,55.0,4.1273518,NaN,NaN,NaN,NaN,4.4075403,NaN,3.301476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.156219
4.0,60.0,4.1192727,NaN,NaN,NaN,NaN,4.513049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1584306
4.0,65.0,NaN,NaN,NaN,NaN,NaN,4.483838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.220728
4.0,70.0,NaN,NaN,NaN,NaN,NaN,4.4953775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1684036
4.0,75.0,NaN,NaN,NaN,NaN,NaN,4.5484586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.17181
4.0,80.0,NaN,NaN,NaN,NaN,NaN,4.5385275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2062044
4.0,85.0,NaN,NaN,NaN,NaN,NaN,4.5891767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2101474
4.0,90.0,NaN,NaN,NaN,NaN,NaN,4.612537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2170525
4.0,95.0,NaN,NaN,NaN,NaN,NaN,4.629818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.226632
4.0,100.0,NaN,NaN,NaN,NaN,NaN,4.6520863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2155437
4.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,0.0,NaN,3.402132,3.4273984,3.56461,3.4161823,3.4293976,3.4449475,3.6040137,3.564036,3.3620894,3.334751,3.0977235,3.1031063,3.8071387,3.864694,NaN
5.0,5.0,3.0004838,3.8262153,3.534197,3.6303556,3.4769108,3.7180183,3.833358,3.8201215,3.7645345,3.5587158,3.5143511,3.120235,3.2151337,NaN,3.4187694,NaN
5.0,10.0,3.360142,3.814835,3.557546,3.7620065,3.5283144,3.6507776,3.7896216,3.822759,3.3924332,3.6239493,3.762821,3.2153244,3.3063586,3.522569,3.3919332,3.4110742
5.0,15.0,3.8149776,3.7827923,3.5421627,3.9904559,3.603811,3.9144912,3.77136,3.7800686,3.3925421,3.721237,3.8398628,3.369762,3.3743374,3.7961414,3.6594493,3.5750132
5.0,20.0,3.662121,3.4295132,3.5971062,4.056208,3.6134582,4.021608,3.4463398,3.4353814,3.3876736,3.792886,3.9308422,3.5571387,3.517087,4.0507865,3.7707288,3.6558216
5.0,25.0,3.864732,3.3730278,3.6776357,4.209848,3.7954464,4.019217,3.3964272,3.3187535,3.416521,3.8935313,3.9361277,3.6391253,3.494403,4.2756233,3.8642995,3.7872877
5.0,30.0,3.7959,3.3187978,3.7234266,4.4129586,NaN,4.146326,3.3909185,3.3467972,3.5017588,3.879627,4.0528545,3.6541073,3.8823843,4.250354,NaN,3.8616729
5.0,35.0,3.892555,3.4386113,3.7527733,4.4229727,NaN,4.3052187,NaN,3.301165,3.3885493,3.9026527,4.136423,NaN,NaN,4.220596,NaN,3.9542158
5.0,40.0,3.9149797,3.3390102,NaN,4.4386287,NaN,4.360925,NaN,3.3263457,3.4804895,4.091907,4.2577624,NaN,NaN,NaN,NaN,4.0537496
5.0,45.0,4.0553803,3.2914305,NaN,NaN,NaN,4.4786243,NaN,3.2493541,3.4976716,4.160299,NaN,NaN,NaN,NaN,NaN,4.1537437
5.0,50.0,4.0786643,3.3385098,NaN,NaN,NaN,4.4336967,NaN,3.4281707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.130957
5.0,55.0,4.163971,3.3786342,NaN,NaN,NaN,4.5550504,NaN,3.3247173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.257283
5.0,60.0,4.1717463,NaN,NaN,NaN,NaN,4.484751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2084837
5.0,65.0,NaN,NaN,NaN,NaN,NaN,4.474089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2572713
5.0,70.0,NaN,NaN,NaN,NaN,NaN,4.560221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2384324
5.0,75.0,NaN,NaN,NaN,NaN,NaN,4.5444517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.204227
5.0,80.0,NaN,NaN,NaN,NaN,NaN,4.6198554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.224523
5.0,85.0,NaN,NaN,NaN,NaN,NaN,4.625759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.266893
5.0,90.0,NaN,NaN,NaN,NaN,NaN,4.613419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.246278
5.0,95.0,NaN,NaN,NaN,NaN,NaN,4.6737576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.282243
5.0,100.0,NaN,NaN,NaN,NaN,NaN,4.676177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.250825
5.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0,0.0,NaN,3.3832047,3.4373803,3.6098835,3.4306662,3.436473,3.5346713,3.5495827,3.5828218,3.3590395,3.329031,3.1035464,3.098308,3.5381756,3.863736,NaN
6.0,5.0,3.0078568,3.8242326,3.531976,3.614334,3.4830143,3.696731,3.8660378,3.8084788,3.7665575,3.4213428,3.7122178,3.1237183,3.1953242,3.7422774,3.4575584,NaN
6.0,10.0,3.3372207,3.8252351,3.4831507,3.783223,3.561557,3.4633765,3.813045,3.8225868,3.399316,3.4469562,3.79352,3.1634045,3.2699757,3.9073977,3.481199,3.3642147
6.0,15.0,3.769399,3.783042,3.554981,3.9900935,3.60211,3.8129125,3.7827985,3.7851973,3.3355033,3.8125825,3.9221022,3.6154215,3.3943677,4.173719,3.6291893,3.6773424
6.0,20.0,3.6123083,3.4472356,3.6810386,4.122057,3.6178706,4.1543064,3.4092848,3.4422169,3.3721428,3.9298131,4.026878,3.6897702,3.5474606,3.9817538,3.7465603,3.6529202
6.0,25.0,3.94051,3.350727,3.718072,4.2440486,NaN,4.1996794,3.3499167,3.3418157,3.3827837,4.016791,4.086034,3.7425046,3.6888866,4.1857395,3.7609484,3.8759449
6.0,30.0,3.8981924,3.3769155,3.831408,4.340604,NaN,4.260957,3.3832648,3.2777982,3.4275975,4.1073585,4.263719,4.049066,3.5778139,4.2566824,NaN,3.8984268
