"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,3.9817638,3.4221654,3.504734,4.0846457,3.4768841,4.435899,3.5930383,3.326732,3.3736262,3.849392,4.109992,3.6406093,3.4643686,3.4412448,3.433258,4.0659337
2.0,4.205422,3.4399395,3.5695918,4.2312226,3.5759838,4.5409284,3.5991817,3.3306506,3.424833,3.9875836,4.1346893,3.741264,3.4493458,3.5904195,3.731703,4.2270603
3.0,4.082146,3.414996,3.5862358,4.1679096,3.5112145,4.488137,3.5285542,3.3426273,3.474418,3.8388107,4.029448,3.5717456,3.3962991,3.69524,3.660168,4.1238475
4.0,4.0630913,3.3748972,3.5709949,4.138565,3.504551,4.501438,3.4599688,3.3133733,3.469747,3.9387162,4.156591,3.6630647,3.3320932,3.9157548,3.5312097,4.129322
5.0,4.1041055,3.3796234,3.5697343,4.117775,3.524748,4.5420356,3.4522197,3.3206623,3.45058,3.9491029,4.1755204,3.734557,3.3474104,4.0519257,3.545714,4.132067
6.0,4.161618,3.4167185,3.6390383,4.1343384,3.5652897,4.5546207,3.5201929,3.3266432,3.4654312,4.0333757,4.1990595,3.5634394,3.357887,3.8978558,3.6072447,4.162453
7.0,4.1862636,3.3778176,3.5807962,4.1415114,3.558116,4.536083,3.69981,3.318478,3.4341385,3.9933429,4.158643,3.6853814,3.3552637,3.9242244,3.6154492,4.1433396
8.0,4.184872,3.3902993,3.5830908,4.1192265,3.5467606,4.5751877,3.7019222,3.3236322,3.4835284,4.00215,4.145626,3.7041733,3.3438547,3.939403,3.607185,4.161011
9.0,4.174704,3.4026396,3.5706468,4.12358,3.4928598,4.5549808,3.6608155,3.32755,3.497909,3.9448872,4.0900416,3.7282195,3.3585713,3.9377356,3.6203866,4.1581063
10.0,4.1404266,3.4122496,3.6155088,4.1068444,3.5354068,4.575681,3.6780462,3.3316715,3.5132298,4.0141478,4.184642,3.757462,3.3388197,3.9588513,3.638182,4.198968
11.0,4.1115546,3.4043095,3.6106453,4.143574,3.5149958,4.577221,3.691856,3.315648,3.502059,3.9440534,4.1207194,3.7375703,3.3779006,3.9490292,3.6344886,4.186052
12.0,4.1258245,3.4155827,3.6265419,4.150666,3.533809,4.5566063,3.7126713,3.322061,3.5217454,3.9917073,4.133303,3.6976292,3.3543377,3.9788392,3.6444187,4.1837964
13.0,4.1278553,3.4115412,3.6115813,4.126711,3.5045662,4.592526,3.7066708,3.2988179,3.5130522,4.010612,4.1937366,3.677121,3.3842645,4.0129204,3.6095915,4.217196
14.0,4.14655,3.4107566,3.6042476,4.180994,3.540921,4.586791,3.652331,3.323506,3.5119228,4.0394735,4.1877522,3.7629924,3.382741,3.9139695,3.6074016,4.2189255
15.0,4.1661057,3.422598,3.5781412,4.1613936,3.4851599,4.5533123,3.6281395,3.3195198,3.5150044,3.9531631,4.1163063,3.734876,3.3824718,3.9640663,3.6076813,4.2075453
16.0,4.1150346,3.4171078,3.5954196,4.1007767,3.497108,4.5617223,3.7069077,3.328629,3.5108404,3.9433508,4.1529975,3.7273993,3.3624463,3.977658,3.5935755,4.174545
17.0,4.1618814,3.4035313,3.614436,4.131142,3.493882,4.5835724,3.746868,3.302105,3.4962542,4.0090804,4.1715055,3.7201993,3.3288355,4.024521,3.6001613,4.222251
18.0,4.185943,3.4042697,3.59266,4.1068087,3.530731,4.5461807,3.7239215,3.318238,3.4957812,4.0618715,4.126079,3.7589521,3.363568,4.005669,3.5845668,4.2444663
19.0,4.178845,3.3980756,3.584891,4.146448,3.5291946,4.548984,3.6463177,3.2990575,3.4875968,4.1021295,4.1611795,3.7667158,3.3447495,3.9498804,3.5749013,4.225225
20.0,4.1337914,3.392793,3.585294,4.1324944,3.5498042,4.5353417,3.6505618,3.3250089,3.5140414,4.0730815,4.169748,3.6553397,3.3450282,3.9291186,3.582238,4.2150936
