"Biomass of prey species (in tons per time step of saving, in rows) eaten by a predator species (in col). The last column reports the biomass of prey at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","Prey","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,lesserSpottedDogfish,0.012805571,0.0,0.0,4.31887,0.0,3.0654607,0.0,0.0,0.0,0.03699247,1.2351122,0.0,0.0,0.7977215,0.0010104157,0.0
1.0,redMullet,6.670105,18.880857,366.4004,271.2559,74.40376,11.585329,14.311054,31.417662,43.263966,109.06632,137.30553,16.594803,126.76422,115.41687,80.96791,6.7765317
1.0,pouting,37.54085,0.051354043,102.632996,544.01953,6.253775,70.34207,0.31414118,0.6045292,0.82334095,518.66266,711.423,49.54376,29.167057,147.9852,0.0,30.858965
1.0,whiting,8.461828,0.6275528,80.21768,1323.6891,2.8671224,55.72573,4.253101,0.96979177,8.013821,553.5606,624.56354,4.596557,288.95224,404.39413,0.0,40.023808
1.0,poorCod,59.510117,0.0,13.658229,64.081856,1.4892049,6.6726103,0.07237763,0.024978599,0.17827088,233.83415,68.13618,1.0231458,2.1338441,266.085,0.0,15.464679
1.0,cod,3.0780494,4.6392065E-6,6.0851994,11.752787,0.7186295,7.6331387,0.70348346,0.007982345,0.7146776,39.706707,49.690247,33.53927,22.120823,9.545497,0.0,1.9847806
1.0,dragonet,47.912304,55.93594,113.64712,406.7087,29.537577,19.104134,62.527996,138.89113,116.888115,355.5249,339.04623,42.356236,213.34012,561.7906,290.9879,16.31652
1.0,sole,19.310488,0.4670999,28.791962,266.2165,1.5354097,32.660103,0.43340194,0.7928872,20.37019,118.28186,110.6279,0.2595466,12.85353,39.23887,0.6311016,20.76612
1.0,plaice,52.568134,22.813732,81.77271,428.1956,13.666646,37.73278,14.938287,106.365036,159.4311,220.01726,105.33143,221.30824,91.19231,214.95294,61.798573,18.673243
1.0,horseMackerel,41.007633,0.5619491,8.735828,402.0575,0.5432889,44.555065,1.392889,0.57116705,0.3590088,259.4076,314.11194,1.5129555,16.123314,1333.7136,0.0,49.282566
1.0,mackerel,27.893848,28.413786,796.74524,617.1968,8.262747,55.072598,11.424235,4.8664193,2.0714297,510.17142,610.14825,471.56277,263.04602,1180.9668,0.0,31.260132
1.0,herring,128.46893,0.0,24.759232,352.1768,3.5687811,77.620834,0.0,0.0,1.3855138,327.36462,444.33615,747.38,20.434917,962.43225,0.0,54.119514
1.0,sardine,166.08963,4.4463587,580.47705,1431.7949,25.523453,112.21035,23.998543,5.0596647,4.483275,1450.9707,2255.1677,1179.2762,3952.0564,10027.209,0.0,85.69199
1.0,squids,712.8801,25.042158,385.1349,2395.9167,239.4414,48.92386,63.693382,119.52853,51.386745,4235.417,3104.8052,1554.8324,2528.9607,12514.844,158.95221,156.17386
1.0,cuttlefish,235.8269,26.824709,61.524624,194.65825,44.939774,28.882982,84.28287,61.543774,47.526146,0.0,0.0,0.0,0.0,0.061544847,782.1037,45.019657
1.0,thornbackRay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035130616,0.16606057
1.0,diatoms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008995301,0.08062844,0.0,0.0,0.0
1.0,microPhytoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.842446,85.80067,0.0,0.0,0.0
1.0,heterotrophicFlagellates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7418055,910.3701,0.0,0.0,0.0
1.0,microZooplankton,0.0,105.3698,0.0,0.0,0.58901906,0.0,366.45776,7.117444,82.041374,1.2424823,22.579695,645.73834,4324.5547,0.0,0.0,0.0
1.0,mesoZooplankton,1.7801896E-7,1.982006E-4,3.7243057E-4,1.716061E-4,1.585347E-4,2.2269922E-5,3.4216524E-4,1.4078182E-4,1.1775065E-4,0.00118132,8.0799934E-4,2.9545737E-4,0.0029463337,0.0027596676,0.0,0.0
1.0,Macrozoo,61.269016,91.23768,1339.1327,841.92224,535.62836,43.10961,82.31824,169.53406,298.02798,6092.434,3639.326,3254.3364,8497.262,10092.674,0.0,0.0
1.0,meioBenthos,0.22406018,379.10974,209.99556,70.46066,125.890976,4.028455,1512.1832,895.5581,577.60333,0.0,0.0,0.0,0.0,304.95987,601.6535,0.85537213
1.0,depositBenthos,3.0183387,82.10313,45.82363,21.028547,25.266922,1.0880357,305.07117,189.7966,87.90973,0.0,0.0,0.0,0.0,71.67302,126.40402,1.2834809
1.0,suspensionBenthos,975.5185,1619.8772,3950.5354,5969.039,1309.6035,221.79904,1530.2021,6951.2363,4279.0923,0.0,0.0,0.0,0.0,60.045982,7978.0596,317.64206
1.0,largeBenthos,402.65863,0.0,245.81976,1044.7517,8.238657,91.55363,0.0,0.0,150.95366,0.0,0.0,0.0,0.0,0.0,1856.201,117.8648
1.0,veryLargeBenthos,312.4316,0.0,0.0,562.4456,0.0,70.078514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.33131,108.37237
2.0,lesserSpottedDogfish,0.008516374,0.0,0.0,0.62326705,0.0,2.1027057,0.0,0.0,0.0,0.17480512,0.47781828,0.0,0.0,0.0,0.074471325,0.0
2.0,redMullet,12.659518,53.219143,818.60095,724.1433,92.73745,17.785309,34.461708,106.29235,143.30554,198.1284,228.70473,18.727669,187.21452,221.51816,202.4085,11.197457
2.0,pouting,54.49894,0.43119738,257.72144,1640.9653,10.695212,129.5317,0.8852358,1.1199915,0.41082218,686.1463,698.5855,24.911455,42.73317,550.33057,0.0,54.602303
2.0,whiting,33.72295,0.33613083,214.35353,1537.8826,2.7232711,176.09102,3.2450774,1.5210879,1.396598,477.78217,567.19415,1.2993388,103.593666,504.29446,0.0,63.727352
2.0,poorCod,122.15774,0.0,47.671253,128.64972,9.003444,25.838717,0.33162215,0.3828557,0.24312042,190.95996,36.777836,1.7584798,7.4441595,234.98839,0.0,34.597153
2.0,cod,1.3176296,0.0,14.749775,16.663595,0.16263539,8.044361,1.0632219,0.012501963,1.1203846,33.82014,32.834652,7.6274343,27.018248,13.2116585,0.0,1.5966247
2.0,dragonet,24.015112,51.842403,348.77124,689.12897,28.747591,22.531822,52.879948,121.11899,111.71188,252.86719,198.953,38.352303,164.65451,1012.061,299.90372,13.074998
2.0,sole,31.691309,1.3752692,229.21307,1572.5741,4.849402,48.029728,0.68557495,1.0536416,100.86005,202.28291,107.995155,0.43052754,21.676085,368.294,130.44719,21.829788
2.0,plaice,15.681367,13.169352,170.90662,412.5825,5.8464284,27.517593,5.748748,30.293882,101.50556,122.17664,47.87715,53.093414,34.486336,385.94403,60.07591,15.484078
2.0,horseMackerel,10.420315,0.58053434,75.18954,411.29285,0.8360897,48.598446,1.4902802,1.7045121,0.33044714,182.28398,165.31,1.96454,26.692945,202.70515,0.0,43.20853
2.0,mackerel,33.63757,25.24824,959.3173,1848.0929,16.8422,63.119976,9.3361845,19.7433,0.025543611,1157.5067,1253.0748,554.7023,257.1039,2694.6013,0.0,27.896553
2.0,herring,96.27716,0.0,1.3350377,141.80862,0.05481176,66.99624,0.00201233,0.0,6.341045E-5,63.74682,53.979458,15.996622,4.5776005,76.93709,0.0,32.838528
2.0,sardine,139.89223,0.0,1329.1892,2435.2102,85.86974,84.10856,6.531606,7.902233,1.6777654,1389.341,2068.7295,946.0576,2557.4473,7988.571,0.0,53.62624
2.0,squids,1095.3707,38.207924,848.1379,5695.282,1319.5305,85.919044,42.30372,72.74199,42.970726,6269.9395,2732.8154,1684.3347,1318.8658,27407.885,7.6325283,220.29803
