"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,9.702811E7,2.4335032E9,3.0888497E9,2.0457997E8,8.610103E8,606266.9,4.6254515E9,1.1648121E8,8.321052E7,2.1110895E9,7.072013E7,7.9484934E8,4.3711824E10,3.9185432E12,1.4990682E9,4402482.0
2.0,8.089942E7,8.710914E9,8.1747487E9,9.6422664E7,2.427511E9,617756.44,3.7981852E9,1.6675386E8,2.0088355E8,1.7750666E9,1.1382037E8,2.686036E8,1.2420826E11,8.550047E11,1.2833594E10,8441695.0
3.0,6.912853E7,1.2910803E10,9.921179E9,3.70614E8,1.0322435E10,1181644.6,7.303533E9,1.007903E8,1.588191E8,2.4387374E9,8.53575E7,9.849234E7,2.2594712E11,2.8213107E9,1.813242E10,1.2334126E7
4.0,6.1701596E7,1.2870129E10,1.225218E10,7.586826E8,2.1685295E10,1322204.1,4.320324E9,7.169455E7,1.2973779E8,2.6076365E9,4.40477E7,5.622373E7,1.9316698E11,4.5901344E8,8.3820385E9,1.6439977E7
5.0,5.6131996E7,1.5145689E10,9.934234E9,1.5664422E9,2.3942494E10,1501970.6,1.8424078E9,5.661829E7,1.2744356E8,2.318647E9,2.0093028E7,4.6795492E7,9.600055E10,2.787341E9,4.334021E9,2.0487536E7
6.0,4.9227836E7,1.1564678E10,1.4150563E10,1.8909798E9,2.3502981E10,2915390.2,8.7809274E8,4.7629132E7,1.2053744E8,1.8341508E9,1.5253078E7,5.7000124E7,5.288599E10,1.1755026E9,3.854992E9,2.4053546E7
7.0,4.2918732E7,2.0137724E10,1.5111549E10,2.0528056E9,2.3650013E10,2801047.2,2.8580538E8,4.232211E7,1.1326968E8,1.1936947E9,1.5143331E7,5.8581004E7,7.8301635E10,1.8185132E9,3.2953142E9,2.755102E7
8.0,3.9101504E7,1.0836166E10,1.3755771E10,1.735735E9,1.5271557E10,2519890.0,1.9092349E8,4.579649E7,1.10711176E8,1.00353414E9,2.0749452E7,3.8442348E7,6.6424803E10,2.2323392E9,4.0939843E9,3.0598822E7
9.0,3.6016936E7,1.3999608E10,1.1383012E10,1.738316E9,1.8139324E10,2854239.8,1.778978E8,4.475437E7,1.0660517E8,9.441156E8,2.2888306E7,4.275742E7,5.186993E10,3.0575063E9,4.4514734E9,3.3476E7
10.0,2.919112E7,1.7505085E10,1.0993124E10,1.6015455E9,1.6264884E10,4529628.0,1.14993816E8,4.197177E7,1.0936463E8,1.0918328E9,2.8095768E7,7.6615816E7,3.7679944E10,2.9092045E9,4.480553E9,3.6115772E7
11.0,2.434813E7,8.950655E9,1.0704904E10,1.5776031E9,1.6641077E10,5314667.0,1.8326938E8,4.1121476E7,9.000349E7,8.088308E8,3.6656544E7,8.631193E7,3.9667565E10,1.6572417E9,4.0343729E9,3.883641E7
12.0,2.2028796E7,7.190498E9,1.0167936E10,1.5360703E9,1.6846117E10,4857330.5,1.6368013E8,4.0334132E7,7.3051064E7,5.88707E8,4.565141E7,6.89199E7,3.3294815E10,2.7402755E9,3.050057E9,4.11151E7
13.0,2.0070268E7,8.69129E9,5.6026506E9,1.3037513E9,1.5333947E10,4411390.5,1.07382E8,3.846861E7,6.9096136E7,3.8202835E8,3.6708236E7,7.945105E7,3.3899198E10,2.8399662E9,3.7778778E9,4.3217016E7
14.0,1.8246994E7,8.4492703E9,5.494856E9,1.2620717E9,2.3317967E10,3969368.8,1.4642104E8,4.0100948E7,6.825586E7,3.467206E8,3.56526E7,1.01850536E8,4.3099374E10,3.2202808E9,4.6201544E9,4.474233E7
15.0,1.6406749E7,1.3503634E10,7.692923E9,1.5150176E9,2.5866E10,3528580.5,1.414734E8,4.2181508E7,6.893366E7,3.705169E8,3.57811E7,1.08371064E8,5.145626E10,1.9299597E9,4.7523036E9,4.5498124E7
16.0,1.4361574E7,1.6226692E10,1.1452802E10,1.376692E9,1.9003187E10,3150452.2,2.4108126E8,4.0393284E7,6.709594E7,2.5637158E8,3.984918E7,9.2941176E7,4.8973115E10,5.532027E9,4.443387E9,4.603555E7
17.0,1.3353344E7,2.0241066E10,6.3617326E9,1.3544477E9,1.2934569E10,2816804.2,2.5288717E8,4.084839E7,6.3272444E7,2.8903824E8,4.2826516E7,7.999541E7,3.935691E10,3.3554304E9,4.1895913E9,4.7276316E7
18.0,1.1432854E7,1.6748133E10,8.587119E9,1.2239671E9,1.4510811E10,2542943.0,1.9783603E8,4.542759E7,6.418617E7,3.931935E8,4.2869212E7,8.284445E7,4.1963086E10,6.134599E9,4.2721124E9,4.9187824E7
19.0,9765879.0,7.451056E9,7.2746455E9,1.4402907E9,2.2678567E10,2325868.0,2.3537077E8,4.8291484E7,6.3734996E7,3.0952426E8,3.953306E7,8.190337E7,4.2959245E10,2.5217974E9,4.1141071E9,5.5584776E7
20.0,8489974.0,1.3658499E10,8.842546E9,1.5924074E9,2.113715E10,2131044.2,3.2234835E8,4.7571E7,6.513065E7,3.283601E8,4.323225E7,9.503331E7,4.65491E10,3.4468157E9,3.9525087E9,6.569935E7
