"Distribution of fish species biomass (tonne) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,225.1323,5678.4272,3436.5764,3911.027,3904.922,0.0,9324.291,187.2324,0.0011475094,17061.908,5.557041E-4,0.0,62336.664,352394.78,22273.79,40.81012
1.0,1.0,821.19025,5133.4707,13652.742,24476.273,470.85843,0.0,4647.4805,151.47346,0.010288221,51163.406,8643.14,0.0,82685.88,82523.055,11293.782,92.22915
1.0,2.0,1259.9642,1075.6506,6102.757,9106.469,817.73364,0.0,3881.2812,5528.1377,2396.046,14656.198,1198.9712,0.0,42434.258,0.0,0.0,139.27374
1.0,3.0,1810.9496,535.28467,3737.4414,5480.857,1156.306,0.58187133,3769.2383,3298.3499,5294.892,12414.63,5223.1343,3325.7246,26408.607,0.0,0.0,208.10602
1.0,4.0,2430.228,461.85953,0.0,3673.801,1159.5107,635.0595,3104.0918,2082.0305,3113.878,7944.218,2881.4707,37650.633,17838.193,0.0,0.0,265.74506
1.0,5.0,2981.8093,385.88092,0.0,2591.3386,0.0,361.7619,2554.7751,1436.0842,1742.9388,6780.1333,2120.9883,25296.217,13116.009,0.0,0.0,317.0646
1.0,6.0,3386.4468,343.01697,0.0,2083.6113,0.0,206.33646,0.0,1161.5812,1035.9569,5843.002,1764.3269,19293.92,9520.936,0.0,0.0,364.70868
1.0,7.0,3380.4268,318.60745,0.0,1644.5387,0.0,148.62973,0.0,924.3515,675.6518,4863.59,1468.5085,15173.564,6875.8467,0.0,0.0,399.90677
1.0,8.0,3104.91,289.65314,0.0,1285.4764,0.0,118.52351,0.0,726.79877,519.5979,4244.802,1206.0162,12181.725,5232.2275,0.0,0.0,422.72293
1.0,9.0,2909.046,256.69977,0.0,1003.2084,0.0,96.39567,0.0,571.56793,440.01022,3923.947,1048.6394,9812.03,4300.8203,0.0,0.0,435.2428
1.0,10.0,0.0,223.05133,0.0,825.14325,0.0,78.907455,0.0,463.98688,380.06454,3616.2808,957.41376,8148.085,3613.8125,0.0,0.0,451.34113
1.0,11.0,0.0,0.0,0.0,728.3392,0.0,64.5945,0.0,405.37473,331.61273,3281.1035,860.37726,0.0,2994.0981,0.0,0.0,470.88535
1.0,12.0,0.0,0.0,0.0,643.74426,0.0,52.989964,0.0,352.19452,289.71643,2961.9343,774.2699,0.0,2553.647,0.0,0.0,486.2454
1.0,13.0,0.0,0.0,0.0,568.8498,0.0,45.74631,0.0,305.46085,253.91931,2644.982,689.5383,0.0,2043.9631,0.0,0.0,496.49377
1.0,14.0,0.0,0.0,0.0,502.87506,0.0,41.446625,0.0,264.40024,221.85324,2332.6133,605.2189,0.0,1748.4723,0.0,0.0,502.12607
1.0,15.0,0.0,0.0,0.0,443.74673,0.0,37.415707,0.0,229.76031,0.0,0.0,530.386,0.0,0.0,0.0,0.0,503.67593
1.0,16.0,0.0,0.0,0.0,392.27988,0.0,33.659477,0.0,198.72845,0.0,0.0,464.19333,0.0,0.0,0.0,0.0,501.68982
1.0,17.0,0.0,0.0,0.0,346.1666,0.0,30.188414,0.0,171.04181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.7011
1.0,18.0,0.0,0.0,0.0,305.89688,0.0,27.004602,0.0,148.16759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.21307
1.0,19.0,0.0,0.0,0.0,269.90564,0.0,24.102953,0.0,126.96542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.68768
1.0,20.0,0.0,0.0,0.0,0.0,0.0,21.47281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,19.099598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,16.966333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,15.054799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,13.346415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
