"Distribution of fish biomass (tonne) by Trophic level. Class i designates interval [i,i+1[."
"Time","TL","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.9000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.3000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.8000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,6.1074014,0.0,0.0,0.0,0.0,49.993977,0.0,0.0,0.0,0.0,0.0,2992.9927,0.0,6709.8857,0.0
1.0,3.1000001,0.0,134.46765,0.0,0.0,0.02673005,0.0,219.11737,154.05031,4.007584E-5,0.0,0.0,0.0,26490.05,0.0,8.139193,0.0
1.0,3.2,12.817371,3102.514,418.00055,0.0,955.5144,0.0,2555.1577,7629.9604,1563.0828,0.0,0.0,0.0,70887.984,0.0,283.63745,0.0
1.0,3.3,71.64862,1559.8451,3275.088,0.0,3044.9404,0.0,2519.6292,5262.35,2136.333,66056.266,6458.2915,85715.08,93221.21,282247.7,877.6989,0.0
1.0,3.4,263.21268,1350.5406,6433.169,0.0,279.19815,0.0,2098.684,2880.2808,4316.8574,3706.668,623.8379,1533.7815,6229.0522,5826.165,1788.8461,0.5933828
1.0,3.5,388.1964,1342.1545,2153.9294,0.0,77.76108,0.0,1928.8926,993.0111,4013.6755,3508.0862,467.93094,630.8573,5243.632,3499.3108,5479.166,19.411976
1.0,3.6000001,266.17755,1058.8811,705.97974,0.0,68.36344,0.0,2104.583,208.68481,277.60303,3712.4412,537.2911,839.8175,3445.0374,4536.7856,716.8024,4.8290257
1.0,3.7,265.55316,1622.8837,644.9206,0.0,36.230103,0.0,2634.0242,74.68211,82.53079,2269.489,295.204,1418.1779,6438.2563,2957.5823,815.37335,12.03139
1.0,3.8,632.039,2630.9856,738.18365,68.85902,78.55613,0.0,6659.9053,56.82527,92.30244,3130.359,443.0321,3013.6013,5583.7354,13704.148,834.3442,20.576565
1.0,3.9,2805.4497,2212.2097,926.25433,2080.7217,127.43028,0.0,7659.214,139.10944,134.46922,7425.87,1675.7683,5337.7827,15584.824,14212.004,493.13263,244.34877
1.0,4.0,3822.4214,9.698128,794.2917,5694.6323,114.16247,68.99565,23.858103,46.147068,132.67691,6674.9004,1517.1128,5006.3286,10448.93,18955.84,4257.89,696.245
1.0,4.1000004,3065.6494,12.488233,1316.8115,6914.91,118.82972,7.817221,28.33702,23.879232,113.493065,9738.7,3828.9236,7068.551,21985.215,45242.184,1489.3529,773.0377
1.0,4.2,3719.5415,64.707016,2542.4717,10596.1045,418.97305,87.44293,16.490494,119.28309,376.72256,20721.066,5743.2803,12368.109,9742.384,34641.332,1091.1456,1161.428
1.0,4.3,2182.2285,25.954166,1945.8125,10345.395,150.31616,250.94379,13.2863865,60.509113,198.39648,7111.3994,2603.1086,3062.1648,1452.3065,15232.446,1464.6094,1359.0068
1.0,4.4,1419.6699,46.602615,1355.6364,6968.495,120.42404,308.55704,10.335465,66.04101,273.97263,1804.2672,965.34314,707.3826,786.68805,6667.9854,1266.1051,1003.198
1.0,4.5,796.03546,65.5118,882.2021,4874.347,103.401276,331.6844,29.834814,85.54821,324.34027,1127.8284,515.3437,477.0574,726.6638,4141.1587,695.94867,778.0985
1.0,4.6000004,624.3006,98.09125,817.17975,3230.1548,90.07831,286.0655,36.74004,139.49887,500.19434,1122.753,441.26697,1769.9202,149.68433,3775.7363,1104.2163,527.1849
1.0,4.7,612.92896,144.31183,904.1356,2584.3064,95.7165,239.9498,124.427986,421.68655,845.2197,1369.4764,494.2267,462.8097,517.5733,2663.092,1032.893,356.0487
1.0,4.8,299.58014,334.6072,494.38657,1808.1714,48.86155,187.02608,384.1821,641.4784,1113.628,1140.7661,562.4728,246.85588,266.54468,2276.4197,678.1514,217.72609
1.0,4.9,195.74376,139.50612,199.81879,1220.5853,14.532463,139.22514,62.667484,300.16525,285.9487,1033.5193,397.92014,527.4916,39.26168,3270.01,203.45387,117.73505
1.0,5.0,294.24078,0.0,259.812,975.2086,14.116962,74.5291,0.0,0.0,0.0,1019.70856,528.8495,70.45793,121.72724,2064.4604,57.07618,95.16328
1.0,5.1,260.2995,0.0,250.22363,978.15283,14.793433,37.09458,0.0,0.0,3.5938642,885.2809,526.4197,0.0,127.755264,2083.4158,56.682915,75.82917
1.0,5.2000003,107.028755,0.3841619,163.16824,756.4719,3.2861052,26.56342,0.0,0.0,0.93480945,845.3428,405.3301,17.894152,0.0,2389.6829,68.80095,48.080082
1.0,5.3,49.009823,0.0,100.738304,385.2648,3.34757,13.716151,0.0,0.0,2.5015311,423.6852,153.40227,0.0,0.0,769.5289,6.9764814,20.76034
1.0,5.4,46.92487,0.0,23.261036,168.0992,2.03534,4.978159,0.0,0.0,2.9037645,116.53747,109.98864,0.0,0.0,51.407883,16.419668,10.084776
1.0,5.5,17.481653,0.0,65.15883,171.88223,0.9563429,5.2933946,0.0,0.0,1.0904694,100.48709,20.161192,0.0,0.0,223.77872,54.271217,5.76579
1.0,5.6,20.385098,0.0,32.930847,145.22829,1.8933704,6.508247,0.0,0.0,0.0,238.73631,172.7924,0.0,0.0,162.77621,0.0,6.883432
1.0,5.7000003,19.949802,0.71214145,17.68336,107.02144,0.24055427,4.0734286,0.0,0.0,0.0,48.280663,30.132736,0.0,0.0,110.19166,0.0,6.536068
1.0,5.8,10.753986,0.0,9.472786,71.95765,0.0,4.179126,0.0,0.70851713,0.0,29.617361,59.385715,0.0,0.0,275.98822,3.2454934,2.0699198
1.0,5.9,7.3657427,0.0,11.158807,49.56853,0.7560732,0.0,0.0,0.0,0.0,13.615682,12.059937,0.0,0.0,158.99672,0.0,0.89342344
1.0,6.0,2.4152057,0.0,15.639857,3.290897,0.0,3.4288251,0.0,0.0,0.0,37.52602,46.36117,0.0,0.0,0.03868264,0.0,0.4588619
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
