"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,8.877802118928232,4.600202497776,0.25893594498552847,0.0,1.6909148828231895,0.12053974067314087,0.03993970896820608,0.07072575622939785,0.07149722342285691,2.366030136821483E-5,4.3649494529145015E-4,0.060449390992079154,0.0,0.0,0.0,0.0,0.0,0.0,3.725081193950365E-5,6.588792452394376E-4,0.0547333147663451,0.0,0.0,7.086593299074371E-4,
2.0,6.112214162607566,7.031745239212339,5.267784443937675,0.0,1.319998962225989,0.730089276546353,0.03438847171838309,0.07064997425361638,0.07005952381189125,3.249182721764759E-5,7.124235780616416E-4,0.03944716295546969,0.0,0.0,0.0,0.0,0.0,0.0,5.027125933336143E-5,0.001066758404709141,0.034496209334449295,0.0,0.0,3.2104811746234887E-4,
3.0,5.5710914629496155,6.5908903978432205,2.258480026528533,0.0,1.4128940099843192,0.5871175523659443,0.03329420088929846,0.07095025912683169,0.07123028051949135,3.325591169096387E-5,5.931292628318314E-4,0.05590755870379372,0.0,0.0,0.0,0.0,0.0,0.0,5.110158063180378E-5,8.95096336820763E-4,0.048931729686260965,0.0,0.0,5.309864558121662E-4,
4.0,5.991278612504597,5.900304374189736,3.9887077973060237,0.0,1.4673776597055235,0.24989380432933891,0.03409523356722205,0.07123623625634236,0.07096588269277841,2.4596152425803214E-5,4.112534791017536E-4,0.04479431525023208,0.0,0.0,0.0,0.0,0.0,0.0,3.838124882401282E-5,6.288284082321006E-4,0.038556423504786434,0.0,0.0,5.472189575744086E-4,
5.0,5.720097940784979,5.546194485969842,2.6352085535496443,0.0,1.4777381440856414,0.13987173402070407,0.033549369626948565,0.07140086932376971,0.07151689207384776,2.320067784552213E-5,3.8476281977311986E-4,0.04592521073892017,0.0,0.0,0.0,0.0,0.0,0.0,3.6351372048017135E-5,5.870711605750515E-4,0.04391434182955404,0.0,0.0,8.054625256963127E-4,
6.0,5.679388725416387,5.752225268881814,4.327241520296057,0.0,1.4845984008985176,0.42792116838204436,0.03356764588768304,0.07126262385876088,0.07065570363233366,2.2357920130483792E-5,3.3667741056477485E-4,0.032718204866142055,0.0,0.0,0.0,0.0,0.0,0.0,3.498907462638447E-5,5.16779351204061E-4,0.0317982119143871,0.0,0.0,6.400034701431623E-4,
7.0,5.960624129077555,6.271784100166939,4.270322373017219,0.0,1.4956560223616826,0.34368387199298217,0.03422217066502605,0.07110129199884171,0.07132481440407248,2.366045996587333E-5,3.827950745945934E-4,0.039940704887639546,0.0,0.0,0.0,0.0,0.0,0.0,3.5255967436234666E-5,5.604168337629324E-4,0.0378806589885242,0.0,0.0,6.568436990861692E-4,
8.0,4.820598192204239,6.401698034753136,3.0342239738262284,0.0,1.4924644591857956,0.5198070168472323,0.0319503496743311,0.071140835579857,0.07147137182573433,3.104874078338989E-5,4.597768533310894E-4,0.042049957284116916,0.0,0.0,0.0,0.0,0.0,0.0,4.3129230777439205E-5,6.34364437764431E-4,0.043004921860853286,0.0,0.0,8.610743080581516E-4,
9.0,5.0885944371234615,6.031096154707603,3.3350207826575686,0.0,1.579030939155103,0.37800476895058055,0.032413157039894086,0.07114495500284487,0.07096114537884185,1.7298781428283927E-5,2.641107556609328E-4,0.03295290845851718,0.0,0.0,0.0,0.0,0.0,0.0,2.662567557257042E-5,4.001928336307589E-4,0.030569101791335977,0.0,0.0,0.0012966052689439916,
10.0,5.06905615890288,7.224846845761079,5.8612673074516435,0.0,1.4959115293337915,0.37274573020176216,0.03236139010512638,0.07115207809784865,0.07049125528342455,2.3214205208662452E-5,3.6924262619109153E-4,0.040008813994505676,0.0,0.0,0.0,0.0,0.0,0.0,3.3660852611161976E-5,5.243278721572696E-4,0.0375600944581114,0.0,0.0,0.0019165763183929903,
