"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,3.8543498937915586,7.381000839285386,1.6175266862339295,0.0,0.02307153233160895,6.685645347524928E-4,0.48073926743077805,4.1868647585138253E-4,4.246927717496528E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16167599503426877,
2.0,3.313399346599146,8.028382173411275,0.6620412893667609,0.0,0.049963746109489816,0.03749819628133384,0.4238429297612867,4.134802565550066E-4,4.248990012922971E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08551890495655105,
3.0,2.5769310080091885,7.68360056527499,0.7538052296688103,0.0,0.00404337781678457,0.16701004826868576,0.3964660350817802,4.1863784085078486E-4,4.242799543007195E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014315972917761644,
4.0,2.5932869775369767,6.474987197627978,0.87590523327675,0.0,0.019652899940870317,0.09700841734972168,0.39809873707973087,4.2096501240707356E-4,4.243306261132754E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010568081721642841,
5.0,2.212363499493738,6.4953940242053285,0.7300097724011159,0.0,0.03441828606729631,0.06990945675182293,0.3846999833118041,4.1982854516609637E-4,4.2422592409664293E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030494234904021884,
6.0,2.133878699490658,6.959259354596299,1.0124784301849892,0.0,0.10852872597820326,0.1110179450717968,0.3817674005006339,4.2014725919367E-4,4.244459951820722E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037931802704466326,
7.0,2.4966371104799063,7.475089074596909,1.009516321329114,0.0,0.10975822366141587,0.11979291770691855,0.39425878711601264,4.206880641708116E-4,4.241680379154767E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5436616362678497E-4,
8.0,2.1265818034976913,7.224439405024707,1.1045925397728669,0.0,0.12046591721254282,0.11087691569381729,0.38168098007092643,4.191384346414678E-4,4.243702758567378E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010929732740153266,
9.0,2.271434864183985,7.382935798820324,0.9054329913632916,0.0,0.14936666320084646,0.13849508502793445,0.3868972885128897,4.1989659778486735E-4,4.245063898137396E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03914800800069029,
10.0,1.9404410916856862,6.284048786526409,1.0088279455846692,0.0,0.10649407404719385,0.1404333875626526,0.3752686056312909,4.2060815337896474E-4,4.243062343970766E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00871182654761771,
11.0,2.2960996963899203,7.25588590763475,1.1097534232254722,0.0,0.1100149701057567,0.12215508411852802,0.38742778895106067,4.194758296749107E-4,4.2427192281422043E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01629732502022792,
12.0,2.133283085612182,7.291174393686507,1.0449425073014964,0.0,0.1559187021518399,0.14954176350995094,0.38229430044315554,4.194479573872405E-4,4.244265389176049E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024764630150294217,
13.0,2.2616408006512128,6.969644299058748,1.2184807995224045,0.0,0.17223060116773029,0.09359940319031658,0.38635069985256415,4.2060904694050884E-4,4.2444061834780216E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02212572523820173,
14.0,2.211177385700607,6.936511379242803,1.2326439397311182,0.0,0.13144985475401552,0.08751627973207396,0.3848409229657918,4.205087775351102E-4,4.244103496465364E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018066482526470713,
15.0,2.0434595423155164,6.389080625529455,1.463436239461109,0.0,0.14107437621026028,0.08492125690668557,0.3788976445956502,4.198850136701168E-4,4.244230980882829E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021893025488846182,
16.0,2.0266149782189737,6.63742496265661,1.5775713077332725,0.0,0.13568163567740552,0.057740316357331414,0.37829007187452607,4.20632100043903E-4,4.2444779915081925E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014271620187266172,
17.0,2.019313173346896,7.31887963411302,1.5228686066729438,0.0,0.1089115593649205,0.06646031674615373,0.3782448514403851,4.2008202599511986E-4,4.2436196067659383E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007062377488897672,
18.0,2.3072926008874433,6.761602145456287,1.654550860401219,0.0,0.017463403122594683,0.06032957327872301,0.3879975855837882,4.204776906430568E-4,4.244930113187847E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01803885742669197,
19.0,2.28829081976809,7.192618788101205,1.702594137681255,0.0,0.0026944351042918714,0.047760269707454645,0.3871388043880462,4.20246774126749E-4,4.244345608733871E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007252846485404122,
20.0,2.260030882092724,7.221455143438389,1.4916025105213029,0.0,0.024981804232135075,0.054406084040906376,0.38632178233271564,4.195298267959239E-4,4.2445604705108496E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00700666037993199,
