"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,13.56281466862245,4.588654064075994,0.3661221580450351,0.0,0.9214720098098972,0.4822517767677975,0.16369910096940551,0.02515672896237911,0.025202276602163176,1.5158972689028306E-4,0.005441080945837248,0.0706684451257858,0.0,0.0,0.0,0.0,0.0,0.0,2.273809636357177E-4,0.008161420110578636,0.10599883005142635,0.0,0.0,0.003698974818458917,
2.0,2.2079680894288876,6.640909525634642,3.212834827474697,0.0,1.4734304485417662,0.7809124850418375,0.06958824340626667,0.025038649274245123,0.025285979820948563,2.1659195216468035E-4,0.001898561867348749,0.05173040148703427,0.0,0.0,0.0,0.0,0.0,0.0,3.248466287787739E-4,0.0028474643182125527,0.07757488142077436,0.0,0.0,8.669238795071229E-4,
3.0,3.3386865570278697,5.5816787898896525,2.9618092388614445,0.0,1.4238801172560653,0.6517284023999879,0.07477683804004225,0.025164758102390817,0.025230685387626246,1.7695593155724808E-4,0.0017330742448477324,0.01597066095853836,0.0,0.0,0.0,0.0,0.0,0.0,2.653807469947929E-4,0.0025990615715385376,0.023946625298285517,0.0,0.0,2.9044035646328027E-4,
4.0,5.8198392216391825,4.385508816330234,4.168215487918882,0.0,1.515367694599056,1.0196653541394036,0.08693348443154007,0.025133009614462336,0.025146722961226275,2.3268544751826257E-4,0.00269949787198069,0.00953174397956048,0.0,0.0,0.0,0.0,0.0,0.0,3.490140121496717E-4,0.00404907013575098,0.01429663113395648,0.0,0.0,1.0812931918313922E-4,
5.0,5.454340375205841,5.307671615386696,2.2471473820200347,0.0,1.354193639717993,0.839017060101631,0.0850000324081334,0.025137418265840587,0.025215937710847236,1.6415405451858256E-4,0.0020696492546140597,0.005516328980969404,0.0,0.0,0.0,0.0,0.0,0.0,2.462223938491905E-4,0.003104353876395755,0.008274050211358347,0.0,0.0,4.072110589554005E-5,
6.0,6.112336629341037,5.191361126629741,2.9136892184992864,0.0,1.447226873447464,0.6780989840390231,0.08858142960497976,0.02510651491247756,0.025218513804843173,1.3828721328923253E-4,0.00183853888781169,0.007018902617843837,0.0,0.0,0.0,0.0,0.0,0.0,2.0742141020083102E-4,0.0027576699205169356,0.010527570717316897,0.0,0.0,4.5940768278137496E-5,
7.0,5.270281139375065,5.611397423475504,3.279919648397852,0.0,1.3305898291806684,0.6014528419134058,0.08411851977684286,0.025130339787814326,0.02514965088063196,1.5093823498893414E-4,0.001961465560672888,0.011079666084399286,0.0,0.0,0.0,0.0,0.0,0.0,2.2633358075852453E-4,0.0029411450279867085,0.016610527214680305,0.0,0.0,5.929274125115408E-5,
8.0,4.988387506785592,4.91074941389315,3.4791334915597942,0.0,1.3970474534479278,0.7495825435358479,0.08265689322863488,0.02502223192870363,0.02519331776924816,1.5690575657212119E-4,0.0021100950678226756,0.009946429619527837,0.0,0.0,0.0,0.0,0.0,0.0,2.3515233734642085E-4,0.0031621446924868686,0.014900344434447679,0.0,0.0,2.7053120170282962E-5,
9.0,4.465828010648361,5.462601635919231,2.9935345360273216,0.0,1.354295330962727,0.6995717477199563,0.08008709691700165,0.025126520446222447,0.025198506404009224,1.2991700809088008E-4,0.0016478395510166237,0.006388861970010156,0.0,0.0,0.0,0.0,0.0,0.0,1.9485145206822076E-4,0.002471423329601287,0.00958137465319295,0.0,0.0,1.4296703687978025E-5,
10.0,4.006134290125777,5.313486893900095,4.253925194623135,0.0,1.4415043330004025,0.5867556035900455,0.07784093219363337,0.0251189869241936,0.025137968903763616,1.442110977665473E-4,0.0018062118060657422,0.011943963293547594,0.0,0.0,0.0,0.0,0.0,0.0,2.162085429482814E-4,0.0027078437417800577,0.017901472543911435,0.0,0.0,2.9796620824350892E-5,
