"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.005996312316701286,2.63170780948529,0.0650255673562002,0.0,0.4158373549927066,0.12362329781218004,4.079950071013133,8.236538825823886E-4,8.241479097229648E-4,2.7021512948028602E-8,0.1763232335248939,0.5549115775241654,0.0,0.0,0.0,0.0,0.0,0.0,1.2372625423810527E-8,0.013651621889101344,0.03545965728205141,0.0,0.0,0.0015212491810776664,
2.0,0.006176329902326873,3.19124031617695,0.05543506957083818,0.0,0.30878675475892803,0.17363301820722246,3.7234805192129294,8.133351813012144E-4,8.240955330565858E-4,3.143788070149022E-8,0.1672057828882424,0.672650902572792,0.0,0.0,0.0,0.0,0.0,0.0,1.2715401634203725E-8,0.01357259909166315,0.04392903359124024,0.0,0.0,0.0013011795069519305,
3.0,0.005287979168874111,2.792873103627659,0.05545433590455688,0.0,0.31477791158764284,0.14985995908709993,3.652406220756688,8.187971748753051E-4,8.241503533542419E-4,3.565812671952281E-8,0.20502232456711375,0.6222015411888194,0.0,0.0,0.0,0.0,0.0,0.0,1.3784509001366431E-8,0.01590602514175006,0.041949972790765,0.0,0.0,0.0019105339537762338,
4.0,0.0050206804581630435,2.6821596103314773,0.05499295228726361,0.0,0.26718919074371245,0.15551760115522023,3.630924271207558,8.169671615153158E-4,8.241469814267401E-4,2.5217831426720793E-8,0.1870627735650448,0.5059090290431338,0.0,0.0,0.0,0.0,0.0,0.0,1.0821329262881893E-8,0.013214039641605977,0.03242415577576697,0.0,0.0,0.0018960783898412674,
5.0,0.0047690637121066476,3.217928901706579,0.05796155611689473,0.0,0.2941807537384922,0.1275464392401728,3.6198615408401777,8.164667628316754E-4,8.241403437133968E-4,2.2814495047275414E-8,0.1552700897713866,0.39673933305914466,0.0,0.0,0.0,0.0,0.0,0.0,1.007914354754551E-8,0.011531930085234435,0.027557123431991074,0.0,0.0,0.0015099077689756494,
6.0,0.005134370746569512,2.5323503485932264,0.05069820081712851,0.0,0.20590367475141225,0.11347277415594963,3.6397508458648935,8.19213639425076E-4,8.241440456558618E-4,2.129536720001394E-8,0.15219507435844604,0.41023785712879285,0.0,0.0,0.0,0.0,0.0,0.0,9.327561240635257E-9,0.010921482659361142,0.027687960783848976,0.0,0.0,0.001286109838155903,
7.0,0.005642618472093851,3.5787321223774584,0.04059122604111082,0.0,0.23031727788646944,0.15117502051416717,3.669838598455623,8.173744937944945E-4,8.24126294572929E-4,2.9570960035115595E-8,0.14263988256374502,0.40023242321243907,0.0,0.0,0.0,0.0,0.0,0.0,9.534263879438394E-9,0.010599186924501411,0.027559211790834554,0.0,0.0,9.525809732111802E-4,
8.0,0.005084570984370922,3.306879592480366,0.039504070161594955,0.0,0.2171460866318378,0.12369971404949481,3.634789159436457,8.174616342568878E-4,8.241306363927878E-4,5.0801208467212904E-8,0.1319448282555883,0.3265368987241821,0.0,0.0,0.0,0.0,0.0,0.0,1.1810251385706713E-8,0.011779335268255753,0.028303312042580943,0.0,0.0,8.431350858958242E-4,
9.0,0.004876805054394829,3.386691355606664,0.04227459735691685,0.0,0.22280666708398994,0.10127745315866542,3.619839007760278,8.180809784610713E-4,8.241179820555379E-4,1.8828753914032178E-8,0.1330755059913711,0.29462690814440695,0.0,0.0,0.0,0.0,0.0,0.0,7.359095285900711E-9,0.009425002082325723,0.020785701076294454,0.0,0.0,6.947943211209597E-4,
10.0,0.005457851786656199,3.6117714578870266,0.043400174826139865,0.0,0.22684802064643544,0.11404531918828845,3.6611140409214937,8.177856067532439E-4,8.241159419543089E-4,3.189091174787581E-8,0.1421201341894141,0.35577579866122183,0.0,0.0,0.0,0.0,0.0,0.0,8.949015969529328E-9,0.010367568469495545,0.025842491459389553,0.0,0.0,5.413692450237969E-4,
11.0,0.005175800158251712,3.4156102855817068,0.057127877681758234,0.0,0.25828642725200485,0.13606786249179884,3.647099122615226,8.159212218302379E-4,8.241406706700092E-4,1.367858084501636E-8,0.10494234926150708,0.2970142141763027,0.0,0.0,0.0,0.0,0.0,0.0,6.20568309853078E-9,0.007124297099016243,0.01939843046447095,0.0,0.0,4.7169095879669924E-4,
12.0,0.004309710064978592,4.006121507298434,0.055493252776399826,0.0,0.21330709417199537,0.1293846870160743,3.5863706001453255,8.148082982466274E-4,8.241308462787213E-4,1.8605602964305665E-8,0.12215859484089776,0.28106422708388906,0.0,0.0,0.0,0.0,0.0,0.0,6.815269236928464E-9,0.00805499309504897,0.018747078783823985,0.0,0.0,4.222620681232644E-4,
13.0,0.005037898569432391,3.43248514928518,0.06350692824444595,0.0,0.2538291276260654,0.10114554067193403,3.633117722752377,8.150763021981432E-4,8.241319472519815E-4,2.2296719715396934E-8,0.1274381716238322,0.3024768069210059,0.0,0.0,0.0,0.0,0.0,0.0,6.986175791537999E-9,0.008651675880646928,0.020662988871172617,0.0,0.0,4.360982718150316E-4,
14.0,0.005041768391084282,3.0626078263488354,0.06907648938522509,0.0,0.31173153031425804,0.1403539520133384,3.634046898345654,8.163746561744143E-4,8.241604055914132E-4,3.271744527865498E-8,0.08633640244083776,0.2522057165504329,0.0,0.0,0.0,0.0,0.0,0.0,8.61052882778906E-9,0.0074363070255955305,0.02095536006261854,0.0,0.0,3.6805023521187984E-4,
15.0,0.005634659715282207,3.29611557828491,0.08845390957409266,0.0,0.2871094055670213,0.15433100597550667,3.6765977040647932,8.17854293420086E-4,8.241529846818255E-4,1.9863863211072952E-8,0.0771555792637852,0.2018086316029955,0.0,0.0,0.0,0.0,0.0,0.0,6.1829209682141534E-9,0.006226388080768069,0.015811885677339838,0.0,0.0,3.0775075908935466E-4,
16.0,0.0051765163454774105,3.898355580574376,0.07876723708698097,0.0,0.27041233156948696,0.14441176569880704,3.6420823647613383,8.171387120283325E-4,8.241383008026902E-4,1.6725691744097676E-8,0.06846269094114406,0.1912817415002614,0.0,0.0,0.0,0.0,0.0,0.0,5.6263067470345885E-9,0.005553313283887818,0.014756585043585378,0.0,0.0,2.5236565025621026E-4,
