"Distribution of the biomass (tonne) of prey species (in columns) in the diet of sole by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.74860775,9.205466E-7,0.008624515,7.755222E-5,3.0366266E-7,0.62787104,3.9720235E-5,5.902444,0.0030092243,0.019813716,0.0,0.038161047,23.509144,2.423444,0.0,0.0,0.0,0.0,0.008120615,0.943355,0.3901244,249.86275,88.184525,186.1095,0.0,0.0
1.0,1.0,0.0,0.5184731,0.0,0.0,0.0,0.0,3.49105,0.0,43.803204,0.0,0.0,0.0,0.0,15.60913,28.893377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.96497,151.38307,961.82983,0.0,0.0
1.0,2.0,0.0,2.335659,0.0,0.0,0.0,0.0,1.7730073,0.0,31.747501,0.0,0.0,0.0,0.0,3.7105012,12.304078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.40451,44.023933,505.96036,0.0,0.0
1.0,3.0,0.0,1.5368491,0.0,0.0,0.0,0.0,6.8542347,0.0,23.492458,0.0,0.0,0.0,0.0,4.484237,10.371475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.30122,22.757427,276.94827,0.0,0.0
1.0,4.0,0.0,2.9022975,0.0,0.0,0.0,0.0,6.342336,0.0,8.898917,0.0,0.0,0.0,0.0,1.2946543,8.074252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.495434,14.252777,186.59732,0.0,0.0
1.0,5.0,0.0,1.6581657,0.0,0.0,0.0,0.0,4.136699,0.0,5.9506564,0.0,0.0,0.0,0.0,1.4526894,7.1239314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.865402,9.403057,132.2604,0.0,0.0
1.0,6.0,0.0,2.5538528,0.0,0.0,0.0,0.0,3.0337985,0.0,9.4178095,0.0,0.0,0.0,0.0,1.0457534,2.390075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.649288,7.1471243,107.56367,0.0,0.0
1.0,7.0,0.0,2.1863787,0.0,0.0,0.0,0.0,3.9573905,0.0,8.351955,0.0,0.0,0.0,0.0,1.5009552,2.2604096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1882715,5.6014957,84.50874,0.0,0.0
1.0,8.0,0.0,1.4380071,0.0,0.0,0.0,0.0,2.9770658,0.0,5.77537,0.0,0.0,0.0,0.0,0.6666001,1.4486957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.816726,4.3387885,67.283394,0.0,0.0
1.0,9.0,0.0,1.6546891,0.0,0.0,0.0,0.0,1.9695789,0.0,4.497852,0.0,0.0,0.0,0.0,0.22277567,3.380881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.684163,3.2666724,52.61823,0.0,0.0
1.0,10.0,0.0,2.4932117,0.0,0.0,0.0,0.0,2.1188555,0.0,2.0571942,0.0,0.0,0.0,0.0,0.50311756,0.9764196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0912204,2.5627143,43.20791,0.0,0.0
1.0,11.0,0.0,0.4400752,0.0,0.0,0.0,0.0,2.3080294,0.0,4.759225,0.0,0.0,0.0,0.0,0.3393147,0.76830244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.495043,2.1582823,36.727917,0.0,0.0
1.0,12.0,0.0,1.5920798,0.0,0.0,0.0,0.0,1.8583387,0.0,3.1060092,0.0,0.0,0.0,0.0,0.2188485,0.7155125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1273775,1.9884593,32.15086,0.0,0.0
1.0,13.0,0.0,1.3225254,0.0,0.0,0.0,0.0,1.6128763,0.0,2.9464974,0.0,0.0,0.0,0.0,0.37477484,1.8243095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.007812,1.5596561,27.161598,0.0,0.0
1.0,14.0,0.0,0.2684345,0.0,0.0,0.0,0.0,1.8004712,0.0,1.3664622,0.0,0.0,0.0,0.0,0.18741608,0.38553587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076543,1.6402781,25.748013,0.0,0.0
1.0,15.0,0.0,1.3310173,0.0,0.0,0.0,0.0,1.2349517,0.0,1.7335105,0.0,0.0,0.0,0.0,0.36729547,0.6548956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3646069,1.3295428,21.238768,0.0,0.0
1.0,16.0,0.0,0.5964493,0.0,0.0,0.0,0.0,1.1721263,0.0,0.84167814,0.0,0.0,0.0,0.0,0.16738471,0.20854911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1417093,1.2100677,19.33323,0.0,0.0
1.0,17.0,0.0,0.21120916,0.0,0.0,0.0,0.0,0.8743525,0.0,1.5019041,0.0,0.0,0.0,0.0,0.28204754,0.34392947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3309345,0.9437771,16.055933,0.0,0.0
1.0,18.0,0.0,0.16057758,0.0,0.0,0.0,0.0,0.4897452,0.0,1.0257472,0.0,0.0,0.0,0.0,0.13772902,0.2848956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161897,0.8322776,14.548591,0.0,0.0
1.0,19.0,0.0,0.9156611,0.0,0.0,0.0,0.0,0.36044255,0.0,0.94832236,0.0,0.0,0.0,0.0,0.056547835,0.45461664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7871469,0.71257937,12.4393215,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.5440649,4.417785E-6,0.019326478,2.7474347E-5,8.257122E-7,0.17729591,5.0388276E-6,0.29656103,0.007968006,0.027935162,0.0,0.009408413,1.0694222,0.13078174,0.0,0.0,0.0,0.0,0.0065136994,0.87054604,0.25770947,96.684395,29.376228,72.51082,0.0,0.0
2.0,1.0,0.0,3.8451872,0.0,0.0,0.0,0.0,1.7973619,0.0,2.1395905,0.0,0.0,0.0,0.0,8.834007,4.8925385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.12386,57.65179,369.3441,0.0,0.0
2.0,2.0,0.0,19.047283,0.0,0.0,0.0,0.0,1.9794928,0.0,5.1802154,0.0,0.0,0.0,0.0,2.3861353,41.4395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.37616,85.45235,651.5869,0.0,0.0
2.0,3.0,0.0,8.186485,0.0,0.0,0.0,0.0,3.6911483,0.0,2.9762602,0.0,0.0,0.0,0.0,3.1396253,19.800985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.625374,26.841696,251.68669,0.0,0.0
2.0,4.0,0.0,5.9150524,0.0,0.0,0.0,0.0,3.2076912,0.0,1.9348001,0.0,0.0,0.0,0.0,0.79769117,9.512393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.868244,13.051299,145.79654,0.0,0.0
2.0,5.0,0.0,2.4375422,0.0,0.0,0.0,0.0,3.933679,0.0,2.489822,0.0,0.0,0.0,0.0,0.8828709,5.080056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67715,8.572394,99.06747,0.0,0.0
