"Distribution of the biomass (tonne) of prey species (in columns) in the diet of thornbackRay by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.40094995,6.858586E-4,1.2054198,0.041365057,5.6904842E-5,0.8552873,8.6673326E-4,0.44362992,0.03644956,1.1395514,0.09858227,1.1264082,0.92912,0.658445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91731685,0.23751286,2.8230066,4.7042975,0.0
1.0,1.0,0.0,0.24355774,4.997128E-4,0.9521698,0.12713408,4.647982E-6,0.48930004,5.105439E-4,0.31488937,0.03914053,0.58018804,0.11389229,0.91247404,1.6694032,0.52499604,1.08972126E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.2458037,0.068892226,0.844355,4.951175,1.3694493
1.0,2.0,0.0,0.26609984,0.0024869882,0.8579126,0.29931906,2.4409816E-4,0.710329,9.252608E-4,0.43186465,0.43949822,0.4747027,0.67669296,1.6017516,2.0599432,0.91973704,0.0015310991,0.0,0.0,0.0,0.0,0.0,0.0,0.18453293,0.066212736,0.8693593,5.372808,5.1048837
1.0,3.0,0.0,0.34243104,0.105039425,1.8652434,0.4800858,0.017149536,1.0595174,0.0069868956,0.96761024,0.99143404,0.84918994,0.8070822,3.4039903,3.0319178,0.95965904,0.005337296,0.0,0.0,0.0,0.0,0.0,0.0,0.19733277,0.085938394,1.1707224,6.958044,7.0591702
1.0,4.0,0.0,0.5710051,0.5683906,2.008077,0.6397441,0.061703276,1.0487721,0.2987128,1.0348796,1.920562,1.7390121,1.4137566,4.5121536,2.735376,1.2732319,0.009348645,0.0,0.0,0.0,0.0,0.0,0.0,0.20032625,0.108857945,1.424641,8.54609,8.659752
1.0,5.0,0.0,0.99827707,0.86493343,2.064394,0.7821355,0.07988349,1.1490113,0.4778681,1.3235661,2.7872977,2.374882,2.3773608,5.988776,4.100293,1.6484643,0.0084204525,0.0,0.0,0.0,0.0,0.0,0.0,0.14969908,0.10717704,1.4703028,8.691402,8.820825
1.0,6.0,0.0,0.8432425,1.1445729,3.244869,0.8859714,0.057912964,1.3308283,0.6209577,1.411114,3.347978,2.6193035,2.9841769,6.816758,4.649455,1.9385327,0.011038292,0.0,0.0,0.0,0.0,0.0,0.0,0.12140777,0.12102361,1.6735288,9.63671,9.761186
1.0,7.0,0.0,0.7023385,1.4135896,4.351147,0.82531226,0.07496381,1.5779864,0.76972604,1.3821326,3.9257815,3.2292895,3.433804,8.179688,5.549041,2.1465786,0.013273411,0.0,0.0,0.0,0.0,0.0,0.0,0.07437401,0.1099544,1.5668141,9.455233,9.578737
1.0,8.0,0.0,0.94891787,1.7840348,5.253451,0.7106612,0.09842064,1.643431,0.94858253,1.4986024,4.105559,3.8023872,4.378351,9.148893,5.196213,2.3116758,0.013917966,0.0,0.0,0.0,0.0,0.0,0.0,0.034395713,0.09867629,1.5055823,9.036313,9.172658
1.0,9.0,0.0,0.81234664,1.7164689,4.93004,0.6969591,0.08691791,1.9452507,0.8604597,1.8916507,4.2043695,3.5618033,4.6369967,8.679707,6.825173,2.9348304,0.014212764,0.0,0.0,0.0,0.0,0.0,0.0,0.0067894063,0.097434126,1.4839712,8.997032,9.136683
