"Distribution of the biomass (tonne) of prey species (in columns) in the diet of whiting by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.07193874,303.00055,0.21205801,10742.671,4.67557,0.040368214,1162.7708,0.0150320465,509.67752,80.33463,1320.889,14.559611,9980.394,1498.8452,135.3851,0.0,0.0,0.0,0.0,0.0,2589.7607,3018.8735,350.1675,81.8099,616.98175,385.14734,129.035
1.0,1.0,1.5937043,125.55777,13.283196,857.2266,19.508083,1.0938706,148.48627,4.5573626,209.71326,140.51732,228.39719,92.55675,552.04333,165.69482,66.14957,0.0,0.0,0.0,0.0,0.0,0.039608058,70.450615,0.036588654,2.559138,74.18111,443.94278,453.48035
1.0,2.0,1.450266,39.29261,8.610457,212.56195,12.29015,1.3963038,76.5087,7.776737,57.513214,102.187965,85.58312,77.851295,149.88885,97.080826,30.721418,0.0,0.0,0.0,0.0,0.0,0.0,23.771332,0.0,0.804947,25.52686,164.76038,167.77318
1.0,3.0,0.776502,15.838178,13.6419115,110.58733,6.106485,1.5444367,42.235554,12.09972,29.31867,68.66202,54.119213,56.11639,128.12271,57.75971,24.607317,0.0,0.0,0.0,0.0,0.0,0.0,10.040204,0.0,0.3483504,12.23067,80.84245,82.17831
1.0,4.0,0.41971713,11.189503,13.2269,78.619514,3.9451067,0.7562703,31.582743,9.154408,18.805597,53.76278,36.52844,40.894135,75.53508,36.78382,13.932878,0.0,0.0,0.0,0.0,0.0,0.0,6.025449,0.0,0.19385007,7.6181583,50.837578,51.737137
1.0,5.0,0.6595082,6.658693,8.418752,59.717724,2.493318,1.149746,17.311327,7.01684,11.593414,32.30087,30.48332,33.773647,56.903778,28.741106,9.964922,0.0,0.0,0.0,0.0,0.0,0.0,3.631829,0.0,0.11331901,4.7356367,32.64293,33.2556
1.0,6.0,0.38751167,5.0837226,7.2324305,44.620823,1.5647215,0.86216277,14.687767,5.5678096,8.401346,25.368025,26.426508,26.602608,52.751476,22.40079,7.937458,0.0,0.0,0.0,0.0,0.0,0.0,2.6468296,0.0,0.08865149,3.7308214,25.10175,25.512562
1.0,7.0,0.2484758,3.4755585,5.6334653,37.9339,1.380686,0.5102366,12.511848,3.8980622,6.801069,20.4516,16.630714,21.007854,45.159622,17.532856,5.920609,0.0,0.0,0.0,0.0,0.0,0.0,1.9372795,0.0,0.06798205,2.9165206,19.02473,19.363619
1.0,8.0,0.37682128,5.435924,4.1955924,26.999493,1.15407,0.3812172,8.445701,3.204801,5.9520645,16.792086,15.393177,15.588347,34.34212,11.134539,4.110961,0.0,0.0,0.0,0.0,0.0,0.0,1.6530108,0.0,0.05919317,2.4799466,15.747319,15.992656
1.0,9.0,0.09884151,1.7753788,2.4686365,23.201443,0.992271,0.28288227,7.7212653,1.9102273,3.9796677,12.85498,10.872082,14.656051,25.674479,10.808288,3.6779628,0.0,0.0,0.0,0.0,0.0,0.0,1.2246659,0.0,0.045542248,1.8816524,11.838036,12.01404
1.0,10.0,0.13759287,1.3540928,2.4113202,17.222687,0.6721005,0.17673472,6.661929,2.0287313,3.3161523,10.720759,8.688289,10.767463,22.372385,9.222008,3.3668535,0.0,0.0,0.0,0.0,0.0,0.0,0.9696793,0.0,0.033611897,1.4933034,9.845973,9.999786
1.0,11.0,0.12486528,1.116053,2.656617,13.880782,0.7929168,0.23683488,7.3094378,1.512156,3.2095482,11.629467,6.6791353,7.4830647,18.121294,7.7066164,4.2040825,0.0,0.0,0.0,0.0,0.0,0.0,0.9164916,0.0,0.031202095,1.3400252,9.136627,9.293323
1.0,12.0,0.10043999,3.0185378,2.1304057,13.879124,0.52310073,0.23082022,4.451813,1.7296134,3.0244367,9.129925,9.404937,8.908492,12.895486,6.343131,2.1705697,0.0,0.0,0.0,0.0,0.0,0.0,0.7243492,0.0,0.0257498,1.171871,7.476285,7.5911202
1.0,13.0,0.1087784,1.5201911,2.1147587,15.26049,0.4417036,0.15954435,4.6587977,1.195554,2.7434192,7.2956557,6.097028,7.4051285,9.377491,6.30814,2.3152723,0.0,0.0,0.0,0.0,0.0,0.0,0.7682588,0.0,0.025880601,1.0824753,7.4144816,7.5378904
1.0,14.0,0.061282553,2.187603,1.7605944,12.420636,0.44659188,0.17622545,3.2194395,1.031063,2.8667867,5.919678,5.9767084,6.3505406,9.497374,5.195574,2.2454665,0.0,0.0,0.0,0.0,0.0,0.0,0.65241855,0.0,0.024462674,1.0091497,6.455374,6.5630355
1.0,15.0,0.050737873,0.9617876,1.336983,8.556518,0.40510494,0.1350791,3.4801445,0.87288916,1.8177364,5.6081023,5.1312613,7.542054,9.559253,5.0256705,2.1766098,0.0,0.0,0.0,0.0,0.0,0.0,0.56991583,0.0,0.02198778,0.8880758,5.5536637,5.634543
1.0,16.0,0.06355187,1.6375164,1.2868776,9.894767,0.3628678,0.15172145,2.7946768,0.90013605,1.8130916,4.6853514,4.747554,5.2652764,10.103527,3.3268318,1.249875,0.0,0.0,0.0,0.0,0.0,0.0,0.40913317,0.0,0.014154977,0.63510203,4.1664343,4.2295604
1.0,17.0,0.06618868,0.9323393,1.1369158,8.597219,0.24759415,0.11815633,2.8552547,0.8775593,1.5244695,4.698829,4.467098,4.435652,7.9180193,3.2525694,1.3280228,0.0,0.0,0.0,0.0,0.0,0.0,0.36838213,0.0,0.012731458,0.5665856,3.7724524,3.821752
1.0,18.0,0.04440921,0.8683955,0.9777992,6.9345202,0.24764846,0.08902519,1.9586265,0.82619166,1.6316187,3.6665308,3.579522,4.0658946,8.148345,3.107572,0.81151336,0.0,0.0,0.0,0.0,0.0,0.0,0.3553864,0.0,0.0126412865,0.5341313,3.5639713,3.6106849
1.0,19.0,0.060946926,0.48227057,0.8927675,8.2890005,0.19372204,0.049222633,1.8009379,0.70788926,1.0983075,3.5591724,2.678828,3.6381054,5.562456,2.7196705,0.9405995,0.0,0.0,0.0,0.0,0.0,0.0,0.3241687,0.0,0.010698913,0.45310903,3.1449947,3.1997247
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,237.48958,0.16718166,4937.401,0.17688157,0.051424146,316.00848,0.009458063,290.90427,11.121456,2231.46,0.1466871,8018.1885,838.09753,36.65817,0.0,0.0,0.0,0.0,0.0,1538.2129,2357.9924,226.23436,67.85229,582.6776,591.3224,0.0696387
2.0,1.0,0.50820965,1851.7062,7.1027784,11901.637,11.90856,0.07978816,1658.0768,2.1191006,2305.7124,111.27185,9256.11,73.02417,7083.7095,1236.3442,1029.0787,0.0,0.0,0.0,0.0,0.0,1359.0448,2316.5425,232.91093,85.60831,1181.5736,3558.2869,279.06833
2.0,2.0,0.89614785,59.52359,4.354436,913.3939,11.8873005,0.03232608,98.59009,6.2126427,84.043945,76.245705,367.2898,101.49605,310.6624,294.8588,232.16609,0.0,0.0,0.0,0.0,0.0,0.6924465,57.83237,0.29083955,2.1408012,55.29963,348.00192,356.15118
2.0,3.0,0.18268275,13.790203,1.9477435,227.68036,3.210797,0.0145879565,26.60964,2.335535,23.425484,35.34338,101.70734,53.843018,110.65671,94.42542,66.32181,0.0,0.0,0.0,0.0,0.0,0.0,11.846847,0.0,0.44149485,13.325416,88.301506,91.84076
2.0,4.0,0.14384383,8.612258,2.126873,116.27314,1.43085,0.016901957,15.961258,2.4764457,14.558705,25.041897,50.846783,30.59256,72.66077,45.705303,34.741722,0.0,0.0,0.0,0.0,0.0,0.0,5.128684,0.0,0.18140076,6.479706,42.99188,44.771187
2.0,5.0,0.110607445,5.9767246,1.6056374,72.68991,1.0858413,0.05334117,10.161763,1.9177395,9.782869,20.464506,32.464294,19.213486,44.544693,29.298979,20.13057,0.0,0.0,0.0,0.0,0.0,0.0,3.2042594,0.0,0.11553639,4.126208,27.555647,28.600441
2.0,6.0,0.05680441,3.363025,1.3257385,48.080875,0.49050972,0.02177259,7.4599233,1.4430048,5.8108277,14.123943,23.397345,14.9887085,28.880014,22.59571,15.185187,0.0,0.0,0.0,0.0,0.0,0.0,2.0399973,0.0,0.073719576,2.7576866,18.115927,18.80454
