"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,4.205588,3.5483527,3.9797058,4.3456664,NaN,4.415926,NaN,3.4810627,3.6969385,3.8251066,3.969621,3.583753,3.522456,4.163793,4.1618533,4.402488
2.0,4.309447,3.5327327,4.067015,4.2784863,NaN,4.565275,NaN,3.4588058,3.748216,3.8803196,4.0233727,3.653685,3.5486774,4.003378,4.19572,4.4779143
3.0,4.282957,3.6241739,3.9874125,4.26965,NaN,4.587664,NaN,3.5398998,3.7805912,3.903856,4.0144563,3.6181357,3.5086164,4.0003705,4.209102,4.3859663
4.0,4.290776,3.6068108,3.9555268,4.248853,NaN,4.6324396,NaN,3.536627,3.8164172,3.9631002,3.9761722,3.691496,3.462816,4.050971,4.1254177,4.357605
5.0,4.313895,3.613952,3.9635787,4.2692595,NaN,4.643331,NaN,3.57271,3.797635,3.9865594,3.9466488,3.6591334,3.4176896,3.9879692,4.0823765,4.353368
6.0,4.296823,3.6080792,3.9096327,4.2233286,NaN,4.6709704,NaN,3.5929146,3.7837477,3.9075544,3.8636854,3.5927787,3.423177,3.9898438,4.1594768,4.351054
7.0,4.313649,3.6808312,3.9458852,4.2653217,NaN,4.7162743,NaN,3.6473117,3.8279176,3.976635,3.8890977,3.6305864,3.4349973,4.005336,4.116783,4.373242
8.0,4.319194,3.6923406,3.88141,4.2831397,NaN,4.732384,NaN,3.6159275,3.8212433,3.9541912,3.9061096,3.5489798,3.4219754,4.0122995,4.1025662,4.376897
9.0,4.317039,3.678868,3.9129834,4.2429447,NaN,4.746528,NaN,3.638607,3.8565843,3.949237,3.915363,3.5871618,3.419725,3.9654624,4.0887437,4.403767
10.0,4.286062,3.6901112,3.8937583,4.2685556,NaN,4.7713075,NaN,3.6344733,3.8466804,3.8952239,3.9323244,3.6003778,3.4400823,4.0655327,4.114405,4.4193835
11.0,4.293365,3.6314995,3.9676127,4.29147,NaN,4.775019,NaN,3.6489077,3.8707473,3.9376888,3.9202952,3.6647208,3.4476175,4.079822,4.0634985,4.43317
12.0,4.289776,3.6335166,3.9349468,4.2925076,NaN,4.7630696,NaN,3.6102302,3.8543308,3.9316714,3.9368725,3.6095984,3.4428232,4.129907,4.117108,4.438999
13.0,4.310294,3.6434567,3.9578218,4.3046026,NaN,4.7518215,NaN,3.6467183,3.8651688,3.9765055,3.9716778,3.6003623,3.4433057,3.9214315,4.1258636,4.4398565
14.0,4.308081,3.6017768,3.958352,4.285866,NaN,4.774395,NaN,3.6098816,3.864335,3.9077148,3.9262552,3.6468217,3.4394324,4.037181,4.1255975,4.4434786
15.0,4.2922225,3.6182857,3.9428394,4.273111,NaN,4.743913,NaN,3.6152341,3.8463364,3.9480162,3.9906948,3.6040094,3.4524796,3.8585773,4.1330957,4.4342895
16.0,4.274881,3.62974,3.9175115,4.262719,NaN,4.7765665,NaN,3.6122627,3.8506877,3.8239748,3.9375806,3.566266,3.4484463,3.9649093,4.1107216,4.4439797
17.0,4.2921433,3.6385908,3.903208,4.2566442,NaN,4.766853,NaN,3.6165807,3.876608,3.925037,3.9753988,3.6516645,3.449113,3.9085636,4.10582,4.452384
18.0,4.2671337,3.6481411,3.884975,4.27176,NaN,4.766176,NaN,3.6167889,3.8948755,3.9051468,3.9494324,3.6709814,3.4276402,4.06171,4.116509,4.457309
19.0,4.2644196,3.6620138,3.898444,4.268863,NaN,4.75353,NaN,3.6269941,3.9184475,3.9761465,3.9742053,3.620673,3.435811,3.8655574,4.1092734,4.4482803
20.0,4.2478538,3.6439662,3.8580668,4.285434,NaN,4.744971,NaN,3.6578915,3.9016829,3.9421299,3.9839349,3.6479177,3.4265065,3.9532852,4.07345,4.4549017
