"Mean trophic level of fish species by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,NaN,3.6182818,3.3667133,3.6544404,3.3266761,3.4898674,3.6914065,3.3755355,3.6438954,3.3746378,3.3701406,3.195333,3.1389508,3.4486048,3.7603898,NaN
1.0,5.0,3.0031674,3.7509654,3.5402842,3.987545,3.40104,3.862213,3.8595946,3.57514,3.756648,3.5580847,3.5698018,3.176233,3.216228,3.571641,3.7494948,NaN
1.0,10.0,3.598954,3.8011465,3.7896638,4.4016256,3.5029516,3.6068497,3.824901,3.8010945,3.49663,3.4919457,3.8004603,3.2735841,3.3455603,3.7377672,3.8189912,3.8336024
1.0,15.0,3.8308682,3.7962642,3.6533837,3.975013,3.7275658,3.792724,3.7760863,3.7324615,3.6405108,3.7652166,3.5125093,3.4504054,3.4870389,4.0427957,3.3517165,3.9140644
1.0,20.0,4.118703,3.6054168,3.9729033,4.1606135,3.373055,4.245004,3.5412292,3.5546722,3.7106848,3.8401506,3.743465,3.566117,3.5541112,4.0920734,3.6333833,4.051919
1.0,25.0,4.0572395,3.4975574,4.0285616,4.417342,NaN,4.432968,3.4919631,3.4190257,3.7980423,3.8076143,4.0062838,3.596665,NaN,3.982345,3.844205,3.8635764
1.0,30.0,3.95852,3.4850264,3.9853203,4.386006,NaN,4.21431,NaN,3.4629838,3.8896174,3.8047183,4.107839,3.625353,NaN,4.3267584,NaN,4.168688
1.0,35.0,4.104664,3.4902756,NaN,4.460621,NaN,4.4500246,NaN,3.4906378,3.8057957,3.8547406,4.0852265,NaN,NaN,4.563157,NaN,4.1764154
1.0,40.0,4.206119,3.4875777,NaN,4.468813,NaN,4.412887,NaN,3.2333667,3.8493366,NaN,4.1338553,NaN,NaN,4.3357735,NaN,4.295719
1.0,45.0,4.2160826,3.5365937,NaN,NaN,NaN,4.532698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1861506
1.0,50.0,4.2755694,NaN,NaN,NaN,NaN,4.569182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.317913
1.0,55.0,4.295555,NaN,NaN,NaN,NaN,4.570864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3037963
1.0,60.0,4.2788143,NaN,NaN,NaN,NaN,4.509858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3063827
1.0,65.0,NaN,NaN,NaN,NaN,NaN,4.695194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3451147
1.0,70.0,NaN,NaN,NaN,NaN,NaN,4.6769485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3712893
1.0,75.0,NaN,NaN,NaN,NaN,NaN,4.6466923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4271083
1.0,80.0,NaN,NaN,NaN,NaN,NaN,4.6401434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4119377
1.0,85.0,NaN,NaN,NaN,NaN,NaN,4.6601043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4156528
1.0,90.0,NaN,NaN,NaN,NaN,NaN,4.670143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.427029
1.0,95.0,NaN,NaN,NaN,NaN,NaN,4.65272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.42962
1.0,100.0,NaN,NaN,NaN,NaN,NaN,4.681579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4397326
1.0,105.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,110.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,115.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,120.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,125.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,NaN,3.6378372,3.353145,3.5328202,3.3376727,3.3388069,3.670862,3.3240037,3.6420355,3.3854873,3.3780267,3.1434536,3.155517,3.4101255,3.8389468,NaN
2.0,5.0,3.024027,3.774682,3.5515883,3.8556573,3.3832777,3.8880763,3.8344398,3.5744002,3.7783322,3.4209914,3.6260757,3.3050556,3.239331,3.5873682,3.685891,NaN
2.0,10.0,3.5396388,3.8290899,3.861163,4.1703987,3.4948843,3.9901953,3.770304,3.8307567,3.559263,3.6101477,3.785982,3.4424148,3.348101,3.7074528,3.8325832,3.7815287
