"Biomass of prey species (in tons per time step of saving, in rows) eaten by a predator species (in col). The last column reports the biomass of prey at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","Prey","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,lesserSpottedDogfish,0.32177922,0.0,0.0,7.4163857,0.0,3.910081,0.0,0.0,0.0,0.3885998,1.4366405,0.0,0.0,1.1192874,0.00753045,0.0
1.0,redMullet,37.522915,14.206617,210.69136,492.05606,13.817773,26.375772,2.9947226,14.413967,116.967125,174.40422,305.7027,8.522416,70.07294,185.51854,127.02908,17.871775
1.0,pouting,3.343314,2.8170855E-4,0.56866276,91.29084,0.012692779,18.91189,0.001208963,2.7193257E-5,0.0011257603,4.066066,7.099616,0.041307315,0.07083196,54.115604,0.0,28.678762
1.0,whiting,85.073425,0.0,449.7902,10237.085,25.815332,105.81168,3.7364151,0.019781584,51.506413,1766.2557,2514.3472,78.86268,1700.7227,1887.5624,0.0,88.075775
1.0,poorCod,45.588154,0.0,28.461456,46.425686,2.0216057,6.278363,0.037215196,3.4221783E-4,0.082005285,204.84024,41.57514,1.2231339,3.678667,239.67941,0.0,11.335745
1.0,cod,0.7809039,0.0,0.15977141,8.720085,0.004707085,6.4669156,1.7597986E-4,7.954841E-8,0.008062067,0.8940754,1.4385146,0.26252666,0.4610647,5.3054814,0.0,2.2118359
1.0,dragonet,109.73679,44.329445,242.958,1844.8618,20.567118,34.717415,12.930061,61.48995,223.43036,595.31964,402.6445,30.398607,246.4018,838.7291,549.7779,32.182793
1.0,sole,1.246298,7.366875E-5,0.08718998,70.68894,0.00468539,17.098202,9.2773826E-4,8.496533E-6,0.013704618,1.2654595,1.2062645,0.001167258,0.038439915,0.11289943,0.039683722,16.542614
1.0,plaice,83.865585,44.91085,189.08972,1208.6487,25.236637,54.51231,30.050316,176.48912,412.56235,348.32614,194.65828,257.2013,109.73952,281.06577,113.5047,29.759058
1.0,horseMackerel,52.93393,0.0646064,11.197809,630.93555,0.37800202,55.368114,0.36189678,2.7936307E-4,0.25538975,257.54312,287.06262,1.2488102,4.473575,1626.6921,0.0,74.0464
1.0,mackerel,82.19598,15.496669,233.32146,2272.1655,15.963055,111.8366,18.9195,0.062763736,1.7418157,1266.9115,1794.4568,1402.4423,340.071,1513.8104,0.0,60.26617
1.0,herring,157.09396,0.0,24.273975,534.23486,5.331961,95.5189,0.0,0.0,1.5655286E-7,323.50446,434.5068,726.7228,9.859586,687.27045,0.0,67.246475
1.0,sardine,285.965,11.438648,209.44395,10287.751,25.42016,132.2889,23.626354,0.058379438,6.2590537,1737.7726,5607.311,1980.3165,6943.273,9330.486,0.0,136.28207
1.0,squids,495.49326,13.178071,204.18213,1502.2811,61.869587,28.803507,36.321854,69.5953,40.52113,2281.334,1401.951,861.4479,664.72046,3651.9368,10.005484,114.61202
1.0,cuttlefish,257.94138,26.055819,102.991905,317.22842,12.050159,25.009235,72.22757,128.5723,120.29063,0.0,0.0,0.0,0.0,3.6949458,777.24927,42.43342
1.0,thornbackRay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33405104,0.3353248
1.0,diatoms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4061666E-6,1.6429169E-5,0.0,0.0,0.0
1.0,microPhytoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.098535,107.874886,0.0,0.0,0.0
1.0,heterotrophicFlagellates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018154182,21.64748,0.0,0.0,0.0
1.0,microZooplankton,0.0,37.478542,0.0,0.0,0.17916943,0.0,179.38628,0.007665383,123.649,0.49340716,16.708185,631.79846,3552.7598,0.0,0.0,0.0
1.0,mesoZooplankton,2.4783652,591.1231,54.176624,2533.5017,164.85669,0.11223697,1208.1707,0.86895615,449.50107,3201.088,3230.162,861.1876,9222.196,3267.8623,0.0,0.0
1.0,Macrozoo,136.03004,215.18396,546.5072,2900.2583,325.94043,8.667531,261.35025,0.24868573,301.77518,5770.385,4730.412,3065.6814,7635.467,5947.954,0.0,0.0
1.0,meioBenthos,0.8284079,719.89777,11.631304,319.36197,50.308292,0.02319846,1660.2058,1228.5806,1010.13544,0.0,0.0,0.0,0.0,163.42596,795.4118,2.3019207
1.0,depositBenthos,6.0068583,161.11537,21.470873,80.45538,17.987965,0.3497751,345.65005,361.74268,186.48909,0.0,0.0,0.0,0.0,45.867863,174.62866,2.2788434
1.0,suspensionBenthos,114.43663,673.513,426.42688,675.709,136.6088,17.663616,759.5422,2773.8198,1628.9095,0.0,0.0,0.0,0.0,6.7884574,944.1717,32.06394
1.0,largeBenthos,726.60925,0.0,1057.9303,1243.6765,37.259804,136.36218,0.0,0.0,773.0746,0.0,0.0,0.0,0.0,0.0,1595.6326,181.0396
1.0,veryLargeBenthos,571.6847,0.0,0.0,1060.4899,0.0,98.92088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.8005,174.02824
2.0,lesserSpottedDogfish,0.037859697,0.0,0.0,1.9497638,0.0,2.2011867,0.0,0.0,0.0,1.1832912,1.3902113,0.0,0.0,2.805764E-9,0.13754039,0.0
2.0,redMullet,55.678856,59.884266,397.34445,1981.8203,91.041534,34.554043,3.1599305,63.346935,245.59012,175.42035,476.4515,7.4634957,93.25802,160.80148,333.76144,29.316315
