"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,22213.145,14845.339,27199.154,59752.98,7999.399,2091.3425,27809.086,18755.842,16676.717,150716.72,28489.164,132086.14,277425.8,427648.97,32270.744,7563.522
2.0,22982.34,32015.096,37303.477,49378.875,17094.404,2289.357,21909.031,17193.93,26046.441,191697.05,57509.062,58916.137,229994.61,401594.78,144984.06,8207.714
3.0,22717.31,36999.22,43490.62,45177.797,26787.842,3636.2659,16262.442,15581.764,33972.816,220319.1,40706.34,26449.123,185121.94,89305.01,95958.43,10029.483
4.0,22180.701,42724.055,32562.963,50011.504,45904.254,3807.6543,10760.8545,12783.899,38077.555,230505.0,22322.195,16806.031,141352.83,5952.603,100982.695,13401.788
5.0,21367.744,44543.72,30946.113,52722.875,68436.945,6214.8853,5848.164,11803.444,43866.816,212867.48,12499.119,10308.019,126761.04,14342.933,98339.15,18669.145
6.0,20162.912,49077.277,32543.723,69400.0,66516.2,7137.258,2108.7588,12716.656,50512.117,200607.72,8691.482,7581.384,137108.0,39804.92,79159.94,25897.473
7.0,18510.43,51062.535,30855.783,86107.12,60736.984,7122.448,1352.3562,13245.972,56300.812,184587.8,7149.4653,10384.095,131461.45,46586.93,84015.57,34917.7
8.0,16486.148,55876.7,31473.174,88547.64,55433.37,10161.896,1190.148,13652.655,59709.992,170796.28,5223.7505,9645.247,137347.23,44439.645,80666.766,44906.0
9.0,14430.484,59304.246,31521.725,90880.164,62089.832,11466.029,1405.5011,14322.375,62878.67,153270.77,5261.994,8471.502,149727.23,32223.758,77813.47,56291.31
10.0,12128.272,60044.58,35996.62,82109.15,75265.62,10814.12,1459.0262,15779.405,66253.33,142116.47,6573.135,9686.071,145523.19,34557.19,84570.7,68911.59
11.0,11729.107,48467.36,36188.516,88214.414,82975.984,10092.372,1428.7655,17399.188,69694.71,131854.42,7712.047,12900.964,147488.86,34999.773,80364.414,82285.99
12.0,12946.002,40883.05,39709.906,97812.234,65909.88,9417.563,1709.9861,19195.256,72729.81,125415.14,11406.201,15778.6875,137885.23,70689.36,60125.188,96448.61
13.0,13786.492,42022.457,34509.82,106286.62,54810.582,8674.999,1503.5422,19591.064,72164.88,114288.76,14901.555,18241.865,129484.95,50778.594,75965.63,110098.375
14.0,14650.798,41036.746,35236.73,96631.65,55562.934,7854.059,1272.8722,20399.168,67586.66,97909.42,19422.05,24665.273,130109.74,48650.055,87508.44,122255.0
15.0,15757.785,40396.047,35051.816,93529.77,53382.19,7085.4863,1317.8763,21566.592,62442.74,89900.95,21681.846,22824.475,123065.12,54510.742,72877.46,133624.81
16.0,16591.725,42076.992,29497.984,93696.91,41794.227,6501.2505,1496.862,23702.121,64891.15,91314.695,24812.734,20275.295,126699.87,86923.69,73900.52,144919.23
17.0,16292.277,40346.152,25636.725,78629.73,36774.117,5889.545,1266.5521,25072.654,67766.28,94859.02,25121.404,23408.02,120928.805,72566.38,76165.484,154899.78
18.0,15755.895,40588.363,21607.521,69246.65,33134.32,5310.876,1480.1896,27120.266,68335.85,92293.72,25921.945,28051.252,134235.05,77960.41,68289.13,163821.1
19.0,15877.887,40936.223,18404.637,66725.57,29830.861,4815.1367,1642.3165,29446.63,68612.16,90420.82,24759.863,28288.139,141097.75,68047.86,79026.01,172400.78
20.0,17243.105,42466.758,16552.807,61089.527,36875.938,4361.847,1581.4506,31772.832,71072.71,85230.43,24359.1,25347.2,127819.06,36191.04,69129.836,179787.17
