"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,13.832467,2.212596,3.5138905,16.906399,5.1742196,2.3823307,2.4804482,6.4670124,1.5720955,1.8263307,2.2301054,4.4552083,1.0684981,1.8930929,3.65942,15.471484
1.0,1.0,22.812407,29.930645,23.827095,28.73609,14.015137,8.972978,16.712772,25.551128,7.3231115,19.079315,28.154888,9.107452,15.872318,1.9160302,26.117373,26.961657
1.0,2.0,30.115417,28.491938,29.044056,33.06016,16.789316,36.54934,21.57609,29.159035,22.107498,20.428284,27.714474,20.79544,20.856445,NaN,NaN,38.78384
1.0,3.0,36.614258,32.557724,32.225628,36.481262,18.594667,48.184406,24.30549,31.584873,25.928833,23.634,30.90706,24.027172,22.946089,NaN,NaN,48.006916
1.0,4.0,42.2416,35.96438,NaN,38.240482,19.81127,57.876358,25.79799,33.26586,29.210775,26.104769,33.39635,26.220556,23.868832,NaN,NaN,55.841854
1.0,5.0,47.287197,38.834385,NaN,39.185165,NaN,65.90668,26.719706,34.449863,32.025215,28.33443,35.284695,27.724066,24.270008,NaN,NaN,62.719025
1.0,6.0,51.72084,41.218323,NaN,39.67989,NaN,72.54679,NaN,35.27926,34.379402,30.127825,36.747475,28.749369,24.452826,NaN,NaN,68.65296
1.0,7.0,55.66074,43.203266,NaN,39.940964,NaN,78.04207,NaN,35.86542,36.414272,31.648836,37.882217,29.44748,24.532614,NaN,NaN,73.79743
1.0,8.0,59.19993,44.87136,NaN,40.080547,NaN,82.53437,NaN,36.27249,38.14563,32.91457,38.773926,29.90667,24.570122,NaN,NaN,78.27148
1.0,9.0,62.368214,46.256733,NaN,40.155235,NaN,86.22778,NaN,36.56418,39.594486,33.939404,39.472755,30.262465,24.586569,NaN,NaN,82.160965
1.0,10.0,NaN,47.421043,NaN,40.195118,NaN,89.30323,NaN,36.766083,40.840977,34.80901,40.016846,30.483616,24.593716,NaN,NaN,85.552414
1.0,11.0,NaN,NaN,NaN,40.21616,NaN,91.83543,NaN,36.909515,41.903442,35.543976,40.44064,NaN,24.597202,NaN,NaN,88.49017
1.0,12.0,NaN,NaN,NaN,40.227337,NaN,93.92422,NaN,37.009636,42.80752,36.157547,40.77365,NaN,24.598906,NaN,NaN,91.03915
1.0,13.0,NaN,NaN,NaN,40.2332,NaN,95.6549,NaN,37.08071,43.575756,36.65602,41.037487,NaN,24.599392,NaN,NaN,93.25824
1.0,14.0,NaN,NaN,NaN,40.23632,NaN,97.082306,NaN,37.130917,44.230537,37.075954,41.2419,NaN,24.599998,NaN,NaN,95.18409
1.0,15.0,NaN,NaN,NaN,40.237907,NaN,98.263794,NaN,37.16603,NaN,NaN,41.403465,NaN,NaN,NaN,NaN,96.85742
1.0,16.0,NaN,NaN,NaN,40.238953,NaN,99.23788,NaN,37.190987,NaN,NaN,41.531445,NaN,NaN,NaN,NaN,98.31286
1.0,17.0,NaN,NaN,NaN,40.23937,NaN,100.04839,NaN,37.208477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.578476
1.0,18.0,NaN,NaN,NaN,40.24007,NaN,100.712585,NaN,37.220707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.67857
1.0,19.0,NaN,NaN,NaN,40.240047,NaN,101.26641,NaN,37.22938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.636505
1.0,20.0,NaN,NaN,NaN,NaN,NaN,101.720726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,21.0,NaN,NaN,NaN,NaN,NaN,102.09966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,22.0,NaN,NaN,NaN,NaN,NaN,102.40834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,23.0,NaN,NaN,NaN,NaN,NaN,102.66754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,24.0,NaN,NaN,NaN,NaN,NaN,102.87999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,13.821312,1.8058684,2.890505,3.5346673,2.8023949,1.8237449,2.228574,5.6990805,2.119967,1.5102525,2.0899858,4.7572293,1.1662316,2.5877612,2.281131,17.27135
2.0,1.0,22.278694,4.8571415,7.5425706,32.18603,13.493231,9.290864,6.446042,9.899327,4.6922264,7.9773455,10.939481,10.16857,4.307871,2.0853505,16.55872,23.886362
2.0,2.0,30.240664,39.006413,29.057003,34.60931,19.37468,20.32206,21.059607,30.6334,23.668863,24.339998,32.700935,12.130877,18.69849,NaN,NaN,34.467293
