"Distribution of fish species biomass (tonne) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,231.83505,6830.4307,106510.38,4405.5806,50129.27,0.0,10847.116,83.72518,0.0,88993.79,453.51056,0.0,48163.2,4607801.0,38481.14,45.296616
1.0,1.0,787.1482,13815.398,15128.391,29816.404,836.77826,0.0,7020.881,6271.215,0.010983708,42465.42,22104.832,0.0,74045.27,205798.1,12363.327,98.796616
1.0,2.0,1231.7097,1217.8345,6331.9297,9647.516,1034.9376,0.0,4981.3413,7684.135,5729.381,15007.366,1237.2542,0.0,38967.566,0.0,0.0,144.1305
1.0,3.0,1800.4918,585.5669,3892.5193,5621.8394,1327.5328,0.0,4009.746,3833.0664,6075.2485,12793.688,4403.728,7750.022,24738.79,0.0,0.0,211.90071
1.0,4.0,2432.77,492.3447,0.0,3716.36,1286.9147,634.31085,3229.5579,2343.8176,3264.2285,7884.0054,2524.1619,36361.344,16454.416,0.0,0.0,268.30222
1.0,5.0,2996.509,403.5896,0.0,2606.869,0.0,370.04095,2624.1663,1586.0332,1828.8052,6831.6313,1852.7838,23977.348,12124.859,0.0,0.0,318.242
1.0,6.0,3410.9927,355.78333,0.0,2090.6123,0.0,211.40796,0.0,1261.0103,1087.5962,5811.0176,1539.4122,18441.48,8674.823,0.0,0.0,364.56912
1.0,7.0,3411.8818,331.408,0.0,1647.4331,0.0,152.44894,0.0,992.5552,707.16486,4832.5645,1274.2827,14931.215,6140.0366,0.0,0.0,398.55853
1.0,8.0,3137.7747,298.7362,0.0,1286.6879,0.0,121.68037,0.0,774.6855,544.91833,4279.603,1041.8848,11551.879,4880.219,0.0,0.0,420.33118
1.0,9.0,2942.0945,263.6108,0.0,1004.2939,0.0,99.03399,0.0,603.1585,460.1113,3981.551,906.3341,9490.441,4063.5232,0.0,0.0,432.00302
