"Distribution of fish species biomass (tonne) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,3817.471,19690.307,0.0,0.0,0.0,6282.106,0.0,0.0,24084.807,0.0,0.0,646.6727,4164025.0,1910.9314,0.0
1.0,5.0,0.0,290.99374,47897.887,0.0,9583.977,0.0,2072.652,0.0,0.0,43934.336,0.0,0.0,2393.721,390090.88,7752.148,0.0
1.0,10.0,7.8467417,122.65654,28044.389,0.0,39515.344,0.0,3060.6655,0.0,0.0,15848.425,0.0,0.0,60290.95,172654.64,12923.453,0.0
1.0,15.0,270.9348,758.0311,9327.298,0.0,5045.2246,0.0,6926.5894,0.0,0.0,30823.865,0.0,0.0,64545.945,15115.153,12526.424,17.007938
1.0,20.0,516.4843,1759.1575,11457.709,4107.8354,470.88983,0.0,8042.595,0.0,6139.413,43969.043,0.0,0.0,122329.63,2212.2288,6166.2734,53.49232
1.0,25.0,715.9421,6092.37,9868.094,18401.115,0.0,0.0,6328.2007,11958.218,7731.3823,17430.104,10001.458,110297.89,0.0,14272.922,9565.236,25.224972
1.0,30.0,1074.6416,9319.03,5577.5396,20645.447,0.0,0.0,0.0,9994.933,3775.007,19463.625,21157.0,19751.146,0.0,32026.562,0.0,66.00087
1.0,35.0,1617.2924,1151.3301,0.0,16081.069,0.0,0.0,0.0,6273.3633,1935.6886,12223.867,6513.6895,0.0,0.0,22302.477,0.0,46.39857
1.0,40.0,2326.9678,890.19275,0.0,7633.038,0.0,0.0,0.0,0.0,1660.63,0.0,3892.0452,0.0,0.0,899.1328,0.0,114.24719
1.0,45.0,3203.831,621.35535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.82381
1.0,50.0,4164.6963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.51755
1.0,55.0,4744.9688,0.0,0.0,0.0,0.0,560.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.86035
1.0,60.0,3739.6018,0.0,0.0,0.0,0.0,174.9008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.65825
1.0,65.0,0.0,0.0,0.0,0.0,0.0,248.7689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.4886
1.0,70.0,0.0,0.0,0.0,0.0,0.0,214.06093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.26837
1.0,75.0,0.0,0.0,0.0,0.0,0.0,155.86081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.3424
1.0,80.0,0.0,0.0,0.0,0.0,0.0,132.28703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.3835
1.0,85.0,0.0,0.0,0.0,0.0,0.0,174.57768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.4128
