"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.4362943626800917,1.3946870403683962,0.0541667062397774,0.0,0.3422309584525818,0.13218307551242625,0.37106624531954496,9.85934197826426E-5,9.897384435736428E-5,3.2042887062851785E-6,0.0014314346627151528,0.03842583302913931,0.1825,0.7300000000000002,0.7579635225028434,0.0,0.0,0.0,1.3699253071709312E-7,6.119793657072082E-5,0.00164281455077655,0.0,0.0,0.6810989634350629,
2.0,0.6683085327049525,3.1799650079349657,0.43129532186096203,0.0,1.0037462383963018,0.38668535347658844,0.41740656930519976,9.870148086935896E-5,9.864059508203826E-5,2.641819781154068E-6,6.2989344157856E-4,0.01613646176731013,0.09125000000000001,0.7300000000000004,0.7592607020164615,0.0,0.0,0.0,1.1294537124850552E-7,2.6929750891262735E-5,6.89880012992404E-4,0.0,0.0,0.5919017397612908,
3.0,0.6172490410491775,3.000447657782077,0.2837901804423344,0.0,1.2442273652983336,0.3563573737006437,0.4067551466814551,9.84273056989309E-5,9.901770198140672E-5,2.5774527416237473E-6,5.573712975240719E-4,0.011611745704918615,0.09124999999999994,0.7300000000000001,0.770396761723795,0.0,0.0,0.0,1.1019349573156793E-7,2.3829221270580768E-5,4.964354263833821E-4,0.0,0.0,0.9001570274203112,
4.0,0.723451156283135,3.0103584967487924,0.3748294821366767,0.0,1.1968545691787515,0.42207545119166234,0.43014875618891585,9.847883511145253E-5,9.9111407399297E-5,2.2584386871688184E-6,5.304775763569436E-4,0.010634332046009136,0.0912500000000001,0.7300000000000002,0.749643358240702,0.0,0.0,0.0,9.65547301083645E-8,2.267943757104765E-5,4.546481896625388E-4,0.0,0.0,0.5443083821833595,
5.0,0.8832960831289043,3.8334959115898544,0.3909369227209706,0.0,1.1254499254239818,0.5284864267855063,0.4699936979184276,9.860179648737098E-5,9.914384169718619E-5,1.6235037510107918E-6,4.0075963377611193E-4,0.008247727839243532,0.09124999999999996,0.73,0.7482575549749817,0.0,0.0,0.0,6.9409440866989E-8,1.7133623550386435E-5,3.526140160677633E-4,0.0,0.0,0.5302080501014359,
6.0,0.6009702851298551,3.018130214530111,0.24816894946347032,0.0,0.9232232067938504,0.3924123138567656,0.4037995713192788,9.867316163816418E-5,9.975948777680983E-5,2.814971186422596E-6,8.710926768412561E-4,0.012237954774272935,0.09125000000000001,0.7300000000000004,0.748419137166604,0.0,0.0,0.0,1.2034809034757705E-7,3.7241709854527106E-5,5.232076597968618E-4,0.0,0.0,0.7224307180611226,
7.0,0.6387405718413075,3.3997140901052725,0.28988806901285963,0.0,0.9865300791578311,0.36456988670877843,0.4112129944107137,9.865672899706332E-5,9.899341053666286E-5,1.734234187581078E-6,4.886042832232627E-4,0.008789046812556179,0.09124999999999997,0.7300000000000002,0.7413648226243956,0.0,0.0,0.0,7.414348455768948E-8,2.0889234214967437E-5,3.7575695444713584E-4,0.0,0.0,0.34972078965587067,
8.0,0.6098963830501516,3.30560284411643,0.27550965896046725,0.0,0.9892629191849553,0.4298401638422583,0.40499629230452944,9.870192048177417E-5,9.93812804648244E-5,1.354678093698266E-6,3.4596531077300146E-4,0.006096699176466902,0.09125,0.7300000000000002,0.755148051179655,0.0,0.0,0.0,5.791637314038468E-8,1.4791009115425511E-5,2.6065137250796976E-4,0.0,0.0,0.7452067360253559,
9.0,0.7180023253771036,3.096869603808126,0.28917042006714133,0.0,1.030858773639284,0.43550392145261274,0.4295979502086204,9.843900969233049E-5,9.921204164054145E-5,1.502237768888052E-6,3.6620772695719064E-4,0.007025731622861912,0.09125000000000012,0.7300000000000001,0.7434696557916921,0.0,0.0,0.0,6.422497239250274E-8,1.565643045385278E-5,3.0037017365728706E-4,0.0,0.0,0.4597519170311817,
10.0,0.6781524123133604,3.1416958432447255,0.4486509535696054,0.0,1.0101182874584969,0.4013738026087908,0.4198206814353555,9.874830162253664E-5,9.917333744295538E-5,1.4090412234146903E-6,3.7220075784087935E-4,0.006492428031821457,0.09125000000000005,0.7300000000000001,0.7423437372096242,0.0,0.0,0.0,6.02405528258627E-8,1.591264970956836E-5,2.775699158547234E-4,0.0,0.0,0.4184148086425856,
