"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,26.364158314976674,5.02769669874884,0.25338717880027645,0.0,0.9162056630745697,0.11879787607973938,0.0076201632017654985,0.0035615062482241286,0.0036057706463206002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059226640733288705,
2.0,13.855266364572419,9.038766735414958,2.7053879030796906,0.0,1.0249087700558495,0.4969387549952347,0.004835888574486741,0.0035164333378231412,0.0036041516057052757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02276758565314783,
3.0,13.285163694865199,8.545400245468025,1.9488981478089005,0.0,1.1673634333963938,0.4342385335622086,0.004763031665243053,0.0035129293803881456,0.0036105547388810013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057334054589306835,
4.0,13.016613289218288,8.882664942395012,1.5741144952680721,0.0,1.0341939843059529,0.40835176695424147,0.004714320754028854,0.003549445252056364,0.0036002006164470328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09229682832260087,
5.0,11.108302179609835,12.009257335009194,1.2837398144400811,0.0,0.8668492148292393,0.3130713328685817,0.00444645933567529,0.003543140305347939,0.003614110697470667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1897295021492196,
6.0,10.934736969011054,10.092319919433445,1.3906970277766098,0.0,0.800703391647841,0.49858868830487907,0.004409754087777253,0.003507923172992671,0.0036171565260181564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2466790029319964,
7.0,11.002619037595485,13.132199289854892,1.6367034767220732,0.0,0.42029391237598807,0.5622067809268422,0.004430923405408982,0.003458014015223594,0.003602066231669215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010852000724153961,
8.0,11.440554503022156,14.905330148931249,1.142498210191404,0.0,0.25882063335110567,0.34166333780298436,0.004492932651828734,0.0034542159171928274,0.003597297859939295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022417429536162683,
9.0,10.745567253994437,11.773519236662386,0.9148829088476026,0.0,0.4677436244126347,0.3028371780918007,0.004392777783700609,0.003458507515936321,0.003604226479765371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052479657978261075,
10.0,11.44331233591641,9.789145563775461,1.1444028791863428,0.0,0.3975136885736682,0.4463762594330245,0.004496662710246994,0.0034911222457226433,0.0035972380693893137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03445926033333541,
11.0,9.481195924615372,12.620849089029026,1.1332966434823537,0.0,0.33267277745267726,0.5543883003299201,0.004217355911726282,0.0034779859816254275,0.0036056350569624576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007784635359976397,
12.0,10.176463105973777,13.506141269160587,1.3172225547759842,0.0,0.27612609189692355,0.2956577235597744,0.004315255156015592,0.0034624025893846807,0.0036068273453702684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021768213720022578,
13.0,13.540928930726313,9.930671681353703,1.7165618163702723,0.0,0.43631359364959377,0.4220460121130874,0.004810747144954081,0.0035124448367120234,0.0036012523267835404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04555897154580732,
