"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,26.41454168556948,6.363406101248222,0.5252308888258964,0.0,0.8978445403039159,0.14262760060050123,0.009253217205983098,3.507886630782294E-4,3.4812869290212994E-4,1.1148873849804626E-4,0.003980004710821425,0.04745971287709739,0.0,0.0,0.03430307788394583,0.0,0.0,0.0,7.939981640317891E-5,0.002861131993832169,0.03398350729539742,0.0,0.0,0.0046434012529838215,
2.0,10.301148087678293,10.150416856795623,1.8248934228503824,0.0,1.1492297551359665,0.7975429710740045,0.005056461412227604,3.4697386056703824E-4,3.579756450933208E-4,1.500263600575868E-4,0.001638877222231968,0.02716488382439983,0.0,0.0,0.003590218765897463,0.0,0.0,0.0,1.1130956229079127E-4,0.0012302259355020542,0.021255836374898748,0.0,0.0,6.749688711615153E-4,
3.0,13.229096164228691,6.931153189153277,0.9253908311798315,0.0,1.2493474178016741,0.7822664457846441,0.005637892662963029,3.524315011861772E-4,3.5901743495323087E-4,1.1607661545281505E-4,0.0013158352638443656,0.013867972440741871,0.0,0.0,0.002640336423427603,0.0,0.0,0.0,8.70102910188562E-5,0.001000608166471474,0.010952142574819303,0.0,0.0,2.228453320044641E-4,
4.0,12.422110547633107,7.795884905369996,1.344213279495787,0.0,1.2787448705439697,0.8962862576872885,0.005455271942721316,3.537403716605717E-4,3.5777681552194676E-4,1.781201569819714E-4,0.0019102162257365665,0.018653926402827162,0.0,0.0,0.0037272495357451294,0.0,0.0,0.0,1.2620542092816938E-4,0.001358376570319362,0.013357432449384955,0.0,0.0,8.47052303908416E-5,
5.0,12.90400461999268,7.1510492556028815,1.2862376165986753,0.0,1.2249258338524072,0.8951415760006891,0.0055618769025218805,3.533907104376995E-4,3.587000994524989E-4,1.1981370416912187E-4,0.0012690484925346216,0.012117010736752634,0.0,0.0,0.003465012233337565,0.0,0.0,0.0,8.852318572055805E-5,9.489641238426689E-4,0.009353276357652623,0.0,0.0,4.17659639543824E-5,
6.0,13.368087920765873,7.046306987176351,1.7514800298366409,0.0,1.1835586187546057,0.774382445660897,0.0056507834462627025,3.538483702301615E-4,3.5810702177023734E-4,1.1244140731953235E-4,0.0011345546814199709,0.011774622357632226,0.0,0.0,0.005811717983555817,0.0,0.0,0.0,7.606884606983412E-5,7.644488979018406E-4,0.007759463184331395,0.0,0.0,2.274915955287491E-5,
7.0,14.49358663951145,7.684499638965752,1.4019343169832803,0.0,1.1459963001156945,0.7124174795097157,0.0059205537399150176,3.5313303136378895E-4,3.5368781970855157E-4,1.0029899989189448E-4,0.0011984826982082795,0.01551342691511328,0.0,0.0,0.0187827584039203,0.0,0.0,0.0,7.240700774945493E-5,8.723357737585116E-4,0.011499794592606265,0.0,0.0,3.229571732778179E-5,
8.0,12.107745040373963,9.534227077084374,1.174334735198557,0.0,1.0287325993965037,0.8585841433053786,0.005392402313895613,3.492361110325009E-4,3.5573097444885625E-4,9.359632175192171E-5,0.0010895948798236373,0.014606209546863992,0.0,0.0,0.012564779754867108,0.0,0.0,0.0,6.719088408004569E-5,7.879602054666814E-4,0.010727449162855684,0.0,0.0,2.157261955354427E-5,
9.0,14.636186227571008,6.027662594026559,1.8327656491581379,0.0,1.2394790235454374,1.1329773748541565,0.00589274122589548,3.542246451024307E-4,3.562135867807342E-4,8.762730479838584E-5,8.750189333224605E-4,0.011593476351065838,0.0,0.0,0.01237666291984666,0.0,0.0,0.0,6.237200461373231E-5,6.246602016888035E-4,0.008364921682753232,0.0,0.0,1.7500767979503998E-5,
10.0,12.726383359080229,7.550819658177332,1.2134110765169306,0.0,1.142249916508549,0.7544906131033228,0.005511937680972248,3.5231114556720007E-4,3.5682466287766356E-4,9.313104316626952E-5,0.001068428922314561,0.012247970312915238,0.0,0.0,0.00968879699312761,0.0,0.0,0.0,6.622882684821907E-5,7.633059402187499E-4,0.008825557891186634,0.0,0.0,1.652826459489011E-5,
11.0,12.697423222577836,7.936086282261405,2.1199910399736903,0.0,1.151610437664112,0.8261052708239762,0.0054995388950158765,3.5157366681335506E-4,3.5505834399017164E-4,6.877179029825258E-5,6.793726227145658E-4,0.009339536319082747,0.0,0.0,0.014610432668901807,0.0,0.0,0.0,4.878241983759423E-5,4.8310771952545314E-4,0.006674326964407661,0.0,0.0,1.1862732873279219E-5,
