"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,6.574450472796737,6.319083116536542,0.04152930516396588,0.0,0.6659848265433244,0.13323754218140535,0.12751547121123394,0.342476673983811,0.34737043587384775,4.714057946851857E-4,0.14874676277748383,0.5168963055212602,0.0,0.0,0.0,0.0,0.0,0.0,2.349117469342856E-5,0.00792931264496821,0.02760229291272659,0.0,0.0,0.001920398238821649,
2.0,6.59455243396382,6.139437813728441,0.8908536311073342,0.0,1.2252466285032122,0.5800140224680633,0.11801286856558439,0.34268994312763534,0.3472837997956966,5.449920750536745E-4,0.016983134136585948,0.3191756679402059,0.0,0.0,0.0,0.0,0.0,0.0,2.631866635577715E-5,8.378606570657806E-4,0.016369165156289677,0.0,0.0,1.5074915356322438E-4,
3.0,8.254984599158231,5.139926678231283,0.5288031437377148,0.0,1.053228566048429,0.8512012007993692,0.13007047285452242,0.3437415801771136,0.3471304892574724,4.41888636497558E-4,0.01302879569166247,0.09602114326977172,0.0,0.0,0.0,0.0,0.0,0.0,2.157646491451072E-5,6.487044050199388E-4,0.004931174568911353,0.0,0.0,9.644736208566321E-6,
4.0,8.009495654181787,5.079430638623888,0.4188925056000321,0.0,1.0081848053587892,0.8707167288994536,0.12861533508165607,0.3429764539013442,0.34741509541070736,6.158136426066799E-4,0.02173542301593624,0.11810790477766323,0.0,0.0,0.0,0.0,0.0,0.0,2.89771976035812E-5,0.0010405924432448006,0.005770201734583197,0.0,0.0,2.5079968683171686E-6,
5.0,6.653306737662476,6.5789149000403135,0.4685227178396753,0.0,0.7954521385008875,0.7433806878792123,0.11821207885282682,0.3446034163016806,0.34741080616448533,4.603785274391825E-4,0.01839963732281346,0.1085577085091648,0.0,0.0,0.0,0.0,0.0,0.0,2.194447007477958E-5,8.982665927382003E-4,0.005423215842998043,0.0,0.0,1.1280309566618922E-6,
6.0,7.849344035936021,6.203129980560145,0.3730615491585992,0.0,0.8077094080731904,0.6679749598629973,0.12688448146756898,0.34239640648834246,0.34739857617835507,4.071194476600004E-4,0.023534120577173547,0.16804573300715905,0.0,0.0,0.0,0.0,0.0,0.0,1.9867815204388854E-5,0.0011839669794267331,0.008659550749235218,0.0,0.0,9.879818687245922E-7,
7.0,7.178992456722503,7.889276156067452,0.3402112293854775,0.0,0.5011446955755563,0.6062466957838051,0.12250309024410522,0.3428850181082527,0.3473795121968666,3.7822070264651933E-4,0.028251945681025598,0.19777523804419261,0.0,0.0,0.0,0.0,0.0,0.0,1.8003850666848428E-5,0.001391179381710206,0.009929465563618121,0.0,0.0,7.634449787899161E-7,
8.0,6.790587522847978,8.256396548708006,0.2287515874633489,0.0,0.4747198120943128,0.49611646335078824,0.11916191710602612,0.342170980595844,0.34736212324224824,3.329313810521889E-4,0.03143191172706875,0.22114642062645062,0.0,0.0,0.0,0.0,0.0,0.0,1.5701495360793177E-5,0.0015372154550370527,0.010988069162939767,0.0,0.0,5.728686515083243E-7,
9.0,7.536509889677093,6.07960818502444,0.5234048820022662,0.0,0.6628172092375085,0.4075568579540627,0.12488315785150798,0.34273090129136785,0.3474200382078957,3.347476527134017E-4,0.01775148839295156,0.21035180699302244,0.0,0.0,0.0,0.0,0.0,0.0,1.5947141708188727E-5,8.711559067206367E-4,0.010596803794957107,0.0,0.0,3.587392966321564E-7,
10.0,8.822338598228521,8.805612659583907,0.4017603621900219,0.0,0.5098787172622871,0.40601925346979906,0.1340345776045225,0.34593887114223676,0.34740923776565774,3.1738392341805325E-4,0.015401717421254096,0.17009689096118558,0.0,0.0,0.0,0.0,0.0,0.0,1.5062703017553329E-5,7.494580349064081E-4,0.008504021222928747,0.0,0.0,1.2393498606040566E-7,
