"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,6.203627181150131,5.534495068457154,1.2035656368365952,0.0,0.1371947395651328,2.479508600973278E-4,0.09482513617754368,0.0033926907129372278,0.003444334600532172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528232810247634,
2.0,6.416088347280397,8.681051584086807,0.2537613585926878,0.0,0.5661471714149063,0.30908576818126565,0.08916409492115418,0.0033186098490556545,0.0034389897264390863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567217651677783,
3.0,4.384522375883642,6.369187465694448,0.5110311899018527,0.0,0.7265667510746593,0.3757779663404373,0.07857020756550044,0.0033952892536328124,0.0034370006341731263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018264887847542913,
4.0,4.059735630118115,6.250921032800805,0.9002912556478561,0.0,0.8256456806971775,0.4476157870584803,0.07701280434721798,0.003408352101987242,0.003438389559117151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.322183718543614E-4,
5.0,3.873653868176868,6.927399501168241,1.2414091784049934,0.0,0.8086555049252779,0.41274302862045453,0.07615306565032803,0.003408626883079946,0.0034376206739304776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9447058837466243E-4,
6.0,3.7462147743134264,6.446796389018908,1.0676656866381906,0.0,0.772626874673076,0.3670349979000874,0.07554220611203384,0.0034047331142834617,0.0034407188998620544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04630655497004194,
7.0,3.7523015602698333,7.292685393107224,1.7838261687384507,0.0,0.7217471801006013,0.29840193605548004,0.07556571257394112,0.0034103918607143414,0.003441504771352329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818326991813526,
8.0,4.664199838274629,8.276514107734029,1.6360119843237586,0.0,0.711425081994943,0.3460232616664984,0.07992261234422117,0.003424449835301013,0.0034439132600810997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07744780989721683,
9.0,3.385825727387274,8.11204365835411,1.2761084697335847,0.0,0.66118317348305,0.2902359026134624,0.07386996297066117,0.003395999063147305,0.003442538619833843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0879212320704696,
10.0,3.6413451360250058,6.698404697392973,1.471244651806286,0.0,0.7264825295837378,0.28486067133089493,0.07510592703918109,0.003413428530957376,0.0034412720173409503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062203530473873184,
