"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,8.960160737421235,3.8828329768327814,0.041525350137613735,0.0,0.7884812380396207,0.00970523328232652,0.015887850538995954,0.038225056244129925,0.038491016227918035,2.0865613455597902E-5,0.011521181832762562,0.04658294958019252,0.0,0.0,0.0,0.0,0.0,0.0,1.0807882553543219E-6,5.970083609767099E-4,0.0024143429037565643,0.0,0.0,0.005260997365603406,
2.0,7.444477482787895,6.184407295319491,2.1442008673654844,0.0,1.5556723138951332,0.5847192124144821,0.0133805135384713,0.03782906258892793,0.038565878272963455,1.5697106404401704E-5,4.2842756083110936E-4,0.018537775150553402,0.0,0.0,0.0,0.0,0.0,0.0,8.09511558753113E-7,2.209437727890532E-5,9.561379293333293E-4,0.0,0.0,7.212290089751203E-4,
3.0,7.74675617999265,6.019282952483889,2.3883968130482773,0.0,1.6170836995719322,0.8685946407571813,0.013581197720236034,0.03816851891324475,0.038569887580553956,1.436046479453403E-5,3.7255466419677997E-4,0.005677721837105007,0.0,0.0,0.0,0.0,0.0,0.0,7.405007180376745E-7,1.9210885469530283E-5,2.9279828166464445E-4,0.0,0.0,1.8631051207093066E-4,
4.0,6.0541240628610415,8.480570314612892,2.1683259248883653,0.0,1.7035657806604414,0.6761485952876646,0.012114004225809554,0.03809540272823621,0.03853256921825983,1.515604781980261E-5,3.44653210118087E-4,0.008173032090698997,0.0,0.0,0.0,0.0,0.0,0.0,7.843569994766662E-7,1.7836698542250292E-5,4.2312628039483535E-4,0.0,0.0,3.5156934393833737E-4,
5.0,6.988327901970963,8.498940547895131,0.8878698137564122,0.0,1.3834611856489156,0.6984604444105067,0.012936985617448486,0.038263210549876366,0.038437667331732324,1.066058125665356E-5,3.4142983444626304E-4,0.006551192948323924,0.0,0.0,0.0,0.0,0.0,0.0,5.493535822611964E-7,1.759433200704591E-5,3.375958422885908E-4,0.0,0.0,4.434210102130984E-4,
6.0,6.6819486992190695,6.0549220104083386,3.4049171878339397,0.0,1.7893231960942857,0.7128771085537369,0.01263609772216027,0.03832415224413306,0.03843241286075986,1.734265084339238E-5,3.631456901356386E-4,0.010235051673945087,0.0,0.0,0.0,0.0,0.0,0.0,9.010264884701104E-7,1.8867224475784834E-5,5.320346331741567E-4,0.0,0.0,3.7297062934367155E-4,
7.0,6.7771782708876325,7.43507930791132,2.4162508813205235,0.0,1.6267287819766634,0.6587628358036814,0.012822458445519143,0.038509233035759934,0.03840449525429756,9.963535618774649E-6,2.220525700742179E-4,0.007500496085614141,0.0,0.0,0.0,0.0,0.0,0.0,5.148026653038016E-7,1.1473262204959332E-5,3.876480278438951E-4,0.0,0.0,6.234718172067021E-4,
8.0,5.102038173152125,6.321209111859356,5.172978386419659,0.0,1.7895470671805502,0.7269877829741795,0.011288481361726457,0.038313728295097,0.03888232201422919,8.26645501787431E-6,1.5400630967670064E-4,0.007277337310179308,0.0,0.0,0.0,0.0,0.0,0.0,4.271567972369581E-7,7.958066249793678E-6,3.7616066824701464E-4,0.0,0.0,8.777940013314173E-4,
9.0,6.864107306470036,6.237718611409355,3.4265996860076924,0.0,1.7601925228306419,0.5100014746031993,0.01286241145315678,0.03827466540586377,0.038476524262975736,9.225222021633302E-6,1.945308950147536E-4,0.00956899381795907,0.0,0.0,0.0,0.0,0.0,0.0,4.773961223896087E-7,1.006683580836458E-5,4.954014567905983E-4,0.0,0.0,0.0016898276869814943,
10.0,6.476010080302887,5.942397365787345,5.263930375654033,0.0,1.9711329297846512,0.6718027418635993,0.012493143214946002,0.03838775490891072,0.038267291320714096,8.83283193479404E-6,1.736455587259825E-4,0.008155452761015845,0.0,0.0,0.0,0.0,0.0,0.0,4.57074668054684E-7,8.985685741463126E-6,4.2221377666596066E-4,0.0,0.0,0.004219697608766794,
