"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,16.3963131798643,6.673627035655933,0.35218178487477936,0.0,0.8070237664906307,0.5136649554084243,0.034798932673027666,7.274675485582346E-4,7.449233553171238E-4,2.766082164876073E-4,0.008350208630975743,0.11713574623477993,0.0,0.0,0.0,0.0,0.0,0.0,4.1481276646890595E-4,0.012520957661812321,0.1756155124137794,0.0,0.0,0.003355364835157753,
2.0,4.911151597151118,8.589718369262314,0.30401106877904727,0.0,1.3441724047392165,0.6903245312178433,0.016158061718259367,7.302651389522026E-4,7.44676901218043E-4,3.266581076999362E-4,0.0029344313974989347,0.10742542930670328,0.0,0.0,0.0,0.0,0.0,0.0,4.899749029341285E-4,0.004401531751416449,0.16112963321994067,0.0,0.0,0.00121410402041113,
3.0,6.67418827815352,6.624357460615481,3.823346422224847,0.0,1.3755477838386594,0.7852230168424454,0.01784230927636567,7.35474781473151E-4,7.435608175456913E-4,2.5967303075592795E-4,0.002725096575688998,0.05498968462468578,0.0,0.0,0.0,0.0,0.0,0.0,3.894997161102486E-4,0.004087534954011187,0.08248010634538543,0.0,0.0,7.338313972779854E-4,
4.0,9.553050949795004,7.090589856657069,2.3758386895825843,0.0,1.3011055729250884,0.9213097323976971,0.02101058215571676,7.408040203403486E-4,7.454412304697752E-4,3.6617686115973853E-4,0.004746872827842411,0.019840310912428747,0.0,0.0,0.0,0.0,0.0,0.0,5.492147795399566E-4,0.007119592318254023,0.029755788741028598,0.0,0.0,8.853186703101977E-5,
5.0,9.812190046059902,9.281541265924439,2.1077494307219595,0.0,0.8798477740763253,0.4626021930793651,0.021073796753589846,7.392483742848389E-4,7.445151973024374E-4,2.507459408466689E-4,0.004141045169163086,0.025040948875054116,0.0,0.0,0.0,0.0,0.0,0.0,3.7611780990519107E-4,0.006211546396170432,0.03756123085364427,0.0,0.0,1.1639140881944233E-4,
6.0,9.316699199067754,10.743948881558662,1.2463112439822404,0.0,0.8424983441593187,0.38009246068290187,0.020580232520339827,7.431850904068206E-4,7.44310428377407E-4,2.3256882206026136E-4,0.006996710802886054,0.04488386086405325,0.0,0.0,0.0,0.0,0.0,0.0,3.4874028859033896E-4,0.010490365758530245,0.06728775167422413,0.0,0.0,7.05883703158757E-5,
7.0,9.142503151303352,7.358491021706678,1.277643159722362,0.0,0.7679594400830824,0.5501677266851953,0.020404628749988524,7.436879484293416E-4,7.452508231386631E-4,2.2179572340100113E-4,0.003422296070937428,0.03315588532692031,0.0,0.0,0.0,0.0,0.0,0.0,3.3267127540042907E-4,0.005133046975529731,0.04972752588562168,0.0,0.0,4.128699821230618E-5,
8.0,8.107988691720173,9.816551804567528,2.404437054537546,0.0,0.8173463790726924,0.4485696293862225,0.01924609051412687,7.378056355352456E-4,7.452111486520031E-4,2.0271488973419216E-4,0.003531645715787321,0.024378321759537466,0.0,0.0,0.0,0.0,0.0,0.0,3.0405407720255896E-4,0.005297089800955838,0.036563470833661814,0.0,0.0,2.49871769799694E-5,
9.0,7.300266930323084,8.916077838635966,1.4674475296127447,0.0,0.8131203063388583,0.37916979222264896,0.018474922072993002,7.403863465831493E-4,7.452125696093271E-4,2.038577255885442E-4,0.004985277803272198,0.041057001061505054,0.0,0.0,0.0,0.0,0.0,0.0,3.05752986686136E-4,0.0074768126810093455,0.061572741101832924,0.0,0.0,2.9334578597222052E-5,
10.0,8.274335872232019,8.176433904871727,2.4606509840910578,0.0,0.9120866615299955,0.5022210781934857,0.01943425868186356,7.416527581182833E-4,7.459982766867808E-4,1.9751724672865685E-4,0.0032058595726815204,0.03302610085529463,0.0,0.0,0.0,0.0,0.0,0.0,2.962453495040725E-4,0.004808207815226183,0.049529314119823704,0.0,0.0,1.5449068758513017E-5,
11.0,8.063602348269832,8.28844600161742,3.1213947658831156,0.0,0.950417301228766,0.3709613537502569,0.019224782859857962,7.399738377665982E-4,7.42458744045538E-4,1.4450835994812608E-4,0.0021279546830594892,0.02216427490639205,0.0,0.0,0.0,0.0,0.0,0.0,2.1672307671721712E-4,0.0031912714033417206,0.033235185261352725,0.0,0.0,1.3162550709431017E-5,
12.0,7.438100703532881,9.71190451705643,2.765174543538757,0.0,0.6809235248961965,0.4164843281111575,0.018558681495023856,7.416905191359873E-4,7.456630792637763E-4,1.9478627946547237E-4,0.002847759205497762,0.03415176507214931,0.0,0.0,0.0,0.0,0.0,0.0,2.921751703681618E-4,0.004271567490900374,0.05122619743834617,0.0,0.0,1.6803057996845145E-5,
13.0,7.799794133557653,9.293796451060864,1.8279708593792328,0.0,0.6866220208355737,0.6943068258184835,0.018960097038192503,7.385221726422628E-4,7.442432879419915E-4,1.440000164349358E-4,0.0022908475214731532,0.012230263803761358,0.0,0.0,0.0,0.0,0.0,0.0,2.1599164973125145E-4,0.0034361141920397553,0.018344093095482593,0.0,0.0,6.747349541765559E-6,
14.0,10.37735477412201,7.060974544455024,2.0847434386903907,0.0,0.8578178533217471,0.40796284567990104,0.021674135435565515,7.43643193213563E-4,7.460304317143115E-4,1.3301445629544114E-4,0.002440255118288202,0.015937951018450414,0.0,0.0,0.0,0.0,0.0,0.0,1.9947633208557743E-4,0.0036594040452993695,0.023897377310221696,0.0,0.0,1.2087082480041768E-5,
