"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,0.5756653161957543,3.1875397856319365,0.03535750376899986,0.0,0.7829963719692553,0.006867746425559559,2.055553656592534,1.750348796110191E-4,1.7549993794191735E-4,1.970253157323108E-6,0.0633777996669705,0.49855566645561344,0.0,0.0,0.0,0.0,0.0,0.0,5.692113388221941E-7,0.004502125824229698,0.028594202128815638,0.0,0.0,0.0014533602078965055,
2.0,0.567561852540585,3.3775498770081938,0.7810522400273412,0.0,1.2303413838695663,0.6315604855914063,1.9025674149359357,1.7458610817458665E-4,1.75521958783035E-4,9.219883756071808E-7,0.002625737580753431,0.16807220142876034,0.0,0.0,0.0,0.0,0.0,0.0,3.815985823674604E-7,4.6442608004033465E-4,0.009271130648555196,0.0,0.0,3.2208074819041254E-4,
3.0,0.5006881986651118,3.0804105134171005,0.7601359689102918,0.0,1.2759352972484876,0.8550014018780553,1.8368061017013533,1.7415770926329174E-4,1.755967108178512E-4,9.520301859229479E-7,0.0017983115849266166,0.035208224626630334,0.0,0.0,0.0,0.0,0.0,0.0,3.9828811643467856E-7,3.780631996399518E-4,0.002562410475542051,0.0,0.0,1.230128713527736E-4,
4.0,0.5343367833944427,3.1337438521231475,1.0066519856009997,0.0,1.1624784350695925,0.7381473626281472,1.8669116030110111,1.7456660860121383E-4,1.7550614424923728E-4,1.3011512249390089E-6,0.0025638208029286893,0.02259697307854658,0.0,0.0,0.0,0.0,0.0,0.0,3.971266852056915E-7,4.5708719341752365E-4,0.0020276818573658944,0.0,0.0,8.035256423719574E-5,
5.0,0.5688877588930933,3.486838148282605,0.7096669925880565,0.0,1.0778546224363958,0.6878783184311823,1.8950591544989877,1.7455155620688592E-4,1.754858993249992E-4,6.107524199694281E-7,0.001941068119903677,0.015556901892015716,0.0,0.0,0.0,0.0,0.0,0.0,2.741177970568828E-7,3.6099659630313175E-4,0.001514837582033425,0.0,0.0,7.662067632089039E-5,
6.0,0.5140815607149439,4.013689317894823,0.5443398578913038,0.0,1.0657664785046355,0.6844957917030652,1.8528686193738348,1.7395782317067304E-4,1.7558902505956911E-4,2.094466237123664E-6,0.0037053340872418013,0.022706607293139076,0.0,0.0,0.0,0.0,0.0,0.0,5.094558259635074E-7,6.115402346184675E-4,0.0025619656386274055,0.0,0.0,7.838958551814915E-5,
7.0,0.47630005878285836,3.210998128976733,0.884930188583849,0.0,1.0031215133356048,0.6275870559987025,1.8192680974016169,1.7467575517120102E-4,1.754849835617237E-4,8.504947846724908E-7,0.002298434533820294,0.020292186093707025,0.0,0.0,0.0,0.0,0.0,0.0,2.9196426913369076E-7,3.579901698365399E-4,0.001823860299578384,0.0,0.0,7.319951407552808E-5,
8.0,0.49772142458840296,3.8615854855346834,0.7805367178961456,0.0,0.9467621554948751,0.6303160108363722,1.8331626004446815,1.7460239977793793E-4,1.7558206856319625E-4,6.246693910658501E-7,0.00220531103504211,0.016095664446340703,0.0,0.0,0.0,0.0,0.0,0.0,2.1376470659721583E-7,3.2381744408787076E-4,0.0014706072240259437,0.0,0.0,6.742341152039771E-5,
9.0,0.4391736588794599,3.8233418249931597,0.829767619023605,0.0,0.8741853007764818,0.5876190666602559,1.7899405713548626,1.740824501907435E-4,1.7552148222605942E-4,9.240844111971125E-7,0.002599195742082403,0.023115524751196694,0.0,0.0,0.0,0.0,0.0,0.0,2.837155911533516E-7,3.847111293002021E-4,0.002078939821962678,0.0,0.0,8.327955762002664E-5,
10.0,0.5226707812981295,3.642933569235164,0.989109557320987,0.0,0.8921203214074588,0.5709237405735874,1.857845355367446,1.7522597178778595E-4,1.7566875704572068E-4,7.99521022202859E-7,0.002643933699514113,0.0278935546579606,0.0,0.0,0.0,0.0,0.0,0.0,2.447419175314451E-7,3.744497953301301E-4,0.002209054247980525,0.0,0.0,8.866005939569777E-5,
11.0,0.47660844960428916,4.430719700377479,0.9425327091643679,0.0,0.8869779372069363,0.5053340956272119,1.8296336277144236,1.7456304698141816E-4,1.756804943207942E-4,9.525083018960532E-7,0.003436362718920774,0.03428544171012488,0.0,0.0,0.0,0.0,0.0,0.0,2.7505422407243433E-7,4.6185654236323594E-4,0.0027208769755736975,0.0,0.0,9.23760740063002E-5,
12.0,0.4361252594872845,4.172766119751696,1.0300068285987503,0.0,0.8393162025222481,0.5536193786897464,1.781630658251494,1.7410170550896144E-4,1.7561137534519828E-4,4.4858024038875417E-7,0.0024227596345142294,0.02977012106419815,0.0,0.0,0.0,0.0,0.0,0.0,1.841216794953286E-7,2.9659466232859796E-4,0.0020282891808510845,0.0,0.0,1.0377095408352596E-4,
13.0,0.41153004121090186,4.291222809762723,0.9603194541701372,0.0,0.834140123871731,0.4795272095558124,1.7720747172774456,1.7320676064313273E-4,1.756804278370935E-4,4.939434107236602E-7,0.002375992384238508,0.030826435404887085,0.0,0.0,0.0,0.0,0.0,0.0,1.8761748296797703E-7,2.938057151856242E-4,0.0021110773670158347,0.0,0.0,1.0971616481646945E-4,
14.0,0.5224018532976602,3.1845732812302336,0.9677022671891023,0.0,0.8887423488815032,0.5720025535817037,1.8635056742106328,1.753990052872302E-4,1.754256091532376E-4,9.414647465196049E-7,0.002645001029557518,0.028762319811746866,0.0,0.0,0.0,0.0,0.0,0.0,2.4763538480964195E-7,3.84907665104944E-4,0.0024688157313386737,0.0,0.0,1.2554036994189653E-4,
15.0,0.4278459896897158,3.914207723788089,1.0786869055625292,0.0,0.9098567873037627,0.5243993287284355,1.7746032217943402,1.7415100963752073E-4,1.7563637946404627E-4,3.5912090051642565E-7,0.00154005522835986,0.019107366661832964,0.0,0.0,0.0,0.0,0.0,0.0,1.564643210430349E-7,2.3106390269154426E-4,0.0014421546350646744,0.0,0.0,1.3770732295310956E-4,
