"Distribution of cumulative catch (number of fish per time step of saving) by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,0.0,3197548.8,2.1487898E7,0.0,0.0,0.0,0.0,0.0,0.0,2.021279E8,0.0,0.0,2.6597498E8,2.94373E9,343464.72,0.0
1.0,5.0,0.0,1171483.0,2.7610206E7,0.0,0.0,0.0,0.0,0.0,0.0,4.9846876E7,0.0,0.0,6507424.5,5.8634024E7,856320.8,0.0
1.0,10.0,16145.985,28092.996,8097476.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7244646E7,0.0,0.0,1.6070642E8,3.5195516E7,1710385.0,0.0
1.0,15.0,687666.8,254069.9,2537596.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6976974E7,0.0,0.0,1.6763547E8,3646910.8,1616814.8,4834.803
1.0,20.0,1598606.2,490122.75,4244323.0,3777937.2,0.0,0.0,0.0,0.0,5207802.0,3.238049E7,0.0,0.0,2.334903E8,1335097.0,648887.0,12894.817
1.0,25.0,2056124.2,1108540.6,2465138.2,1.0757925E7,0.0,0.0,0.0,3.3541134E7,5777271.0,5814285.5,3.0855064E7,4.3809866E8,0.0,3328444.2,907974.75,3659.5867
1.0,30.0,1728537.9,1132135.0,872918.25,8264406.0,0.0,0.0,0.0,1.6226266E7,1685366.2,4112470.0,4.5980724E7,5.7821172E7,0.0,5491236.0,0.0,6019.0933
1.0,35.0,1106019.2,87553.0,0.0,3717769.0,0.0,0.0,0.0,3943097.8,340191.12,1900876.4,8749752.0,0.0,0.0,3145878.8,0.0,2739.312
1.0,40.0,692603.4,42153.39,0.0,1456638.9,0.0,0.0,0.0,0.0,115168.88,0.0,3909581.8,0.0,0.0,110510.2,0.0,4547.803
1.0,45.0,577431.44,21952.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.7583
1.0,50.0,542745.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3191.45
1.0,55.0,468877.97,0.0,0.0,0.0,0.0,12179.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3427.272
1.0,60.0,293714.7,0.0,0.0,0.0,0.0,2945.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2598.4346
1.0,65.0,0.0,0.0,0.0,0.0,0.0,3516.2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2675.4202
1.0,70.0,0.0,0.0,0.0,0.0,0.0,2335.6292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.7556
1.0,75.0,0.0,0.0,0.0,0.0,0.0,1353.5269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2989.7002
1.0,80.0,0.0,0.0,0.0,0.0,0.0,945.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2713.293
1.0,85.0,0.0,0.0,0.0,0.0,0.0,1054.0771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3329.4727
1.0,90.0,0.0,0.0,0.0,0.0,0.0,635.3905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3479.6094
1.0,95.0,0.0,0.0,0.0,0.0,0.0,769.6296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4873.7666
1.0,100.0,0.0,0.0,0.0,0.0,0.0,590.80316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.6355
1.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,9410390.0,3.6569572E7,0.0,0.0,0.0,0.0,0.0,0.0,2.6763333E8,0.0,0.0,1.05014656E9,4.871338E8,588989.8,0.0
2.0,5.0,0.0,3793817.5,3.952604E7,0.0,0.0,0.0,0.0,0.0,0.0,2.0423093E8,0.0,0.0,1.8965738E7,5.158091E7,991109.75,0.0
2.0,10.0,80204.984,551322.3,1.9263912E7,0.0,0.0,0.0,0.0,0.0,0.0,9.484634E7,0.0,0.0,5.673612E7,1.4556749E8,4536629.0,0.0
2.0,15.0,1232612.0,98895.695,1.4053072E7,0.0,0.0,0.0,0.0,0.0,0.0,1.3480894E7,0.0,0.0,2.1060395E8,1.0448362E8,3298667.2,42997.246
2.0,20.0,1798856.1,33085.254,3407801.8,184844.25,0.0,0.0,0.0,0.0,1.2712528E7,4.41241E7,0.0,0.0,1.7003658E8,2.5594526E7,8571644.0,72874.51
2.0,25.0,2225625.2,57423.98,4256571.5,87691.68,0.0,0.0,0.0,4.2073852E7,1.707459E7,3.5754204E7,2.3044998E7,2.3280256E8,0.7189589,5861791.5,4786599.0,15114.293
2.0,30.0,1915022.6,678116.4,1594915.2,8628668.0,0.0,0.0,0.0,4.875756E7,6135868.0,4311338.5,1.2111757E8,2.6968414E7,0.0,375660.78,928347.56,6240.3857
2.0,35.0,1068932.1,1680082.1,0.0,7318905.5,0.0,0.0,0.0,4672863.0,836865.06,1937819.6,1.818028E7,0.0,0.0,154382.42,0.0,4025.162
2.0,40.0,651883.8,645301.5,0.0,966024.5,0.0,0.0,0.0,7.015025,155480.53,0.0,2282297.8,0.0,0.0,0.0,0.0,2593.1753
2.0,45.0,544371.5,37674.96,0.0,0.0,0.0,0.0,0.0,0.0,2971.1448,0.0,0.0,0.0,0.0,0.0,0.0,3372.7449
2.0,50.0,522166.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.2189
2.0,55.0,504439.84,0.0,0.0,0.0,0.0,2286.5146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439.6455
2.0,60.0,315821.12,0.0,0.0,0.0,0.0,10606.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501.1519
2.0,65.0,0.0,0.0,0.0,0.0,0.0,3636.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.1392
2.0,70.0,0.0,0.0,0.0,0.0,0.0,1575.4086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2064.3657
2.0,75.0,0.0,0.0,0.0,0.0,0.0,1429.9406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.3312
2.0,80.0,0.0,0.0,0.0,0.0,0.0,1101.8939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933.2142
2.0,85.0,0.0,0.0,0.0,0.0,0.0,612.50226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2257.5566
2.0,90.0,0.0,0.0,0.0,0.0,0.0,715.72375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2616.868
2.0,95.0,0.0,0.0,0.0,0.0,0.0,555.2982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405.8694
2.0,100.0,0.0,0.0,0.0,0.0,0.0,460.60156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.9124
2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
