"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,21854.936,53098.47,223437.53,66194.55,65527.727,9588.907,78303.89,79376.7,99198.875,343112.6,195992.25,3274705.2,382984.16,1.9850074E7,88859.14,7308.2993,52021.703,29433.375,16463.96,17559.355,39341.47,45800.0,9402.784,457910.2,272108.8,91600.0,91600.0
2.0,24889.086,91607.48,406816.84,66930.36,255876.64,14987.372,56918.34,96634.34,109188.37,577509.94,396552.38,3701553.0,261006.92,2484802.5,259837.52,8298.434,53219.2,29225.908,15947.398,17261.234,37955.32,45800.0,9101.973,451288.25,268434.0,91600.0,91600.0
3.0,27101.965,136943.8,531470.8,52586.68,484099.5,30466.291,87216.945,87104.26,154306.67,625955.44,306804.5,1307360.8,202686.25,411912.4,197159.06,10029.07,51153.547,29987.79,16952.51,17112.916,39800.91,45800.0,9348.098,445036.25,266443.38,91600.0,91600.0
4.0,29342.848,162140.39,581368.2,37663.12,660647.75,63062.336,64675.824,72876.72,164013.92,708259.5,287104.75,410500.88,173320.1,18192.74,188235.94,13326.436,51432.473,32140.717,17324.836,18015.105,38319.867,45800.0,9613.781,454662.78,264137.53,91600.0,91600.0
5.0,31964.834,171106.95,556615.7,26738.299,744463.4,74595.18,35565.1,60581.64,146926.77,647297.25,234281.34,138850.08,119541.18,27119.719,161250.8,18468.86,50703.336,30185.596,16756.383,17351.287,37669.48,45800.0,9348.676,455215.8,265129.7,91600.0,91600.0
6.0,34753.81,163152.3,572599.0,18463.074,696487.56,96844.66,18643.014,58897.25,152746.86,608963.56,212666.5,66301.375,119358.73,71362.74,144517.42,25396.764,52573.766,30323.074,16568.242,17282.217,38353.49,45800.0,9495.598,454667.56,268450.12,91600.0,91600.0
7.0,38095.156,157046.1,580774.56,12527.13,652662.56,123929.09,4226.0654,52798.105,158552.28,594543.75,187262.11,45674.93,117335.16,312796.44,134317.5,33994.78,52169.863,29312.557,16502.82,17234.322,39030.316,45800.0,9286.089,456457.7,269976.12,91600.0,91600.0
8.0,42987.7,184342.17,571633.25,8879.766,544338.1,126687.836,3866.4731,52998.137,170811.3,543207.25,150434.58,61101.992,109961.74,810770.56,128694.06,44424.953,51419.95,30727.854,16828.66,17369.818,38299.11,45800.0,9219.673,455400.34,266255.25,91600.0,91600.0
9.0,48873.3,173027.77,510948.56,6298.409,514607.6,140734.75,4248.499,55127.18,198061.03,473254.34,154742.48,75447.98,100303.12,721352.0,170053.64,56098.094,51889.88,29711.979,16462.19,17279.656,38979.887,45800.0,9238.049,452816.9,268105.2,91600.0,91600.0
10.0,55280.13,151721.72,521849.34,4401.8022,495399.4,158806.27,4732.1626,52969.77,207049.95,493143.22,157610.33,71306.32,88549.914,520740.56,189027.33,68512.875,52752.72,29172.594,16660.502,17051.24,39736.406,45800.0,9334.929,457000.66,271871.22,91600.0,91600.0
