"Distribution of the biomass (tonne) of prey species (in columns) in the diet of dragonet by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,4.8473706,3.7130275,1.0809852E-4,0.1273203,0.0,4.526189,0.0747982,0.0,62.3424,18.191624,0.0,21.848305,1.7885258,0.010101739,0.0,0.0,0.0,0.0,149.55829,777.9184,124.22856,606.44257,417.2583,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5134745,0.0,0.0,0.0,0.0,8.110926,2.3653252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.08267,467.51273,0.16413496,0.0,0.0
1.0,2.0,0.0,1.1189452,0.0,0.0,0.0,0.0,1.6401455,0.0,7.4962335,0.0,0.0,0.0,0.0,23.22117,12.174305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2817,254.16757,246.09543,0.0,0.0
1.0,3.0,0.0,2.1553943,0.0,0.0,0.0,0.0,2.584556,0.0,8.564785,0.0,0.0,0.0,0.0,17.878475,10.795741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.6488,136.62912,315.54892,0.0,0.0
1.0,4.0,0.0,1.5311646,0.0,0.0,0.0,0.0,3.1632009,0.0,10.423997,0.0,0.0,0.0,0.0,14.138304,10.671075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.64785,93.74949,274.64334,0.0,0.0
1.0,5.0,0.0,1.5341709,0.0,0.0,0.0,0.0,4.8628516,0.0,8.035058,0.0,0.0,0.0,0.0,11.329407,10.266213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.826607,70.493614,228.8578,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
