"Distribution of the biomass (tonne) of prey species (in columns) in the diet of mackerel by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,17.897528,194.19882,0.04653975,6.3619256,35.64569,77.67109,21.479862,135.45937,429.79297,441.34225,251.58568,803.44885,542.0379,0.0,0.0,0.0,0.0,0.0,16.963627,1380.4622,1843.0193,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,145.79913,1058.5519,0.6552967,47.46339,38.961525,99.67614,35.855556,45.84476,860.9128,462.1851,279.5394,791.1517,1823.8654,0.0,0.0,0.0,0.0,0.0,0.0,442.14615,779.79584,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,19.507212,167.81789,0.20381893,8.850932,13.626089,21.0277,3.6614177,13.993202,151.38098,69.98102,42.210217,195.95361,281.72037,0.0,0.0,0.0,0.0,0.0,0.0,89.14195,182.12167,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,7.811985,64.64516,0.03973109,5.526111,2.830266,9.703998,2.5393305,8.034264,87.553154,25.14698,29.084116,112.01803,126.10502,0.0,0.0,0.0,0.0,0.0,0.0,39.435883,89.09249,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,3.239398,38.421738,0.45626962,3.0530703,2.2912822,6.7051177,1.0954068,3.5394177,36.412712,13.762137,21.636423,60.82927,92.39802,0.0,0.0,0.0,0.0,0.0,0.0,16.87107,45.68273,0.0,0.0,0.0,0.0,0.0
1.0,5.0,9.23068E-5,5.5290704,21.759203,0.015655851,3.8625782,1.4860051,3.8166091,2.0238914,2.8851492,37.476654,7.8074083,18.925364,59.88596,57.26285,0.0,0.0,0.0,0.0,0.0,0.0,10.688018,33.41045,0.0,0.0,0.0,0.0,0.0
1.0,6.0,2.6459511E-5,2.2480311,12.48083,0.008556361,3.9835346,0.47950804,3.0598931,1.0735685,4.175343,32.486774,7.8030977,12.654598,43.752926,55.01327,0.0,0.0,0.0,0.0,0.0,0.0,8.79408,29.563171,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0055848784,1.6957834,17.969454,0.011318924,3.4502957,2.0936923,4.1315317,0.6190472,2.7996907,31.603054,4.235859,12.797976,39.04872,32.691063,0.0,0.0,0.0,0.0,0.0,0.0,5.936269,22.102474,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0054675257,1.9320182,16.87576,0.0037931348,3.4325683,0.8829403,2.3201778,0.079414755,1.3752656,27.725605,7.0300555,6.558064,41.675457,24.520496,0.0,0.0,0.0,0.0,0.0,0.0,3.891763,15.490571,0.0,0.0,0.0,0.0,0.0
1.0,9.0,4.7469838E-4,1.8980083,13.375788,0.025819443,2.1746793,1.3471116,2.78485,0.26041833,1.1011927,15.265232,4.5478005,9.177951,29.94782,22.494904,0.0,0.0,0.0,0.0,0.0,0.0,4.45036,20.288767,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.30788705,1.5670366,17.075567,0.010099659,2.0680656,0.26674634,2.6006851,0.3450858,0.89874434,14.679715,6.4148545,13.931352,25.06552,18.957605,0.0,0.0,0.0,0.0,0.0,0.0,3.1169226,12.399767,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.102512136,0.97908646,6.982407,0.08484127,2.7476904,0.04822575,0.74209183,0.13717686,2.4355521,12.302132,4.792198,10.44489,23.576046,23.916775,0.0,0.0,0.0,0.0,0.0,0.0,3.4116335,13.929829,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.5540314,2.119859,6.1974955,0.0315664,1.3013717,0.4205747,1.0299461,0.39151052,0.88954955,13.520373,4.329333,9.434076,19.869495,20.9825,0.0,0.0,0.0,0.0,0.0,0.0,3.0461466,12.212832,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.07003668,2.0086417,9.283627,0.019602964,1.6429698,0.5694042,1.8772784,0.3503074,1.3286376,12.096289,4.386302,7.001614,16.566036,12.221032,0.0,0.0,0.0,0.0,0.0,0.0,2.1977892,13.151502,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.27162865,1.0779909,8.591955,0.07262079,2.1369567,0.7884867,1.5380888,0.34486142,0.84370863,12.170678,4.7324657,7.296688,16.616377,9.090621,0.0,0.0,0.0,0.0,0.0,0.0,1.9494458,8.440898,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.11220983,0.41250488,6.3654537,0.02637722,1.371991,1.0367335,1.1611167,0.022902278,1.3981016,9.27454,2.5452507,3.6369271,21.634281,10.722877,0.0,0.0,0.0,0.0,0.0,0.0,1.1678767,6.7548327,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.15027858,0.2921391,5.53273,0.021877663,0.82626843,0.69939417,0.7839151,0.1688736,0.97544724,6.5833974,2.0548086,4.1637106,16.026402,10.365705,0.0,0.0,0.0,0.0,0.0,0.0,1.5778581,7.3745413,0.0,0.0,0.0,0.0,0.0
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
