"Distribution of the biomass (tonne) of prey species (in columns) in the diet of sardine by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,40.62185,7.244642,0.0075175995,0.7746288,5.4957485,35.475338,0.3024492,39.55223,271.90997,52.5798,98.104576,830.5148,0.0,0.0,0.0,1.1369103E-6,88.32712,1.00092875E-5,2434.8694,3124.997,1201.9854,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,25.148235,50.79273,0.007826315,0.77298796,8.067115,29.945786,1.0882895,20.970425,170.33916,72.85609,114.11523,1658.2354,158.98912,0.0,0.0,0.0,0.0,0.0,1283.7871,1628.3165,1893.918,0.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,12.980057,42.860924,0.0075575435,0.9350837,4.719256,38.319916,1.3414319,25.615671,124.84211,41.861965,82.922005,711.3448,612.7566,0.0,0.0,0.0,0.0,0.0,37.877415,863.4991,1157.8099,0.0,0.0,0.0,0.0,0.0
1.0,3.0,0.0,28.364107,24.490435,0.013820665,0.690865,3.4588523,21.397291,1.4343888,15.719554,106.85626,63.46457,52.502625,453.1275,389.9871,0.0,0.0,0.0,0.0,0.0,0.0,563.9955,743.81696,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,23.283592,13.350768,0.003058263,0.4861274,2.9803822,18.151003,0.34980482,13.274302,72.99887,51.57046,45.214104,295.30377,269.89926,0.0,0.0,0.0,0.0,0.0,0.0,375.3478,495.38007,0.0,0.0,0.0,0.0,0.0
1.0,5.0,0.0,15.178312,7.724355,0.0038948238,0.4130496,1.6946952,20.37731,0.4434127,8.234361,56.98722,27.882204,30.069618,225.18706,197.53714,0.0,0.0,0.0,0.0,0.0,0.0,273.0956,368.51843,0.0,0.0,0.0,0.0,0.0
1.0,6.0,0.0,11.703112,9.259581,0.0019850251,0.15246423,1.3960618,12.2398615,0.26003397,8.784253,24.624172,34.450382,32.636444,147.21907,167.4469,0.0,0.0,0.0,0.0,0.0,0.0,180.70111,239.74982,0.0,0.0,0.0,0.0,0.0
1.0,7.0,0.0,4.257405,5.6123943,0.0014089275,0.19641696,0.81205934,7.3280683,0.08235006,4.817376,17.16519,23.726984,14.590805,120.17478,88.04894,0.0,0.0,0.0,0.0,0.0,0.0,160.64403,201.08217,0.0,0.0,0.0,0.0,0.0
1.0,8.0,0.0,3.6523855,3.9985545,5.68176E-4,0.2193576,1.4080071,7.042276,0.12259413,1.7116065,19.814758,17.496681,18.771051,83.441765,80.09086,0.0,0.0,0.0,0.0,0.0,0.0,113.925316,151.96275,0.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,3.8250268,1.7522395,4.432896E-4,0.13936849,0.5949578,3.0162458,0.16706005,1.9836308,6.9898257,24.594303,9.554347,62.343193,54.303097,0.0,0.0,0.0,0.0,0.0,0.0,97.74614,142.26666,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,5.0606656,2.5907836,0.001164783,0.07074795,0.94142604,2.1841404,0.23669562,1.9988568,16.07858,8.168533,9.430063,52.22817,54.038967,0.0,0.0,0.0,0.0,0.0,0.0,79.62248,104.96898,0.0,0.0,0.0,0.0,0.0
1.0,11.0,0.0,5.4464173,1.4367163,0.0010843177,0.10857601,1.1290035,3.6464407,0.12828115,2.4551857,13.512531,13.652417,7.1254487,35.84782,48.680748,0.0,0.0,0.0,0.0,0.0,0.0,63.9959,86.22797,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,2.4656775,1.6254064,3.1861992E-4,0.029123023,0.5736047,3.3797762,0.09018825,0.0012188248,11.031352,5.4565396,4.3344226,35.001442,42.98344,0.0,0.0,0.0,0.0,0.0,0.0,55.3756,80.65485,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.0,1.1400431,0.78811157,3.7761265E-4,0.028807059,0.5214029,1.5601078,0.07628299,0.4562747,9.70104,6.519366,4.345011,31.597122,32.34127,0.0,0.0,0.0,0.0,0.0,0.0,48.941307,59.999954,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0,1.7454308,2.8299084,7.3858205E-4,0.08000324,0.29483527,2.870887,0.0499504,1.1062076,7.230666,8.120309,5.0715246,23.678268,22.088816,0.0,0.0,0.0,0.0,0.0,0.0,32.23133,46.325882,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
