"Distribution of the biomass (tonne) of prey species (in columns) in the diet of thornbackRay by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.0,0.39442945,0.8038693,3.489971E-5,0.13478334,0.00800821,0.4692388,0.026722047,0.31265613,0.47952068,0.43474463,0.06780208,0.66480696,3.474462,0.67848945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521384,0.76591146,5.5083256,0.033927523,0.0
1.0,1.0,0.0,0.07085944,0.42385656,3.8006787E-5,0.35366216,7.1311893E-4,0.38481802,0.09090182,0.38943452,0.7691165,0.2560422,0.34793776,0.6457951,3.6588397,0.72350454,1.6937223E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.36853713,0.52416116,3.713681,0.02101395,1.6685236
1.0,2.0,0.0,0.10924637,0.5201397,1.580135E-4,1.0916479,0.0015412406,0.45997012,0.1367705,0.61816853,1.231008,0.22840053,0.7532598,1.4574214,4.8440704,0.8242016,0.0012207502,0.0,0.0,0.0,0.0,0.0,0.0,0.19840394,0.41244942,3.2957668,0.01274728,4.8233304
1.0,3.0,0.0,0.14404371,1.0558562,0.021195246,1.5730599,0.047937457,0.69429076,0.2044387,0.9361512,1.9763699,0.57999855,1.4128283,2.4893172,6.8310137,0.85964465,0.005406259,0.0,0.0,0.0,0.0,0.0,0.0,0.20748024,0.54656607,4.5762577,0.017220782,6.7498193
1.0,4.0,0.0,0.27238277,2.2333114,0.15204264,1.537456,0.12819527,0.75995296,0.48347172,1.0720276,2.6904063,0.9040601,1.7859197,4.3365703,7.509558,1.5482265,0.0071890634,0.0,0.0,0.0,0.0,0.0,0.0,0.19271454,0.63019747,5.2463975,0.019525716,7.662092
1.0,5.0,0.0,0.38719967,2.4156666,0.317924,1.6141093,0.1153442,1.1807135,0.7096631,1.641442,3.7714849,1.2149154,2.6575134,5.8322444,9.642684,1.7586298,0.008864874,0.0,0.0,0.0,0.0,0.0,0.0,0.13388635,0.56821686,4.9435163,0.019171895,7.532126
1.0,6.0,0.0,0.5160643,3.3007483,0.737415,1.943394,0.11726221,1.4918567,1.0270144,1.5713737,3.9511936,1.9744536,3.3267188,6.494134,9.910865,2.2036092,0.009528778,0.0,0.0,0.0,0.0,0.0,0.0,0.1047249,0.6039347,5.8008904,0.020754179,8.127063
1.0,7.0,0.0,0.5072678,3.4425757,0.78334594,2.6474354,0.13092569,1.5307419,1.1237404,1.5009618,4.0521507,2.3509147,3.6666522,6.1710777,11.498864,2.5245845,0.015514926,0.0,0.0,0.0,0.0,0.0,0.0,0.078508064,0.6969821,6.2807503,0.0233747,9.172556
1.0,8.0,0.0,0.599195,4.310822,1.4135377,2.4963784,0.20417735,1.3685184,1.4755838,1.9658896,5.019969,2.7552195,4.1945944,5.3891687,13.07774,2.5231702,0.013118337,0.0,0.0,0.0,0.0,0.0,0.0,0.034110706,0.5876707,5.433809,0.021621337,8.495353
1.0,9.0,0.0,0.62318236,3.9362915,1.7023875,2.3706937,0.15674503,1.2544186,1.4678612,1.7721124,4.98398,2.4879968,4.688404,6.6211863,13.066146,2.4855857,0.017282533,0.0,0.0,0.0,0.0,0.0,0.0,0.0064937966,0.6377573,6.042755,0.022333944,8.741644
1.0,10.0,0.0,0.7914987,4.569089,1.735373,2.6893492,0.19404784,1.4471143,1.6503214,2.143337,4.6466355,2.938514,4.311887,7.9654636,12.410559,2.6332743,0.01641218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60245967,6.007137,0.021767069,8.555848
1.0,11.0,0.0,0.7116006,4.8314095,2.1369612,2.3063965,0.22411637,1.4675637,1.6328822,2.0411117,5.7732506,2.9484885,4.3454084,6.603999,13.679447,2.7432296,0.019157324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65887976,6.4695683,0.02413914,9.465748
1.0,12.0,0.0,0.7603747,4.372133,2.2155857,2.5167243,0.21033584,1.7651265,1.7538298,2.1815138,5.892715,2.9346788,5.696465,7.320977,13.930015,2.6886544,0.01998393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62432754,6.290331,0.023017272,9.042842
1.0,13.0,0.0,0.8332834,4.8954577,2.3777933,2.5867262,0.20113114,1.7082275,1.9782664,2.0531552,6.3548384,3.2903643,5.4481792,7.382603,14.46967,2.655055,0.02147773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5764744,6.004408,0.022435676,8.806265
1.0,14.0,0.0,0.83861834,4.9633446,2.658855,2.072996,0.29816565,1.5868938,1.9471017,2.5241604,6.3916416,3.596902,4.999335,7.154724,14.543943,3.0133562,0.019372743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952576,6.150921,0.023049284,9.054289
1.0,15.0,0.0,0.7950723,4.484839,2.5784419,2.6913083,0.30107042,1.6604173,1.801869,1.9233937,6.5709877,2.9512079,4.272146,7.5530663,14.651382,3.1319547,0.02575291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6677905,6.6954885,0.02504771,9.836842
1.0,16.0,0.0,0.7418509,4.5637927,2.8623536,2.2502577,0.3143919,1.5147865,2.0689714,2.1331956,5.7246575,3.7337785,5.449217,7.67242,13.8293085,2.931605,0.022821255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196807,6.610431,0.0235166,9.232605
1.0,17.0,0.0,0.6989473,4.746715,2.8011587,2.2481341,0.23470137,1.5107338,1.650165,2.0733838,6.3571463,3.0111692,5.552026,7.204312,14.796804,2.6810179,0.023795055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6210552,6.175711,0.02332838,9.143471
1.0,18.0,0.0,0.6690206,4.9793134,3.140031,2.5028193,0.30011162,1.4479675,1.8305733,2.073859,6.4234343,3.3373566,5.5680485,6.561103,13.731544,2.5872352,0.022755072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5774636,5.853994,0.02247243,8.823285
1.0,19.0,0.0,0.68323624,4.8274627,3.0603888,2.2185566,0.3406138,1.504783,1.5767757,2.0723195,5.656511,2.8849003,5.619968,6.3445063,13.8267765,2.7929997,0.023555243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59721726,6.083712,0.022703191,8.924729
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
