"Distribution of the biomass (tonne) of prey species (in columns) in the diet of whiting by Age class (year). For class i, the preyed biomass in [i,i+1[ is reported."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay","diatoms","microPhytoplankton","heterotrophicFlagellates","microZooplankton","mesoZooplankton","Macrozoo","meioBenthos","depositBenthos","suspensionBenthos","largeBenthos","veryLargeBenthos"
1.0,0.0,0.12003804,1.0160466,8.321275,0.0043157027,4.913458,0.165998,23.185175,0.22651434,36.126556,88.78091,1.0414345,7.274694,134.94247,52.529243,0.4194155,0.0,0.0,0.0,0.0,0.0,0.15661591,25.523272,0.027371561,8.446497,145.35475,0.4995244,164.2888
1.0,1.0,2.3914368,50.217823,644.296,6.8083286,74.58658,42.277664,173.03833,102.651726,262.4521,623.29596,141.77489,237.31973,519.54474,622.6847,88.533,0.0,0.0,0.0,0.0,0.0,0.0,66.58879,0.0,15.831407,304.59338,1.046536,411.9389
1.0,2.0,1.0196476,16.179419,163.62561,3.056831,22.093224,4.3114614,71.21986,35.516438,52.577827,211.47522,55.16418,115.10071,160.43987,224.68098,32.314137,0.0,0.0,0.0,0.0,0.0,0.0,20.021807,0.0,4.696063,91.8838,0.34243006,134.06793
1.0,3.0,0.8250367,10.073806,89.538635,4.0433717,12.809071,6.243904,39.773453,22.150686,32.287357,125.94941,29.693459,69.19749,115.96404,120.16703,20.510258,0.0,0.0,0.0,0.0,0.0,0.0,9.306539,0.0,2.136067,47.361763,0.17875205,69.929756
1.0,4.0,0.20067105,4.4632797,54.426365,3.8854077,7.186041,5.479829,24.985415,18.199413,20.02858,69.53072,23.923964,47.621624,92.259026,89.19051,12.069585,0.0,0.0,0.0,0.0,0.0,0.0,5.020452,0.0,1.1487147,27.337217,0.10416712,40.70918
1.0,5.0,0.26453185,2.8692722,41.277164,2.624571,6.091429,2.0714,17.913824,13.337041,14.524432,45.93591,19.187216,42.279995,57.996853,54.95429,9.446511,0.0,0.0,0.0,0.0,0.0,0.0,3.563369,0.0,0.7924687,19.629543,0.075416915,29.503168
1.0,6.0,0.28819978,3.7436776,34.56051,2.9651635,4.795593,2.1417418,14.828415,10.830616,10.172703,47.185658,16.889784,32.376358,40.810715,39.09084,5.4481053,0.0,0.0,0.0,0.0,0.0,0.0,2.7566507,0.0,0.5987038,15.239866,0.058916114,23.05362
1.0,7.0,0.1833031,2.9697094,23.690151,2.4899142,3.5223327,0.83710605,12.408595,7.544076,8.278791,34.917572,12.661375,21.405964,37.130417,33.21206,5.902829,0.0,0.0,0.0,0.0,0.0,0.0,2.337756,0.0,0.5103648,13.023457,0.05041551,19.714449
1.0,8.0,0.23472418,1.744536,23.47284,1.8981384,2.2615073,1.4591533,9.452696,6.9829917,6.520101,30.107147,10.129943,22.078604,19.133442,21.95601,4.5184298,0.0,0.0,0.0,0.0,0.0,0.0,1.9002175,0.0,0.3905726,10.00727,0.038589846,15.096695
1.0,9.0,0.117869236,1.266928,18.165907,1.7566283,2.4253893,1.3054571,5.842743,4.7745786,5.2949347,21.279783,7.1545386,10.942489,21.394,21.255453,3.1965203,0.0,0.0,0.0,0.0,0.0,0.0,1.4401283,0.0,0.3140988,7.930503,0.03078249,12.043309
