"Mean Trophic Level of fish species, weighted by fish catch, and including first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,4.2064195,3.37517,3.8536694,4.4267592,NaN,4.4129353,NaN,3.331374,3.5267045,3.9483755,4.134865,3.4625177,3.5416954,3.7947047,3.9771843,4.4202986
2.0,4.3603516,3.3900936,3.9208732,4.592963,NaN,4.5106626,NaN,3.3227615,3.4971654,4.0208764,4.1997404,3.525507,3.567364,4.1211243,4.182621,4.534945
3.0,4.2677035,3.4328668,3.9072294,4.530029,NaN,4.477375,NaN,3.3930843,3.558683,3.9497645,4.103851,3.441028,3.508617,3.9277565,4.131851,4.4123545
4.0,4.258671,3.4340072,3.8887577,4.5671043,NaN,4.5259953,NaN,3.3887563,3.56588,4.012708,4.1009736,3.4340644,3.4823754,4.17291,4.140881,4.417817
5.0,4.288646,3.418527,3.8588696,4.5903044,NaN,4.474141,NaN,3.378277,3.5302546,4.0074067,4.09809,3.5110168,3.4347918,4.122169,4.044791,4.4391713
6.0,4.292897,3.4381778,3.8074877,4.6173916,NaN,4.4641447,NaN,3.4096358,3.5397792,3.9868178,4.0184407,3.5372381,3.4054291,4.178166,4.1322603,4.4422326
7.0,4.2653995,3.4436257,3.8863122,4.6320453,NaN,4.41754,NaN,3.447837,3.5152566,3.9905517,4.070117,3.5981662,3.4201837,4.177832,4.064488,4.4640913
8.0,4.2926855,3.4242964,3.8855116,4.622886,NaN,4.4067426,NaN,3.45051,3.5463238,3.9954698,4.0384827,3.5098453,3.4153764,4.157033,4.05085,4.491279
9.0,4.240506,3.4670153,3.8333836,4.5568404,NaN,4.4000363,NaN,3.4364784,3.6161144,3.909175,4.053905,3.53234,3.4580076,4.07715,4.0799136,4.4346223
10.0,4.2617135,3.4709363,3.968305,4.585604,NaN,4.4382906,NaN,3.4425333,3.626977,4.000551,4.0963073,3.501484,3.4265625,4.223403,4.0448527,4.457454
11.0,4.341327,3.4099567,3.9391983,4.6250277,NaN,4.4816227,NaN,3.4506757,3.596373,4.0550346,4.150515,3.6020966,3.40446,4.059454,4.0404153,4.5187635
12.0,4.1951747,3.3924282,3.8197029,4.5691614,NaN,4.4514303,NaN,3.4192266,3.6005876,3.8703868,4.0043473,3.4988542,3.4246197,4.046589,4.0336213,4.4746857
13.0,4.195753,3.4214182,3.890494,4.564033,NaN,4.443343,NaN,3.4298575,3.6422353,3.9171271,4.1002593,3.530092,3.4639187,3.9914956,4.092459,4.4676204
14.0,4.2597733,3.4381142,3.8553371,4.578499,NaN,4.49521,NaN,3.424071,3.6728823,3.957405,4.081625,3.5559528,3.4230692,4.1635137,4.08027,4.4925365
15.0,4.268967,3.4084275,3.8993175,4.586354,NaN,4.45985,NaN,3.4022584,3.6190736,3.963474,4.066208,3.5321703,3.4638019,4.1699543,4.046711,4.5164685
16.0,4.304519,3.4351845,3.8738737,4.603063,NaN,4.504862,NaN,3.4010315,3.6652539,3.9864364,4.0935364,3.529229,3.4716182,4.1804996,4.0791254,4.530193
17.0,4.242676,3.4383583,3.8665075,4.569201,NaN,4.5090823,NaN,3.4216516,3.6186254,3.9014673,4.078096,3.5203397,3.4586115,4.1130686,4.0623555,4.5020204
18.0,4.297648,3.4245875,3.8832219,4.5731936,NaN,4.516471,NaN,3.4224782,3.6777189,3.9704652,4.06987,3.4840488,3.4190183,4.2270093,4.0327473,4.506882
19.0,4.331152,3.4192355,3.8343034,4.583289,NaN,4.520662,NaN,3.4434085,3.6672542,3.9795716,4.0703206,3.4756713,3.428495,4.1778455,4.0060163,4.530175
20.0,4.3016376,3.4422836,3.8470662,4.5618224,NaN,4.5373564,NaN,3.41608,3.6599107,3.966668,4.0832,3.5523639,3.4476204,4.103373,3.9881134,4.5196705
