"Mean trophic level of fish species by Size class (cm). Class i designates interval [i,i+1[."
"Time","Size","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,NaN,3.4766061,3.393407,3.7399492,3.3448443,3.3731723,3.5272317,3.4404323,3.4792175,3.4604352,3.3804488,3.1547365,3.1505637,3.3497002,3.4674258,NaN
1.0,5.0,3.000351,3.5089858,3.5380704,4.0865335,3.4084156,3.6805806,3.6047328,3.52375,3.5028172,3.757042,3.606496,3.2198765,3.2200096,3.8204427,3.444383,NaN
1.0,10.0,3.5385222,3.410339,3.7982826,4.222594,3.61718,4.258042,3.4606252,3.4372842,3.3763144,3.5785267,3.8995793,3.3487544,3.3690982,4.0914564,3.4620132,3.6221294
1.0,15.0,3.8165853,3.3464003,3.9138346,3.8356738,3.768997,3.6172202,3.4132874,3.3446207,3.409425,3.965076,3.5264852,3.5906792,3.4317193,4.3969293,3.9264843,3.8124294
1.0,20.0,4.0572047,3.3640192,3.9401624,4.073219,3.8908718,4.2050357,3.3611004,3.3480618,3.5140798,4.0035768,3.7564633,3.7237666,3.593972,3.836902,3.7303271,4.107655
1.0,25.0,4.0619335,3.405806,3.957866,4.3673515,NaN,4.4353824,3.3546002,3.3425717,3.511447,3.9164927,4.143304,3.7719276,NaN,4.020174,3.9182804,3.893856
1.0,30.0,3.9787033,3.4028876,3.9516823,4.4712677,NaN,4.2335386,NaN,3.3591583,3.5327482,3.9490342,4.290873,3.7519348,NaN,4.4033413,NaN,4.2148376
1.0,35.0,4.1288624,3.4238803,NaN,4.4586687,NaN,4.4523625,NaN,3.3681295,3.5421078,3.972253,4.173036,NaN,NaN,4.6200376,NaN,4.20683
1.0,40.0,4.221933,3.39454,NaN,4.464166,NaN,4.360107,NaN,NaN,3.5613616,NaN,4.2112746,NaN,NaN,4.3176446,NaN,4.2924757
1.0,45.0,4.276993,3.4486008,NaN,NaN,NaN,4.4940324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.215925
1.0,50.0,4.3206077,NaN,NaN,NaN,NaN,4.5651617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3673196
1.0,55.0,4.3315597,NaN,NaN,NaN,NaN,4.577666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3311486
1.0,60.0,4.3420014,NaN,NaN,NaN,NaN,4.559275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.346794
1.0,65.0,NaN,NaN,NaN,NaN,NaN,4.652417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3729725
