"Mean Trophic Level of fish species, weighted by fish biomass, and excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,4.2607126,3.4147935,3.6095457,4.418887,3.55721,4.657045,3.4439516,3.3557668,3.5600984,3.8354573,4.300018,3.7198992,3.4944844,3.450033,3.7277946,4.423511
2.0,4.4433355,3.4280846,3.660737,4.596631,3.682262,4.7728295,3.4385188,3.347579,3.560273,3.8296642,4.3144875,3.8189797,3.4969935,3.78585,3.9873953,4.5362577
3.0,4.322344,3.466074,3.7382236,4.542684,3.6894279,4.7199426,3.4615722,3.4397018,3.6079469,3.7953424,4.245491,3.705263,3.4568124,3.826894,3.8628833,4.3964715
4.0,4.327142,3.4381888,3.7380457,4.5562963,3.654536,4.693622,3.4535093,3.4168472,3.5577042,3.8438938,4.3298626,3.8277557,3.3468897,4.044805,3.832022,4.404691
5.0,4.3370967,3.4539986,3.7244248,4.5617867,3.6557567,4.7117233,3.4584394,3.410512,3.5590842,3.815184,4.3586497,3.6603074,3.3038566,4.2972116,3.8761559,4.4009786
6.0,4.3107295,3.444236,3.7418916,4.582993,3.6341255,4.729674,3.464752,3.4145546,3.5677388,3.8228707,4.23351,3.6904516,3.324826,4.041113,3.835959,4.4025187
7.0,4.3214397,3.4195604,3.7706175,4.5823283,3.6570485,4.777691,3.4802995,3.4306207,3.5643554,3.8244565,4.2487082,3.7131565,3.3228948,4.266574,3.8211217,4.4191036
8.0,4.363294,3.4206686,3.807848,4.637649,3.6718524,4.7911267,3.4740686,3.45603,3.5576038,3.8751376,4.306564,3.7371526,3.3286235,4.0138197,3.8276818,4.457709
9.0,4.304162,3.436043,3.7363584,4.5972137,3.6714146,4.8330584,3.490535,3.4585087,3.5800676,3.7723207,4.1509814,3.7581997,3.3679469,3.9525726,3.8001716,4.436313
10.0,4.339034,3.454242,3.8652773,4.609984,3.685886,4.8373585,3.4766064,3.4520254,3.6582046,3.8357778,4.2616463,3.8339958,3.322687,4.0623913,3.8190958,4.464673
11.0,4.2954698,3.413875,3.7516882,4.5728054,3.6452453,4.8052354,3.4833724,3.466844,3.6661222,3.8216689,4.2121177,3.6265779,3.3712852,4.0200577,3.771063,4.447804
12.0,4.3282356,3.452385,3.8160772,4.564391,3.6653361,4.8126,3.496401,3.4580734,3.7016222,3.8499289,4.2126536,3.8028243,3.327456,3.9779885,3.8373265,4.4646196
13.0,4.307222,3.4302075,3.731746,4.551399,3.6590023,4.797388,3.4569008,3.4096851,3.6935666,3.8052678,4.1747756,3.7522323,3.344643,4.0244846,3.8577423,4.4638414
14.0,4.346446,3.4310899,3.7736492,4.590188,3.6809509,4.794219,3.4852395,3.4359837,3.674577,3.8835988,4.2922463,3.7826953,3.327308,3.931357,3.853783,4.495165
15.0,4.306207,3.420121,3.7131953,4.554633,3.645752,4.7598596,3.4510927,3.4096704,3.6319706,3.7785537,4.1874557,3.6424265,3.3400335,3.8998876,3.8014536,4.4755316
16.0,4.33992,3.4694886,3.788015,4.584737,3.6639338,4.7788053,3.4605794,3.481618,3.7006967,3.8829422,4.2855954,3.9476604,3.3213553,3.9772832,3.856621,4.4979596
17.0,4.3256855,3.4425545,3.744778,4.5703206,3.6133592,4.7538376,3.4575682,3.4468627,3.6708877,3.8021245,4.2042513,3.829618,3.3332207,4.01072,3.8313696,4.4855127
18.0,4.3564262,3.4515903,3.8349657,4.577939,3.6236296,4.754167,3.490797,3.4760623,3.7124214,3.890893,4.271279,3.802526,3.3090258,3.950229,3.780391,4.498106
19.0,4.32041,3.438838,3.7833748,4.549308,3.625521,4.7433257,3.4697769,3.464185,3.715039,3.7599072,4.1432514,3.6985228,3.3333445,3.9423864,3.7792761,4.4789433
20.0,4.336038,3.4927948,3.8004339,4.555569,3.6497078,4.755633,3.4659321,3.469311,3.759516,3.866299,4.293969,3.8083808,3.291901,3.9727535,3.7829409,4.5074053
