"Mean abundance (number of fish), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,9.6205896E7,5.697951E9,5.6927207E10,2.6646675E8,3.2835622E9,616589.1,1.2760083E10,1.0021794E8,9.72875E7,2.2271992E11,1.7733979E8,8.967943E8,4.5923955E10,3.9389936E12,1.3946636E9,4310814.5
2.0,1.1912316E8,2.810777E10,1.0597962E11,1.6751467E8,1.9281422E10,657799.06,9.235433E9,1.6624306E8,2.4659232E8,3.7235678E11,2.3340046E8,3.2149594E8,9.182786E10,7.361239E11,3.4794045E9,1.7727444E7
3.0,1.4074965E8,4.0681214E10,1.6145254E11,1.0658515E8,8.234502E10,1336965.2,8.692476E9,9.594756E7,1.9592003E8,7.769227E11,8.382987E7,1.408005E8,2.6989635E11,4.5107676E9,4.0959283E9,2.9964664E7
4.0,1.6581362E8,3.969419E10,1.4832291E11,7.068421E7,1.3224579E11,1525251.1,6.9921096E9,6.4151492E7,1.8451347E8,8.858698E11,2.8891018E7,5.3027356E7,1.5975032E11,6.238241E7,3.7847636E9,4.3220684E7
5.0,1.8261832E8,4.671134E10,1.4686174E11,5.0317172E7,1.28629694E11,1829522.5,5.4785495E9,4.6959584E7,1.8560083E8,6.2203154E11,2.149417E7,2.4163794E7,7.327062E10,4061759.5,2.5884242E9,5.587997E7
6.0,1.8979837E8,3.394011E10,1.2345796E11,3.6041084E7,1.4783947E11,3533308.8,2.3432404E9,3.675832E7,1.851753E8,6.3236086E11,2.4798308E7,1.5192757E7,5.9805438E10,1.4631942E7,2.8535631E9,6.6167084E7
7.0,1.9729107E8,3.8972314E10,1.12043426E11,2.5154046E7,1.7584837E11,3470136.5,6.419687E8,3.130509E7,1.9182517E8,6.334695E11,2.3836134E7,1.2097264E7,5.9496604E10,1.9812294E7,2.3026506E9,7.509337E7
8.0,2.1747674E8,3.075023E10,2.0346639E11,1.7168382E7,1.30387665E11,3252239.0,2.5949437E8,2.9604556E7,1.9664402E8,4.9500094E11,4.384835E7,1.8226542E7,4.351918E10,4.1732137E9,2.670804E9,8.261643E7
9.0,2.4231587E8,5.4198583E10,1.8150724E11,1.1805304E7,1.1777248E11,3970094.8,3.0146077E8,2.913319E7,1.8825997E8,4.319479E11,5.335403E7,2.5119498E7,5.8204615E10,2.377128E9,2.917281E9,8.828129E7
10.0,2.6627493E8,5.77127E10,1.2562293E11,8092033.5,1.0811553E11,6318165.0,4.022726E8,2.701726E7,1.818792E8,3.87797E11,4.1717484E7,6.0283656E7,3.790425E10,6.6501955E9,2.9162586E9,9.2424824E7
11.0,3.3110768E8,6.432889E10,9.2670886E10,5605594.0,8.668579E10,6853536.0,4.401698E8,2.711096E7,1.6013077E8,4.314928E11,3.9891652E7,6.32201E7,3.4763362E10,4.307193E9,3.3645737E9,9.506243E7
12.0,3.9321818E8,4.3572584E10,1.2837173E11,3908447.5,1.765091E11,6426688.0,6.833268E8,2.6413644E7,1.3502882E8,4.8527268E11,4.3977304E7,5.4996104E7,7.693196E10,4.44914E8,2.6688543E9,9.6231336E7
13.0,4.376712E8,1.9533572E10,1.6437037E11,2923216.5,1.4185128E11,6042865.0,5.1053104E8,2.5334234E7,1.1730139E8,4.7187224E11,5.615507E7,5.795847E7,4.388649E10,4.6395034E8,3.3014418E9,9.664779E7
14.0,4.5124266E8,2.6194457E10,1.2126724E11,1988024.1,8.781057E10,5653509.0,4.8496112E8,2.3963758E7,1.07239736E8,3.0334832E11,5.5635692E7,4.336915E7,1.4611506E10,2.0733346E10,3.334749E9,9.558649E7
15.0,4.4001645E8,3.0880158E10,1.3424058E11,1388207.8,7.651644E10,5298332.5,3.739368E8,2.9349008E7,9.1378824E7,4.113431E11,5.5446748E7,3.3906708E7,1.6559089E10,6.09879E9,2.5581665E9,9.432844E7
16.0,4.5325008E8,3.0751312E10,1.3228763E11,924701.56,1.1813465E11,4950806.5,3.8374518E8,3.136956E7,8.597569E7,3.3282222E11,5.2462868E7,3.363093E7,2.706531E10,2.8805494E8,2.20007E9,9.155532E7
17.0,4.908388E8,3.2069745E10,1.7532623E11,652868.9,1.13615135E11,4619990.5,3.7341987E8,3.1997234E7,7.6318024E7,3.505934E11,5.2478084E7,3.549986E7,2.3157459E10,1.7209808E8,2.363363E9,8.8540184E7
18.0,5.7826886E8,4.9890505E10,1.0943246E11,444260.16,7.614264E10,4338544.0,3.741176E8,3.2042422E7,8.1450936E7,2.2237566E11,8.035517E7,4.340968E7,1.8933105E10,1.769895E10,2.2729285E9,8.648931E7
19.0,6.5722976E8,3.6241478E10,1.0965149E11,295318.6,7.557488E10,4067887.5,2.114159E8,3.3223992E7,8.475781E7,4.0465842E11,6.2636144E7,5.3022676E7,3.1513412E10,4.780258E9,2.3570941E9,8.492289E7
20.0,7.898776E8,4.159335E10,1.35546085E11,151976.94,8.114295E10,3818910.2,2.0045466E8,3.1274504E7,8.712853E7,4.1346708E11,6.0983828E7,6.3791796E7,4.1406173E10,1.1565917E9,2.3945272E9,8.702817E7
