"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,2.0455990840947624,1.4477815047564948,0.06702171752457793,0.0,0.5030666039508894,0.1322207189547558,0.014436125294950745,2.233704006721525E-4,2.2477339804385794E-4,2.6695874584546946E-5,8.36818029909546E-4,0.06976529798428473,0.18250000000000005,0.73,0.7579451519947442,0.0,0.0,0.0,1.1413251907887644E-6,3.5776370413233985E-5,0.0029826665457306297,0.0,0.0,0.6811116084496005,
2.0,2.2416692500544695,2.465461656771869,0.38560158491815827,0.0,1.2836842625222609,0.1825939464490469,0.014853839001573617,2.2328819010920153E-4,2.2398632505858296E-4,2.9923518762007382E-5,7.037116953139935E-4,0.015456899611412068,0.09124999999999993,0.7300000000000001,0.7592376408573955,0.0,0.0,0.0,1.279316234872057E-6,3.0085692917490866E-5,6.608267821354482E-4,0.0,0.0,0.5915682455397306,
3.0,2.1001614035099867,2.876238436232551,0.38718229978850943,0.0,1.3158153998044984,0.20940772693697626,0.014538412444439798,2.235371536314234E-4,2.2556715642763932E-4,2.8796753465721178E-5,6.617415418393597E-4,0.010243753480898324,0.09125000000000001,0.7300000000000003,0.754996132887972,0.0,0.0,0.0,1.2311437873770263E-6,2.8291348504081066E-5,4.3794983599252497E-4,0.0,0.0,0.7155837007820511,
4.0,2.7113082688563703,3.5081503639652327,0.6707146710683892,0.0,0.9660170870820515,0.16182985294525087,0.015924033811051817,2.2319776239558675E-4,2.2580980304312477E-4,2.3622852914128805E-5,6.408781317939957E-4,0.008539937416143777,0.09125000000000011,0.7300000000000002,0.7423992246945377,0.0,0.0,0.0,1.0099447022724515E-6,2.7399377897344974E-5,3.651068134117778E-4,0.0,0.0,0.5007884726630023,
5.0,3.041916783344176,3.314207079977184,0.6498542296884531,0.0,0.8117412238126311,0.1521309867014769,0.016722122603821114,2.2327794778434723E-4,2.2614502011951044E-4,2.0389644581253696E-5,7.516113366984342E-4,0.010115528111625773,0.09125000000000003,0.7300000000000004,0.7556874608282027,0.0,0.0,0.0,8.717157745895744E-7,3.2133539942268826E-5,4.3246783376085156E-4,0.0,0.0,0.7837986058714254,
6.0,2.614127117363826,3.873025545310642,0.5299494165973664,0.0,0.9486606301819462,0.18609206094457728,0.015739938789268177,2.2323580544145663E-4,2.2479145834351907E-4,2.1522246577353918E-5,5.063180888019081E-4,0.01706468741098037,0.09125000000000018,0.73,0.7650694145137305,0.0,0.0,0.0,9.201377577388018E-7,2.1646550199038828E-5,7.295643210116738E-4,0.0,0.0,0.8131238130809277,
7.0,2.359331441538344,3.8145370294555208,0.48721649916965803,0.0,0.8167850516351185,0.14648060354909825,0.015138083337416732,2.2290547990552986E-4,2.2563710437346825E-4,2.8312667047114833E-5,9.850759113043661E-4,0.012925395152421098,0.09124999999999997,0.73,0.7448981155070192,0.0,0.0,0.0,1.210447704829727E-6,4.21148199827727E-5,5.525977072463662E-4,0.0,0.0,0.5344750299554213,
8.0,2.984713862630831,3.8685502657734516,0.4031220176745877,0.0,0.8279758661520187,0.1854305733615536,0.01657516004796343,2.2358825016178402E-4,2.256503346786139E-4,1.5412968713612128E-5,5.72124718708577E-4,0.013093579017972002,0.09125000000000001,0.7300000000000002,0.7506617513643294,0.0,0.0,0.0,6.589486102795591E-7,2.445997233269204E-5,5.597880497777396E-4,0.0,0.0,0.641422640930794,
9.0,2.984063477075357,4.030721596764613,0.4363614462839136,0.0,0.9229444689388396,0.17745800627707434,0.016617416615053813,2.2326066566121005E-4,2.2610738488918183E-4,1.5837112863816035E-5,6.80902015923932E-4,0.012978646964605095,0.0912500000000001,0.7300000000000002,0.7471659514836241,0.0,0.0,0.0,6.770819889639806E-7,2.911051371520461E-5,5.548743749205515E-4,0.0,0.0,0.6304964093327614,
10.0,3.173720728857004,4.174202998408295,0.3909309213058399,0.0,0.9316045354237255,0.19571572749476257,0.017022828699655292,2.2264951156385915E-4,2.2593744653157048E-4,1.4762085652038083E-5,5.464120834780758E-4,0.014163950559711987,0.09125000000000015,0.7300000000000003,0.7472307612405493,0.0,0.0,0.0,6.311214929442769E-7,2.336068344379678E-5,6.055495025528586E-4,0.0,0.0,0.6069066079296046,
11.0,2.973271481885533,3.760672868562902,0.39609486700295854,0.0,0.7108870746979182,0.16543405818491586,0.016598518542916413,2.2363984375806307E-4,2.2582653642048078E-4,1.5364128225002025E-5,6.406103891555778E-4,0.011347395156125251,0.09124999999999998,0.7300000000000002,0.7596680117368748,0.0,0.0,0.0,6.568605393379386E-7,2.738793113178175E-5,4.851336823786605E-4,0.0,0.0,0.82745097022073,
12.0,2.6563795061715445,4.208079331409131,0.42649023116343215,0.0,0.9456833907889749,0.19473038777391893,0.015802873842753824,2.2270001312096316E-4,2.2516525006965294E-4,1.2577154680062861E-5,4.2906273246349575E-4,0.01095196326748306,0.09125000000000011,0.7300000000000003,0.7434890993607755,0.0,0.0,0.0,5.377094284489856E-7,1.8343662180399716E-5,4.6822783521043335E-4,0.0,0.0,0.4342513696254072,
13.0,3.0962385537130737,3.5370986213583757,0.5834072697191812,0.0,0.9002615610495004,0.16727330733614149,0.01685338798983967,2.2331816475667647E-4,2.2575902334839482E-4,1.1865299051034643E-5,4.0730033661169943E-4,0.01052802919470462,0.09125000000000015,0.7300000000000002,0.7474154670168166,0.0,0.0,0.0,5.07275559011909E-7,1.7413257352533558E-5,4.5010343793836226E-4,0.0,0.0,0.5983688715268269,
14.0,2.6183252995759534,4.048709667650207,0.771685734827315,0.0,0.8532451455427394,0.16638471744484598,0.015705396410593868,2.2226750534325027E-4,2.2473659452168008E-4,1.5864249233238376E-5,5.386136120219603E-4,0.011104792190556307,0.09124999999999996,0.7300000000000002,0.7557403805442227,0.0,0.0,0.0,6.782421465722353E-7,2.3027276426382037E-5,4.7476170991950857E-4,0.0,0.0,0.606398249456316,
15.0,2.5868819404689494,3.9467082753753884,0.7170958062138932,0.0,0.8682618885987687,0.14998220919365726,0.015636112413188918,2.2326886130274464E-4,2.2524807020514505E-4,1.2534541959250437E-5,4.252527214986127E-4,0.012344360876152054,0.09125000000000004,0.7300000000000002,0.7597754148146572,0.0,0.0,0.0,5.358876124392784E-7,1.8180773286176356E-5,5.277568257791806E-4,0.0,0.0,0.7721369855686715,
16.0,2.666605630078725,3.9394825906668287,0.4020117867982089,0.0,0.7417351159131674,0.16137331535376093,0.01586082512594947,2.2297757644831689E-4,2.2490030707826697E-4,1.744881284881576E-5,7.093060655258669E-4,0.013201044992115475,0.09125000000000007,0.73,0.7498663252417985,0.0,0.0,0.0,7.459867849858667E-7,3.032486828629879E-5,5.64382528338618E-4,0.0,0.0,0.5243916713662532,
17.0,2.310434016163152,4.199657464934603,0.4475107798384742,0.0,0.9303232403397522,0.16568252955857335,0.015044133005575763,2.2195736516184605E-4,2.2552597638607962E-4,1.2708036982692002E-5,3.621612641161335E-4,0.011668988788537586,0.09124999999999991,0.7300000000000003,0.7556837293418724,0.0,0.0,0.0,5.433050222005967E-7,1.5483432563880576E-5,4.988827323566643E-4,0.0,0.0,0.6988721460618914,
18.0,2.78026983740821,3.8923458287549204,0.528967482951876,0.0,0.7754877225114298,0.15661909968469734,0.016117910037660013,2.2357142138322542E-4,2.259539395245934E-4,1.2476574748427127E-5,5.471013839516295E-4,0.009537936338238885,0.09124999999999993,0.7300000000000002,0.7589126523851433,0.0,0.0,0.0,5.334093479515249E-7,2.3390153015658827E-5,4.077741291634977E-4,0.0,0.0,0.8181641661195469,
19.0,2.7676096831132893,4.038707545171836,0.3888640012383904,0.0,1.0202901012014198,0.18506545544615685,0.016057338432564697,2.2372487400040147E-4,2.2530153061879035E-4,9.421441509734358E-6,2.899755376258717E-4,0.009542111177791454,0.09125000000000016,0.7300000000000003,0.7405728522441253,0.0,0.0,0.0,4.027936411878088E-7,1.2397285758770325E-5,4.079526155260164E-4,0.0,0.0,0.3887593263586564,
20.0,2.9973866667874756,3.5720448235821873,0.605969899411796,0.0,0.893532358852936,0.1588856746241081,0.016614652977183588,2.2340010923429355E-4,2.2528361991118454E-4,9.30413726788832E-6,3.377819263800868E-4,0.006933080438393127,0.09124999999999998,0.7300000000000004,0.7572306799887154,0.0,0.0,0.0,3.9777854847072065E-7,1.4441145966197665E-5,2.9640906983745383E-4,0.0,0.0,0.710873013800371,
