"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,16.08192847528465,8.419970572791346,0.2080055632830612,0.0,0.6317498858153265,0.17323608060476953,0.24696409763930946,0.4371485764829665,0.44467235186405674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05872836876076954,
2.0,11.480454278391353,12.023682298112947,1.2922679980795513,0.0,0.7630155687476908,0.4508054225820454,0.20527494783763664,0.4338766913610299,0.44360404259834996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03530399720991019,
3.0,13.511880445062777,11.047510137320982,0.6333325767338898,0.0,0.742508355805984,0.21899734896240283,0.21972028572653945,0.44235536547601856,0.4450593278571396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07183620001649388,
4.0,12.224741306444098,11.560730306847224,1.0966272469461207,0.0,0.6855485347310725,0.22514089418662722,0.21015777642300748,0.43838034908633283,0.4448189211356571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07973649729863891,
5.0,11.456755700471602,12.547884348153108,0.6381674367233046,0.0,0.5886178290944794,0.2521366892610692,0.20512767486756953,0.4402001753990652,0.4457381753254219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15172288475430015,
6.0,13.407178918277133,12.117583719864456,0.9363250522290375,0.0,0.46467821335180887,0.3726269538493721,0.2183262676351282,0.4374715549801536,0.44735902499743774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3013743734383805,
7.0,12.493990118653349,13.03109163869589,0.47990785675365083,0.0,0.3667565421831389,0.317823982673166,0.21205440393560634,0.4374823108074973,0.44475197443081493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016586927868801934,
8.0,12.443838723871403,12.060414342150663,1.0945229484775134,0.0,0.35207489049192464,0.3576923446978231,0.21253975892238822,0.4345143265224325,0.44420760483985344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01659188595308439,
9.0,12.545715310718652,12.907329039556503,0.8108067255277082,0.0,0.34609338719245686,0.3189863661310724,0.21306652610985963,0.43443320071882624,0.44494353321078306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03918618967474282,
10.0,12.407997131668631,13.096140774131731,0.5547421396493531,0.0,0.45520969588290455,0.3156513004799366,0.2115897024453491,0.431753811133189,0.44431355986103377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014381435717944403,
