"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,1.5565509482579385,0.09407508775797065,0.03388621927005891,0.0,2.6758070574233463,0.1571516676944074,0.05608069789919894,1.0404775809999374,1.0501399258022228,2.1285647069801627E-4,0.0013386405715922862,0.17616637896157925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43364668114229954,
2.0,1.1146475149170028,3.0958009685036454,2.508848624892284,0.0,0.9520355559350937,2.047120772101889,0.041934792245006236,1.0398140207780207,1.0703617633258968,1.771272525938202E-4,0.007015147137878677,0.0045155138990620155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0253490363769597,
3.0,0.0,0.2293561464907447,0.5207918325992638,0.0,0.21731490707906284,0.4975982928855418,0.0,0.3469357224167415,1.0712110279825615,0.0,0.023460530320818337,0.07448666231939452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3344918126830922,
4.0,1.151481871301704,2.850373937771652,Infinity,0.0,0.037357314506076676,NaN,0.03766018544411076,0.9993326265350444,Infinity,1.343636345352761E-4,0.01684645570268152,Infinity,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,Infinity,
5.0,0.5442515404511388,0.12661821993094713,0.02996794680288716,0.0,0.0460255060671205,0.07488111025626208,0.01438765245895253,0.39096791859370084,0.997101599088157,4.321400718970116E-5,0.023016544567911707,0.11676897525520588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,1.039713247849216,2.523911457585958,0.05920075174734031,0.0,0.6630252701178841,0.04783632837508207,0.03738897476925644,1.040312694923654,1.8441375087929086,1.124849411765458E-4,0.0070099453458363995,0.2505571517145733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.66804787185971,
7.0,0.6092641059451979,0.40428286072111863,0.4713407845514549,0.0,0.1612771092215089,0.40854981465582224,0.014550492258072055,0.3910905162482304,1.0491241723477567,5.9839519722397E-5,0.01403346368496367,0.08854555956193415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37180549830800386,
8.0,1.1219648266820834,2.980110149218415,Infinity,0.0,0.21648535490245535,NaN,0.037588027648265326,1.0390697470643113,Infinity,8.606647823984676E-5,0.011971214679001316,Infinity,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,Infinity,
9.0,0.4458073921210956,0.19359960765100212,0.11974528286658155,0.0,0.08417234242796519,0.17599487084944163,0.014153818639672258,0.3909702318662017,1.0482668125082308,3.427046902648716E-5,0.01729775904295589,0.08764667642263402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3458702257213955,
10.0,1.157955828731448,2.6707512635597936,0.12188317669875431,0.0,0.7358004402069395,0.1256285668343501,0.037672196034531605,1.0411887248249212,1.98120127713436,8.54054336310859E-5,0.005210499502833072,0.20516124885882406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.97306602743281,
11.0,0.4619172249759477,0.38362376089552547,0.39737263850122756,0.0,0.15081904985133732,0.48437226124463034,0.014190457935068767,0.3916502184925701,1.050901001734363,3.179598627663792E-5,0.008332955771616834,0.04429899131321571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4494840058446542,
12.0,1.1672718661983588,2.9468994819205934,NaN,0.0,0.3263820304306061,NaN,0.03769393425247684,1.0398818271211854,NaN,6.861605459149927E-5,0.0057841824632378575,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,
13.0,0.456130846736162,0.22976187569924106,0.31076619846881426,0.0,0.12647023416003247,0.2701155992628943,0.014177349386924368,0.3910987638689457,1.04426476056563,2.4706447840819184E-5,0.006980236340277215,0.04823654167357528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16510786030016367,
14.0,0.9475607344577791,2.4674854798086225,NaN,0.0,0.5668433403296422,NaN,0.037172096903271945,1.0407174943084414,NaN,9.11442396933222E-5,0.006992171158088518,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,
15.0,0.35724479266737574,0.20183514657829188,0.4219673284768016,0.0,0.1490692895648166,0.3950916960360846,0.01394255945239921,0.39090073215453797,1.0467615654971965,2.639188278723347E-5,0.00802982019629781,0.044442447352163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703066898777361,
16.0,0.9668279845896172,2.450582781151029,0.21254278921643155,0.0,0.3856392649561358,0.09606856019992456,0.03721735566686752,1.040246448543633,1.8152215407470476,1.0244534292387198E-4,0.009402552557957789,0.21606309685475802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.119999932423994,
17.0,0.576050508626859,0.21788323394224665,0.3300250009611389,0.0,0.1144660261679249,0.3077156329413887,0.014473221895162683,0.3908456674284543,1.0459041718159159,2.531583162778071E-5,0.009792315709657669,0.05047992577471963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23851451129908097,
18.0,1.0199260132787589,2.4773565808377436,NaN,0.0,0.5674492096373651,NaN,0.03734138812498172,1.0400660799235144,NaN,7.06663792515982E-5,0.004951165255715268,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,0.0,0.0,NaN,
19.0,0.4587399577210869,0.37987935347292934,0.4294187470442438,0.0,0.12418333487685973,0.3235237769516667,0.01418291368800565,0.39154488578102964,1.0495617982786238,1.948996215597748E-5,0.006553008528405304,0.032539447492381246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3919256946255697,
20.0,1.0793444798532361,2.2075269105334603,0.1959772172396441,0.0,0.6429522383595829,0.06444606767689756,0.03748501940125967,1.0414696997957225,1.139792534072029,5.116530197877314E-5,0.0033703614620206315,0.06538325701254812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.857381541184566,
