"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor","Mdis","Mdis","Mdis","Mage","Mage","Mage"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
1.0,17.72992582504172,5.376082585861444,0.0493401929175543,0.0,0.5145013380570738,0.0,0.029280241392368535,0.7579151346856324,0.7659686893665066,1.4525201122532607E-4,0.007142236464795022,0.18341506488543324,0.0,0.0,0.0,0.0,0.0,0.0,9.967027466662835E-5,0.004903706118877766,0.12601015149408076,0.0,0.0,0.002744879515415213,
2.0,12.853621815101707,8.220865624931042,0.4092345937075693,0.0,0.40323007357541973,0.46763052195608223,0.02407914110623917,0.7570754979701775,0.7659809038956392,1.5790099414248994E-4,0.0033153900141132545,0.014930424479219035,0.0,0.0,0.0,0.0,0.0,0.0,1.075922001215505E-4,0.0022590870409096644,0.010173726292846895,0.0,0.0,4.008337367804679E-6,
3.0,9.631482536717723,6.713674851630184,0.40469304661108224,0.0,0.5099373891431718,0.3178498329567247,0.02142215499044456,0.7616729564285284,0.7660212436811495,1.6348616023825513E-4,0.0029417540213644536,0.02952079120518205,0.0,0.0,0.0,0.0,0.0,0.0,1.1154830676018199E-4,0.002007214383199094,0.02014422977854799,0.0,0.0,1.9351448136562703E-6,
4.0,8.53949470620345,7.299655411367924,0.5044821468044904,0.0,0.5965716857965448,0.4461613433198582,0.020594460792326384,0.7642853009405817,0.7659880212950726,1.392445664605093E-4,0.0028453495591586986,0.024904260071674407,0.0,0.0,0.0,0.0,0.0,0.0,9.578753187670831E-5,0.001957435438298326,0.0171388888081056,0.0,0.0,6.272695363375669E-7,
5.0,8.03982887581683,7.1460995806799,0.4957451027572466,0.0,0.6925001578895785,0.3320181983331994,0.020272694915524216,0.7649566939510193,0.7660222725614412,1.2189184844894709E-4,0.00225947646956034,0.02337218348309634,0.0,0.0,0.0,0.0,0.0,0.0,8.301604096299079E-5,0.0015388501879835855,0.015918359482395734,0.0,0.0,2.0004389805264939E-7,
6.0,7.276176179554303,6.536929897596362,0.5510947150221317,0.0,0.7161707898433127,0.37790155283834154,0.019722155658821645,0.7656656602546981,0.7660495737032177,1.1968989613061252E-4,0.0022048537250635163,0.02050946535143919,0.0,0.0,0.0,0.0,0.0,0.0,8.176579600716458E-5,0.0015062634543832382,0.014013197286609304,0.0,0.0,6.225862210225053E-8,
7.0,7.486818505285146,7.054623140815313,0.5839286345861121,0.0,0.7176535583270154,0.3455229737663215,0.01982159584885201,0.7658136494896225,0.7660349971064726,1.7368596227765258E-4,0.0033572782848356594,0.032274464889076586,0.0,0.0,0.0,0.0,0.0,0.0,1.2518682061872646E-4,0.002420268798322403,0.02329344192034213,0.0,0.0,2.4680199857346216E-8,
8.0,9.63683057334029,5.941568460873428,0.6372840746043783,0.0,0.7188188151921151,0.3322056628182256,0.021527766856240985,0.7647964823609301,0.765995160630936,8.849944685766764E-5,0.001955319623182344,0.017569349745492666,0.0,0.0,0.0,0.0,0.0,0.0,6.179598482528134E-5,0.0013654996731426877,0.01227996517073398,0.0,0.0,1.0042717810843089E-8,
9.0,7.5971971753029015,6.077444488895774,0.5226292635224054,0.0,0.7608876486875014,0.31402151682079027,0.019943018966561157,0.7643839089597725,0.76605342161548,9.819045532732515E-5,0.0018252957440138503,0.017367032183587816,0.0,0.0,0.0,0.0,0.0,0.0,6.820809263571199E-5,0.001268079166048063,0.012074047617525367,0.0,0.0,3.961242517930275E-9,
10.0,7.513950635113013,6.352391340951997,0.7406488306924419,0.0,0.7240854654573178,0.34867882327728883,0.019945605007923577,0.7634143823286004,0.7660796513948666,9.126797410944445E-5,0.0015333169565444535,0.015754923482374342,0.0,0.0,0.0,0.0,0.0,0.0,6.337248638719054E-5,0.001064743599112893,0.010948162667907727,0.0,0.0,1.4987936628874585E-9,
