"Mean size of fish species in cm, weighted by fish numbers in the catches, and including first ages specified in input."
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,33.341434,4.032121,6.9982,4.7263217,NaN,11.218901,NaN,23.807901,4.365613,21.033995,4.613006,15.069694,1.3505516,1.9307929,7.4144244,46.55829
2.0,37.07398,2.911072,6.788661,9.094442,NaN,13.493579,NaN,22.10727,15.186419,25.542786,4.037115,16.439365,1.3557675,5.2676263,7.3035703,30.540586
3.0,44.65432,2.486139,8.215063,7.0701017,NaN,14.660822,NaN,17.040243,9.514372,29.34355,4.135518,18.40626,1.5009165,17.669489,6.101061,29.765665
4.0,51.288483,2.3929868,9.904252,7.8554883,NaN,15.32591,NaN,15.367006,8.188729,32.705795,5.677371,18.365776,1.8540051,20.87443,7.2306657,31.847218
5.0,54.960487,2.1717668,12.104471,5.9874797,NaN,16.934816,NaN,14.961293,6.909828,35.457253,7.796762,19.387735,2.13872,20.275408,7.1015472,34.407967
6.0,57.20325,2.081955,11.147957,6.323069,NaN,11.984011,NaN,15.449663,6.3640723,37.378666,9.369969,19.661613,2.2140248,11.607151,7.4588547,37.097946
7.0,59.247753,2.0974443,12.454687,6.0447164,NaN,9.851318,NaN,13.292265,4.8510146,39.54315,11.881596,18.864368,2.2107885,21.034857,7.9894543,39.64775
8.0,59.67944,2.243379,12.674063,6.4857025,NaN,11.694031,NaN,15.915234,6.206517,40.252266,11.831923,18.724562,2.265266,7.95024,7.7517033,42.007812
9.0,60.002064,2.2296906,11.977017,6.216565,NaN,7.535356,NaN,14.914481,4.508285,40.847706,9.796316,18.955137,2.2788281,18.72057,7.235461,44.3659
10.0,54.449493,2.3403423,12.431316,6.67481,NaN,6.0287395,NaN,15.986772,4.7582974,41.65498,8.945672,18.592857,2.2779846,13.1090975,7.871944,46.560764
11.0,38.567173,2.4018722,13.523428,7.229206,NaN,6.815421,NaN,15.429234,4.777045,42.093685,8.031279,18.42341,2.238937,20.886427,8.161656,48.539505
12.0,43.3422,3.0057716,13.6685,6.704237,NaN,11.703369,NaN,16.379992,4.6829104,43.46685,6.8695445,18.490065,2.1817875,8.701667,7.495627,50.527027
13.0,50.481503,2.9757876,11.943588,6.33987,NaN,12.47738,NaN,17.134129,5.3696423,44.564247,6.23766,17.638565,1.9977733,18.07798,8.432038,52.29198
14.0,56.155514,2.7530665,12.718984,6.443664,NaN,11.692347,NaN,13.567074,4.194013,44.49223,6.390049,18.22432,2.11188,12.847258,8.09455,53.98433
15.0,57.840496,2.6888263,13.695687,6.095259,NaN,14.986373,NaN,14.847059,5.358601,42.621918,6.204819,18.909943,2.0788243,20.437597,7.431558,55.540825
16.0,58.956036,2.7881765,13.955823,6.93206,NaN,16.78192,NaN,13.52264,4.628042,40.24746,7.7232637,18.729774,2.3844585,10.458918,7.9542146,56.900593
17.0,57.49018,2.7521372,12.367944,6.3656216,NaN,19.128716,NaN,15.341742,4.753071,42.12597,8.149861,18.432425,2.2360525,18.580153,6.7466984,57.242237
18.0,58.06799,2.6663904,10.968734,6.4111414,NaN,19.618605,NaN,13.408407,4.543896,44.43773,7.323044,18.211418,2.3176022,13.146706,8.012811,54.27394
19.0,55.816513,2.6046846,12.007165,5.88345,NaN,21.521841,NaN,14.973835,4.678119,45.799866,6.500119,19.59228,2.3513327,20.546385,8.135454,47.84214
20.0,49.59294,2.5879407,12.373979,5.702745,NaN,23.455385,NaN,16.255087,4.882984,45.50095,7.360894,18.400019,2.3601255,8.460614,6.997584,42.192238
